(0, 0)	(1, 0)	(2, 0)	(0, 1)	(1, 1)	total
9.408602150537636	22.273425499231955	7.18125960061444	39.17050691244239	21.96620583717358	52.08
9.408602150537636	22.273425499231955	7.18125960061444	39.17050691244239	21.96620583717358	52.08
9.408602150537636	22.273425499231955	7.18125960061444	39.17050691244239	21.96620583717358	52.08
10.252996005326233	22.0658170058969	7.114323758797794	38.80540232071523	21.76146090926384	52.57
14.249363867684481	21.08324245728826	6.797528171573974	37.07742639040349	20.792439113049802	55.019999999999996
19.281437125748504	19.846022241231825	6.398631308810951	34.901625320787	19.57228400342173	58.449999999999996
26.096491228070178	18.17042606516291	5.858395989974937	31.954887218045116	17.919799498746865	63.839999999999996
53.45119428249012	13.090088395711868	3.5170208764340796	19.183750235094976	10.757946210268948	106.34
56.533795493934136	25.847982173805395	1.8519435503837585	10.101510274820498	5.664768507056201	201.95000000000002
58.910219119643195	27.742227393187253	1.208713076077823	6.592980414969943	5.545859996121776	309.42
