0	1	2	3	4	total
3.9190071848465053	27.792292619203135	50.65316786414108	17.635532331809276	0.0	306.2
3.9190071848465053	27.792292619203135	50.65316786414108	17.635532331809276	0.0	306.2
6.066411238825032	27.17113665389527	49.52107279693487	17.24137931034483	0.0	313.2
9.53259532595326	26.16851168511685	47.69372693726937	16.605166051660518	0.0	325.2
13.521457965902412	25.01469723691946	45.59082892416226	15.873015873015875	0.0	340.2
20.376479720551135	28.90064040364836	37.623714341160486	13.099165534640015	0.0	412.24
25.49971210002468	31.500370157111135	31.89520440898248	11.104713333881715	0.0	486.28
32.045654082528536	37.35733099209833	22.69534679543459	7.9016681299385425	0.0	683.4
37.17049118149062	37.119286933434495	20.58979707946141	5.120424805613504	0.0	1054.6
35.260783966499645	33.2425337763935	18.579881040427505	5.6250585943603575	7.291742622318982	1919.98
