5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	4.07977257346e-06	-1.8702613236e-07	5.04904928065e-08	-1.8702613236e-07	4.0685211674e-06	-6.00665934886e-09	5.04904928065e-08	-6.00665934886e-09	3.3700689693e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.07977257346e-06	-1.8702613236e-07	5.04904928065e-08	-1.8702613236e-07	4.0685211674e-06	-6.00665934886e-09	5.04904928065e-08	-6.00665934886e-09	3.3700689693e-06	0.0	7.80072476428e-07
1	nan	nan	1	1	32.0	32.0	32.0	1.002	3.82839867005e-21	-1.28848269656e-19	-1.7629286805e-22	1.0	7.75932637702e-20	3.85879755756e-22	-2.12378622273e-21	1.0	479911111.259	-1561957.58385	708014.27172	-1558839.72473	166676098.751	-1576777.37814	706601.49366	-1576777.27981	165418554.318	0.001998002662673058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	479911111.259	-1558839.9040419161	706601.0695808382	-1558839.72473	166343411.9271457	-1573630.1179041914	706601.49366	-1573630.019770459	165088377.56287423	0.00133200177512	314222902.013
2	nan	nan	1	1	32.0	32.0	32.0	1.004	1.94863072802e-21	2.55595500556e-19	-1.80490809659e-21	1.0	-3.88517634729e-19	2.75285707858e-21	1.73252979299e-21	1.0	836824248.242	-2295407.27699	881931.372984	-2286262.86728	394517441.024	-2395780.1267	878418.281275	-2395780.48419	393207199.49	0.003992021269537457	0.0	0.0	0.0	-4.440892098500627e-16	0.0	0.0	0.0	-4.440892098500627e-16	836824248.242	-2286262.228077689	878417.7021752988	-2286262.86728	392945658.39043826	-2386235.1859561754	878418.2812750001	-2386235.5420219125	391640636.94223106	0.00266134751303	444571990.673
3	nan	nan	1	1	32.0	32.0	32.0	1.006	3.79696580677e-21	-5.6098892835e-19	-3.03409848684e-21	1.0	-1.06035786415e-18	4.88615587835e-21	-6.68775525249e-21	1.0	1127599716.29	-2239618.72711	842027.492357	-2226260.73717	655004549.674	-2723070.64536	837005.019754	-2723070.56397	653478683.522	0.005982071677547469	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	1127599716.29	-2226261.1601491054	837005.4595994037	-2226260.73717	651097961.9025846	-2706829.667355865	837005.0197539997	-2706829.586451293	649581196.3439363	0.00398804778503	477302750.032
4	nan	nan	1	1	32.0	32.0	32.0	1.008	1.23233367658e-20	1.05379335881e-18	-2.54688910605e-21	1.0	7.29301985031e-19	7.30979507313e-21	1.31099855284e-20	1.0	1410440708.66	-2148189.62863	793895.827713	-2131135.38705	919509387.29	-2929064.14723	787591.853794	-2929064.71044	917857546.7	0.007968169649176881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1410440708.66	-2131140.504593254	787595.0671755953	-2131135.38705	912211693.7400794	-2905817.6063789683	787591.8537940009	-2905818.1651190473	910572962.9960318	0.00531211309945	499091291.69
5	nan	nan	1	1	32.0	32.0	32.0	1.01	-5.51750148088e-21	1.97980716531e-19	-2.42322560447e-21	1.0	1.43075776192e-18	1.04406736916e-20	3.74158606476e-20	1.0	1690534629.82	-2075089.01356	766030.125249	-2054535.86534	1185576083.3	-3080937.9576	758434.896629	-3080939.56716	1183850100.72	0.009950330853168092	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	1690534629.82	-2054543.5777821783	758445.6685633664	-2054535.86534	1173837706.2376237	-3050433.6213861383	758434.8966290002	-3050435.2150098993	1172128812.5940595	0.00663355390211	517594354.482
6	nan	nan	1	1	32.0	32.0	32.0	1.012	-7.81288632169e-20	-1.39171152829e-18	5.05035122994e-21	1.0	-9.70514469096e-20	7.10382710061e-21	-1.00618249711e-20	1.0	1969031351.45	-2034643.6615	740806.01006	-2010503.64371	1452681437.03	-3216129.85114	732004.392785	-3216136.2138	1450867902.0	0.011928570865273812	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	0.0	1969031351.45	-2010517.4520750986	732021.7490711462	-2010503.64371	1435455965.444664	-3177993.924051383	732004.392784998	-3178000.211264822	1433663934.7826087	0.00795238057685	534514845.781
7	nan	nan	1	1	32.0	32.0	32.0	1.014	3.95987902841e-20	-1.27528089399e-19	1.60026361305e-20	1.0	1.63016784655e-18	6.16539069566e-21	3.02582668072e-20	1.0	2246363956.13	-2022052.04028	726762.652839	-1994118.55936	1720609126.4	-3341663.14504	716708.65497	-3341672.44515	1718709537.98	0.013902905168991434	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	2246363956.13	-1994134.1620118346	716728.4544763314	-1994118.5593600003	1696853181.8540435	-3295525.784063116	716708.6549699998	-3295534.9557692283	1694979820.4930968	0.00926860344599	550491675.702
8	nan	nan	1	1	32.0	32.0	32.0	1.016	-7.37547321377e-20	-3.46687938333e-20	3.32791304042e-20	1.0	-1.4555731803e-19	4.69011407318e-22	-7.66796427837e-21	1.0	2522740193.87	-2027727.16075	720134.086132	-1995772.07653	1989253607.77	-3456882.38258	708765.833226	-3456891.61646	1987283188.09	0.015873349156290163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2522740193.87	-1995794.4495570867	708793.3918622048	-1995772.0765300002	1957926779.301181	-3402443.289940945	708765.833226	-3402452.3784055123	1955987389.8523622	0.0105822327709	565828184.343
9	nan	nan	1	1	32.0	32.0	32.0	1.018	2.12039478222e-20	-3.47730185905e-19	3.93291294044e-20	1.0	-4.84502845829e-19	-5.16212401021e-21	3.72562147894e-21	1.0	2798278792.66	-2047521.96198	720062.351431	-2011286.95007	2258561122.75	-3564080.58372	707281.10201	-3564080.61508	2256530095.01	0.017839918128331016	0.0	0.0	0.0	4.440892098500625e-16	0.0	0.0	0.0	4.440892098500625e-16	2798278792.66	-2011318.233772102	707330.4041561886	-2011286.95007	2218625857.318271	-3501061.4771316308	707281.1020099993	-3501061.5079371324	2216630741.660118	0.0118932787522	580696469.541
