5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.92027323774e-06	-9.3599239535e-07	-1.8671835152e-07	-9.3599239535e-07	4.13938525838e-06	-3.65433408827e-07	-1.8671835152e-07	-3.65433408827e-07	1.97529213548e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.92027323774e-06	-9.3599239535e-07	-1.8671835152e-07	-9.3599239535e-07	4.13938525838e-06	-3.65433408827e-07	-1.8671835152e-07	-3.65433408827e-07	1.97529213548e-07	0.0	3.91820882022e-06
1	nan	nan	1	1	32.0	32.0	32.0	1.002	-2.76319683623e-20	1.95553768614e-20	-9.07623927124e-22	1.0	-7.06223025555e-19	5.1595390708e-23	-6.64329429457e-22	1.0	470431053.579	-5376436.82096	5652329.84692	-5365706.28729	161219248.532	-72078.5782451	5641049.64546	-72078.7938571	180327662.609	0.001998002662673058	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	470431053.579	-5365705.410139721	5641047.751417166	-5365706.28729	160897453.6247505	-71934.70882744511	5641049.64546	-71934.92400908197	179967727.1546906	0.00133200177512	300755193.851
2	nan	nan	1	1	32.0	32.0	32.0	1.004	8.79251632113e-21	-4.55498584831e-19	3.9076012137e-21	1.0	3.3477748877e-18	7.47254285865e-22	1.10235051512e-19	1.0	825850268.165	-9828189.05083	7304026.12745	-9789031.99112	387241954.318	-369515.626441	7274926.62067	-369515.194132	411606187.686	0.003992021269537457	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	825850268.165	-9789032.919153385	7274926.421762948	-9789031.99112	385699157.68725103	-368043.452630478	7274926.62067	-368043.02204382326	409966322.39641434	0.00266134751303	429053995.841
3	nan	nan	1	1	32.0	32.0	32.0	1.006	6.65115251039e-20	1.25702667223e-18	1.17356249406e-21	1.0	1.84519199922e-18	4.21288255852e-21	-2.64970765619e-20	1.0	1115854251.21	-10932207.8267	5677697.98225	-10867004.1645	647200620.414	2541368.49158	5643834.41139	2541369.52709	673290949.213	0.005982071677547469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1115854251.2100003	-10867005.791948311	5643834.972415508	-10867004.164500002	643340576.9522864	2526211.2242345926	5643834.411390001	2526212.25356859	669275297.4284295	0.00398804778503	460604224.104
4	nan	nan	1	1	32.0	32.0	32.0	1.008	-3.82167782757e-20	1.63864148475e-18	5.83803396825e-21	1.0	2.800283479e-19	5.81818163354e-21	-4.51442091107e-20	1.0	1396414336.85	-11834957.2226	4440870.88389	-11741030.4653	911551255.643	4610336.69752	4405625.50935	4610338.45725	940096396.573	0.007968169649176881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1396414336.85	-11741028.990674604	4405625.876875	-11741030.4653	904316721.8680556	4573746.723730159	4405625.509350002	4573748.469494048	932635314.0605159	0.00531211309945	479125281.225
5	nan	nan	1	1	32.0	32.0	32.0	1.01	-6.82399189938e-20	1.24308371582e-18	-1.55964904497e-21	1.0	-3.95384143712e-18	-3.97873874638e-22	-2.5884135728e-20	1.0	1674092511.57	-12648484.917	3741836.47467	-12523257.6148	1177636539.7	5968359.522	3704798.19833	5968356.37445	1208463592.3	0.009950330853168092	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1674092511.57	-12523252.393069306	3704788.5887821782	-12523257.6148	1165976771.9801981	5909266.853465347	3704798.1983300014	5909263.737079203	1196498606.2376237	0.00663355390211	494187204.688
6	nan	nan	1	1	32.0	32.0	32.0	1.012	1.09260219161e-20	-4.40811165874e-19	-1.77397154168e-20	1.0	-7.14109985901e-19	-7.17289668175e-21	4.8247790769e-20	1.0	1950260835.06	-13330178.5908	3387445.32281	-13172113.804	1444841486.18	6899867.25179	3347306.88616	6899879.50108	1477694375.49	0.011928570865273812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1950260835.06	-13172113.23201581	3347277.9869664027	-13172113.803999998	1427708978.4387352	6818050.644061265	3347306.8861599998	6818062.7481027655	1460172307.7964427	0.00795238057685	507783538.625
7	nan	nan	1	1	32.0	32.0	32.0	1.014	4.4464318346e-20	-6.52751382423e-19	-4.5027163054e-20	1.0	1.43148071778e-17	-2.38893896808e-20	-6.24852234723e-20	1.0	2225383418.42	-13906634.4966	3186142.10647	-13714645.7185	1712907880.48	7560934.65485	3142194.01342	7560949.15196	1747598646.07	0.013902905168991434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2225383418.42	-13714629.68106509	3142151.9787672586	-13714645.7185	1689258264.7731757	7456543.052120316	3142194.0134199993	7456557.349073004	1723470065.157791	0.00926860344599	520595346.655
8	nan	nan	1	1	32.0	32.0	32.0	1.016	-1.06183107282e-19	-5.56292196832e-19	-5.68058013865e-20	1.0	1.29637399961e-17	-2.31672610061e-20	1.50050563117e-20	1.0	2499672381.14	-14420264.5197	3057569.25682	-14193190.9774	1981715524.59	8060938.22244	3009453.27218	8060949.73322	2018093787.24	0.015873349156290163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2499672381.14	-14193173.739862205	3009418.5598622044	-14193190.977400001	1950507406.0925198	7933994.313425196	3009453.272179999	7934005.642933097	1986312782.7165356	0.0105822327709	532936666.51
9	nan	nan	1	1	32.0	32.0	32.0	1.018	2.55909002009e-21	1.77721078096e-18	-7.09861586275e-20	1.0	-4.89837499036e-18	-3.2946603798e-20	1.41811844216e-19	1.0	2773225845.25	-14890646.8932	2966966.67508	-14627383.2042	2251196159.51	8449953.5023	2914581.00016	8449971.6035	2289155890.46	0.017839918128331016	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2773225845.25	-14627354.511984283	2914505.574734774	-14627383.2042	2211391119.361493	8300543.715422397	2914581.000160004	8300561.496561875	2248679656.6404715	0.0118932787522	544952071.354
10	nan	nan	1	1	32.0	32.0	32.0	1.02	-1.82645615155e-19	-2.53229764005e-18	-8.45626740213e-20	1.0	-1.06159698071e-18	-4.46011650386e-20	-1.46195901463e-19	1.0	3046100519.83	-15330221.7194	2912959.58144	-15029669.8433	2521308648.45	8762751.94258	2855922.98851	8762751.62556	2560771915.21	0.01980262729617973	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	0.0	3046100519.83	-15029629.136666667	2855842.7269019606	-15029669.8433	2471871223.9705877	8590933.277039215	2855922.9885099935	8590932.966235293	2510560701.1862745	0.0132017515308	556725318.536
