6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	1.37782949352e-06
1.0	0.00133200177512	314089397.128
2.0	0.00266134751303	439706840.853
3.0	0.00398804778503	468059651.836
4.0	0.00531211309945	486705459.601
5.0	0.00663355390211	502407174.125
6.0	0.00795238057685	516710958.088
7.0	0.00926860344599	530210002.109
8.0	0.0105822327709	543183122.843
9.0	0.0118932787522	555790249.848
10.0	0.0132017515308	568122518.478
