6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	9.07576841792e-07
1.0	0.00133200177512	321821349.782
2.0	0.00266134751302	448036218.869
3.0	0.00398804778503	477654029.15
4.0	0.00531211309945	497263486.944
5.0	0.00663355390211	513965047.794
6.0	0.00795238057685	529286265.67
7.0	0.00926860344599	543805874.563
8.0	0.0105822327709	557786130.736
9.0	0.0118932787522	571373485.006
10.0	0.0132017515308	584656632.03
