6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	7.22993770884e-07
1.0	0.00133200177512	311090744.716
2.0	0.00266134751303	440838573.327
3.0	0.00398804778503	472162128.098
4.0	0.00531211309945	492650884.815
5.0	0.00663355390211	509955890.773
6.0	0.00795238057685	525760644.292
7.0	0.00926860344599	540689339.943
8.0	0.0105822327709	555034252.989
9.0	0.0118932787522	568956951.933
10.0	0.0132017515308	582555081.691
