6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	6.76421309508e-07
1.0	0.00133200177512	317028194.842
2.0	0.00266134751303	445475525.02
3.0	0.00398804778503	477576776.627
4.0	0.00531211309945	499230677.927
5.0	0.00663355390211	517687673.474
6.0	0.00795238057685	534593791.942
7.0	0.00926860344599	550564381.838
8.0	0.0105822327709	565897549.432
9.0	0.0118932787522	580757778.602
10.0	0.0132017515308	595248738.055
