6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	5.02078028028e-06
1.0	0.00133200177512	327402593.695
2.0	0.00266134751302	455086783.394
3.0	0.00398804778503	483222189.062
4.0	0.00531211309945	500679466.927
5.0	0.00663355390211	515324805.474
6.0	0.00795238057685	528747608.342
7.0	0.00926860344599	541496229.567
8.0	0.0105822327709	553815718.417
9.0	0.0118932787522	565847058.117
10.0	0.0132017515308	577674747.479
