6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	2.37611609818e-06
1.0	0.00133200177512	316088914.461
2.0	0.00266134751302	442819335.784
3.0	0.00398804778503	471814974.214
4.0	0.00531211309945	490722711.74
5.0	0.00663355390211	506671638.013
6.0	0.00795238057685	521238116.88
7.0	0.00926860344599	535016169.115
8.0	0.0105822327709	548274162.763
9.0	0.0118932787522	561163474.823
10.0	0.0132017515308	573775460.053
