5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.44434945325e-06	-1.27161625201e-07	-2.14081861374e-07	-1.27161625201e-07	3.1210094688e-06	-1.70505458792e-07	-2.14081861374e-07	-1.70505458792e-07	2.85998008148e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.44434945325e-06	-1.27161625201e-07	-2.14081861374e-07	-1.27161625201e-07	3.1210094688e-06	-1.70505458792e-07	-2.14081861374e-07	-1.70505458792e-07	2.85998008148e-06	0.0	7.28221138075e-07
1	nan	nan	1	1	32.0	32.0	32.0	1.002	-2.09607567221e-21	3.87223924251e-20	-6.33310156486e-25	1.0	-2.52331445859e-21	3.61271132533e-22	-6.38997023197e-21	1.0	480529541.416	-884301.412326	-1741096.44065	-882536.150177	165730185.537	175242.5684	-1737621.21954	175242.858654	165745691.355	0.001998002662673058	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	480529541.41599995	-882536.3396467066	-1737621.1982534928	-882536.150177	165399386.76347303	174892.78283433133	-1737621.21954	174893.07250898203	165414861.63173652	0.00133200177512	315140642.204
2	nan	nan	1	1	32.0	32.0	32.0	1.004	1.36799129704e-20	2.2996944518e-19	5.51936263726e-22	1.0	3.95028166536e-19	1.41944193114e-21	1.75699365961e-20	1.0	836948849.777	-1274625.06796	-2665912.6756	-1269546.11616	393799358.791	222895.273384	-2655290.72237	222895.366452	393772099.041	0.003992021269537457	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	836948849.777	-1269546.880438247	-2655291.5095617534	-1269546.11616	392230437.0428287	222007.2444063745	-2655290.72237	222007.3371035858	392203285.8974104	0.00266134751302	444761370.62
3	nan	nan	1	1	32.0	32.0	32.0	1.006	8.79789299511e-21	-4.19297852503e-19	1.03314858508e-21	1.0	5.0017140439e-19	6.06654261246e-21	3.16318002143e-20	1.0	1127455009.79	-1131323.58681	-2962601.75054	-1124576.8187	654357504.375	395997.495699	-2944932.63007	395996.460771	654218257.189	0.005982071677547469	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	1127455009.79	-1124576.130029821	-2944932.1575944335	-1124576.8187	650454775.720676	393635.68160934397	-2944932.6300700004	393634.6528538771	650316359.0347912	0.00398804778503	477101188.424
4	nan	nan	1	1	32.0	32.0	32.0	1.008	5.81011662257e-21	7.66538347486e-19	-4.46677530779e-22	1.0	2.52688808563e-18	7.49797866249e-21	-3.4795352467e-21	1.0	1410181938.72	-946628.494192	-3164229.03101	-939120.398084	918851211.786	539775.380883	-3139123.9528	539775.546139	918707207.375	0.007968169649176881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.2204460492503136e-16	1410181938.72	-939115.5696349207	-3139116.1021924606	-939120.3980840001	911558741.8511906	535491.4492886905	-3139123.952799999	535491.6132331372	911415880.3323413	0.00531211309945	498727796.736
5	nan	nan	1	1	32.0	32.0	32.0	1.01	5.07624198312e-20	1.54559524636e-18	-3.30872245021e-23	1.0	-1.44857109641e-18	1.1451281605e-20	-6.35274710441e-22	1.0	1690196829.12	-810896.258064	-3316174.51713	-802880.421541	1184918773.19	645508.243644	-3283359.55654	645505.954327	1184767999.21	0.009950330853168092	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1690196829.12	-802867.5822415842	-3283341.106069307	-802880.4215409999	1173186904.148515	639117.0729148515	-3283359.556539998	639114.8062643546	1173037622.9801981	0.00663355390211	517118908.033
6	nan	nan	1	1	32.0	32.0	32.0	1.012	5.35351292444e-20	5.59408186199e-19	-1.15143541267e-21	1.0	-4.18679576354e-18	1.7128945932e-20	4.91105401479e-20	1.0	1968625737.47	-715275.185137	-3443277.65567	-706809.783616	1452013739.33	728425.391725	-3402469.32519	728419.414844	1451856712.58	0.011928570865273812	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1968625737.47	-706793.6612025691	-3402448.2763537546	-706809.7836159997	1434796185.1086955	719787.9364871542	-3402469.325189999	719782.0304782549	1434641020.3359683	0.00795238057685	533942534.124
7	nan	nan	1	1	32.0	32.0	32.0	1.014	1.37973726174e-20	2.55595500556e-19	-3.91090993615e-21	1.0	-1.11374989115e-18	2.31616775369e-20	4.95398468858e-20	1.0	2245895065.66	-638262.157747	-3551958.55769	-629476.907441	1719928788.42	800223.956498	-3502947.8283	800219.512309	1719768426.16	0.013902905168991434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2245895065.66	-629449.8597110454	-3502917.709753452	-629476.907441	1696182237.100592	789175.499504931	-3502947.8282999997	789171.1166755406	1696024088.9151876	0.00926860344599	549828176.479
8	nan	nan	1	1	32.0	32.0	32.0	1.016	1.65766994756e-20	1.11651515593e-18	1.25400580863e-21	1.0	1.03348607477e-18	1.60171117912e-20	1.05850994266e-19	1.0	2522211452.4	-576616.323711	-3659105.86968	-567573.447468	1988560848.79	870672.684767	-3601522.58707	870669.957378	1988408794.52	0.015873349156290163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2522211452.4	-567535.7516840552	-3601482.1551968507	-567573.447468	1957244929.9114172	856961.3039045278	-3601522.587069998	856958.6194665375	1957095270.1968505	0.0105822327709	565078603.924
9	nan	nan	1	1	32.0	32.0	32.0	1.018	1.0769229831e-19	-1.17028685883e-18	-6.61744490042e-23	1.0	3.72394064793e-18	-9.94229737258e-21	-8.39853019537e-20	1.0	2797690966.96	-528775.812789	-3765962.75362	-519481.390166	2257855991.28	933835.523818	-3699444.28173	933835.190833	2257722925.52	0.017839918128331016	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2797690966.96	-519426.14222888014	-3699374.021237721	-519481.39016599976	2217933193.7917485	917323.6972671903	-3699444.2817300027	917323.3701699493	2217802480.86444	0.0118932787522	579861419.047
10	nan	nan	1	1	32.0	32.0	32.0	1.02	2.06861327587e-20	-8.40063123413e-19	-5.56196243881e-21	1.0	-3.3246374052e-19	-1.77887258681e-20	-1.35526925922e-19	1.0	3072403345.36	-491367.14786	-3872640.73845	-481797.311719	2527782965.56	989355.689501	-3796787.46939	989360.224446	2527674675.17	0.01980262729617973	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	3072403345.3599997	-481732.4979019608	-3796706.6063235295	-481797.31171899993	2478218593.6862745	969956.5583343133	-3796787.4693900025	969961.0043588226	2478112426.6372547	0.0132017515308	594277189.408
