3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
201.0	0.9998	-338590226.078
202.0	0.9996	-361641975.144
203.0	0.9994	-384623827.411
204.0	0.9992	-407539632.149
205.0	0.999	-430390971.445
206.0	0.9988	-453179300.55
207.0	0.9986	-475906092.95
208.0	0.9984	-498574239.262
209.0	0.9982	-521185325.249
210.0	0.998	-543742091.087
211.0	0.9978	-566246425.727
212.0	0.9976	-588700938.941
213.0	0.9974	-611107694.244
214.0	0.9972	-633469261.712
215.0	0.997	-655787764.91
216.0	0.9968	-678065654.795
217.0	0.9966	-700304999.315
218.0	0.9964	-722508048.125
219.0	0.9962	-744676725.269
220.0	0.996	-766813042.098
221.0	0.9958	-788918732.96
222.0	0.9956	-810995567.093
223.0	0.9954	-833045076.579
224.0	0.9952	-855068803.558
225.0	0.995	-877068086.839
226.0	0.9948	-899044267.385
227.0	0.9946	-920998513.147
228.0	0.9944	-942931994.518
229.0	0.9942	-964845734.965
230.0	0.994	-986740763.583
231.0	0.9938	-1008617982.97
232.0	0.9936	-1030478305.68
233.0	0.9934	-1052322534.6
234.0	0.9932	-1074151486.79
235.0	0.993	-1095965882.77
236.0	0.9928	-1117766460.39
237.0	0.9926	-1139553871.22
238.0	0.9924	-1161328786.14
239.0	0.9922	-1183091797.63
240.0	0.992	-1204843518.36
241.0	0.9918	-1226584488.86
242.0	0.9916	-1248315269.77
243.0	0.9914	-1270036354.25
244.0	0.9912	-1291748256.06
245.0	0.991	-1313451424.01
246.0	0.9908	-1335146329.26
247.0	0.9906	-1356833379.89
248.0	0.9904	-1378513008.72
249.0	0.9902	-1400185587.19
250.0	0.99	-1421851513.46
251.0	0.9898	-1443511126.83
252.0	0.9896	-1465164793.75
253.0	0.9894	-1486812824.35
254.0	0.9892	-1508455555.42
255.0	0.989	-1530093270.04
256.0	0.9888	-1551726277.14
257.0	0.9886	-1573354833.54
258.0	0.9884	-1594979221.66
259.0	0.9882	-1616599672.82
260.0	0.988	-1638216444.43
261.0	0.9878	-1659829743.8
262.0	0.9876	-1681439806.03
263.0	0.9874	-1703046817.17
264.0	0.9872	-1724650992.82
265.0	0.987	-1746252500.94
266.0	0.9868	-1767851540.19
267.0	0.9866	-1789448262.97
268.0	0.9864	-1811042853.2
269.0	0.9862	-1832635449.23
270.0	0.986	-1854226221.69
271.0	0.9858	-1875815296.34
272.0	0.9856	-1897402831.37
273.0	0.9854	-1918988940.4
274.0	0.9852	-1940573769.11
275.0	0.985	-1962157418.87
276.0	0.9848	-1983740022.62
277.0	0.9846	-2005321669.07
278.0	0.9844	-2026902478.58
279.0	0.9842	-2048482527.58
280.0	0.984	-2070061924.6
281.0	0.9838	-2091640735.19
282.0	0.9836	-2113219057.66
283.0	0.9834	-2134796948.91
284.0	0.9832	-2156374499.27
285.0	0.983	-2177951759.32
286.0	0.9828	-2199528813.25
287.0	0.9826	-2221105707.12
288.0	0.9824	-2242682520.16
289.0	0.9822	-2264259293.96
290.0	0.982	-2285836102.21
291.0	0.9818	-2307412981.2
292.0	0.9816	-2328989998.12
293.0	0.9814	-2350567183.1
294.0	0.9812	-2372144596.51
295.0	0.981	-2393722262.45
296.0	0.9808	-2415300235.52
297.0	0.9806	-2436878535.09
298.0	0.9804	-2458457211.69
299.0	0.9802	-2480036282.05
300.0	0.98	-2501615794.56
301.0	0.9802	-2466291907.58
302.0	0.9804	-2433019593.82
303.0	0.9806	-2400632704.42
304.0	0.9808	-2368704825.54
305.0	0.981	-2336987884.96
306.0	0.9812	-2305384237.45
307.0	0.9814	-2273833115.71
308.0	0.9816	-2242306539.94
309.0	0.9818	-2210786027.26
310.0	0.982	-2179261722.57
311.0	0.9822	-2147727116.09
312.0	0.9824	-2116178645.55
313.0	0.9826	-2084613953.46
314.0	0.9828	-2053031798.01
315.0	0.983	-2021431271.17
316.0	0.9832	-1989811953.41
317.0	0.9834	-1958173475.87
318.0	0.9836	-1926515731.57
319.0	0.9838	-1894838562.62
320.0	0.984	-1863141979.35
321.0	0.9842	-1831425889.56
322.0	0.9844	-1799690350.92
323.0	0.9846	-1767935317.04
324.0	0.9848	-1736160906.46
325.0	0.985	-1704367200.1
326.0	0.9852	-1672554526.97
327.0	0.9854	-1640723327.88
328.0	0.9856	-1608874483.5
329.0	0.9858	-1577009064.53
330.0	0.986	-1545128638.13
331.0	0.9862	-1513234708.27
332.0	0.9864	-1481329187.24
333.0	0.9866	-1449413691.54
334.0	0.9868	-1417490517.28
335.0	0.987	-1385562224.76
336.0	0.9872	-1353634002.54
337.0	0.9874	-1321716186.33
338.0	0.9876	-1289833077.48
339.0	0.9878	-1258035388.02
340.0	0.988	-1226415009.29
341.0	0.9882	-1195098723.49
342.0	0.9884	-1164206837.15
343.0	0.9886	-1133803235.84
344.0	0.9888	-1103889959.38
345.0	0.989	-1074437020.91
346.0	0.9892	-1045415777.18
347.0	0.9894	-1016801237.26
348.0	0.9896	-988620269.383
349.0	0.9898	-960732324.075
350.0	0.99	-933116359.78
351.0	0.9902	-905696391.684
352.0	0.9904	-878454669.492
353.0	0.9906	-851360953.151
354.0	0.9908	-824399299.571
355.0	0.991	-797559174.355
356.0	0.9912	-770836592.347
357.0	0.9914	-744231248.347
358.0	0.9916	-717744233.689
359.0	0.9918	-691375733.117
360.0	0.992	-665124738.735
361.0	0.9922	-638988239.835
362.0	0.9924	-612961663.532
363.0	0.9926	-587039027.252
364.0	0.9928	-561213671.582
365.0	0.993	-535478559.24
366.0	0.9932	-509826772.337
