3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
0.0	1.0	2.14376365176e-05
1.0	1.0002	32694386.5493
2.0	1.0004	65408549.192
3.0	1.0006	98142448.3819
4.0	1.0008	130896123.111
5.0	1.001	163669557.39
6.0	1.0012	196462756.81
7.0	1.0014	229275735.528
8.0	1.0016	262108483.392
9.0	1.0018	294961010.395
10.0	1.002	327833317.895
11.0	1.0022	360725412.501
12.0	1.0024	393637291.719
13.0	1.0026	426568925.436
14.0	1.0028	459520192.78
15.0	1.003	492490642.61
16.0	1.0032	525478671.223
17.0	1.0034	558479341.207
18.0	1.0036	591478586.558
19.0	1.0038	624441034.379
20.0	1.004	657292247.977
21.0	1.0042	689911629.801
22.0	1.0044	722164085.885
23.0	1.0046	753963855.322
24.0	1.0048	785308467.618
25.0	1.005	816256580.018
26.0	1.0052	846870322.32
27.0	1.0054	877199786.901
28.0	1.0056	907295672.085
29.0	1.0058	937201106.903
30.0	1.006	966948023.994
31.0	1.0062	996544875.187
32.0	1.0064	1025978583.6
33.0	1.0066	1055209345.03
34.0	1.0068	1084179019.19
35.0	1.007	1112810390.2
36.0	1.0072	1141026370.62
37.0	1.0074	1168754836.5
38.0	1.0076	1195951644.44
39.0	1.0078	1222598071.49
40.0	1.008	1248710723.13
41.0	1.0082	1274324303.37
42.0	1.0084	1299491554.03
43.0	1.0086	1324265103.54
44.0	1.0088	1348699335.31
45.0	1.009	1372839371.56
46.0	1.0092	1396726689.49
47.0	1.0094	1420393333.77
48.0	1.0096	1443868428.68
49.0	1.0098	1467174208.89
50.0	1.01	1490331622.64
51.0	1.0102	1513356743.46
52.0	1.0104	1536265293.22
53.0	1.0106	1559069281.29
54.0	1.0108	1581780749.8
55.0	1.011	1604408723.68
56.0	1.0112	1626962416.98
57.0	1.0114	1649448523.84
58.0	1.0116	1671874040.14
59.0	1.0118	1694243842.35
60.0	1.012	1716563190.18
61.0	1.0122	1738835552.66
62.0	1.0124	1761064846.26
63.0	1.0126	1783253438.24
64.0	1.0128	1805404133.79
65.0	1.013	1827518289.21
66.0	1.0132	1849597628.84
67.0	1.0134	1871642497.94
68.0	1.0136	1893653722.02
69.0	1.0138	1915631004.45
70.0	1.014	1937574912.25
71.0	1.0142	1959485197.14
72.0	1.0144	1981362714.21
73.0	1.0146	2003207668.28
74.0	1.0148	2025021347.0
75.0	1.015	2046804432.36
76.0	1.0152	2068558519.97
77.0	1.0154	2090284578.05
78.0	1.0156	2111984274.04
79.0	1.0158	2133658617.93
80.0	1.016	2155309146.13
81.0	1.0162	2176936756.97
82.0	1.0164	2198542765.41
83.0	1.0166	2220127903.13
84.0	1.0168	2241693254.17
85.0	1.017	2263239394.24
86.0	1.0172	2284767212.42
87.0	1.0174	2306277162.43
88.0	1.0176	2327769980.34
89.0	1.0178	2349246027.97
90.0	1.018	2370705921.47
91.0	1.0182	2392149953.9
92.0	1.0184	2413578651.24
93.0	1.0186	2434992260.04
94.0	1.0188	2456391242.55
95.0	1.019	2477775817.38
96.0	1.0192	2499146401.92
97.0	1.0194	2520503197.69
98.0	1.0196	2541846586.08
99.0	1.0198	2563176753.52
100.0	1.02	2584494047.55
101.0	1.0198	2545749056.76
102.0	1.0196	2509685464.81
103.0	1.0194	2474880512.86
104.0	1.0192	2440766219.09
105.0	1.019	2407006537.56
106.0	1.0188	2373459224.42
107.0	1.0186	2340033675.19
108.0	1.0184	2306688138.95
109.0	1.0182	2273396312.07
