3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
0.0	1.0	-2.02535620248e-05
1.0	1.0002	32341687.7693
2.0	1.0004	64703011.3548
3.0	1.0006	97083871.1688
4.0	1.0008	129484309.477
5.0	1.001	161904329.003
6.0	1.0012	194343929.716
7.0	1.0014	226803129.601
8.0	1.0016	259281915.717
9.0	1.0018	291780294.918
10.0	1.002	324298272.086
11.0	1.0022	356835851.655
12.0	1.0024	389393034.672
13.0	1.0026	421969803.949
14.0	1.0028	454566051.146
15.0	1.003	487181402.033
16.0	1.0032	519814533.708
17.0	1.0034	552461344.589
18.0	1.0036	585110030.459
19.0	1.0038	617729836.553
20.0	1.004	650250731.963
21.0	1.0042	682539452.236
22.0	1.0044	714397407.929
23.0	1.0046	745607123.299
24.0	1.0048	776001195.5
25.0	1.005	805499227.059
26.0	1.0052	834114067.189
27.0	1.0054	861948184.276
28.0	1.0056	889159744.525
29.0	1.0058	915897262.162
30.0	1.006	942292106.335
31.0	1.0062	968447214.798
32.0	1.0064	994442920.194
33.0	1.0066	1020330042.95
34.0	1.0068	1046145491.14
35.0	1.007	1071907041.92
36.0	1.0072	1097626325.11
37.0	1.0074	1123305157.98
38.0	1.0076	1148944549.33
39.0	1.0078	1174540686.32
40.0	1.008	1200091840.51
41.0	1.0082	1225593522.55
42.0	1.0084	1251044810.96
43.0	1.0086	1276442716.21
44.0	1.0088	1301788043.51
45.0	1.009	1327079260.53
46.0	1.0092	1352317833.64
47.0	1.0094	1377502311.5
48.0	1.0096	1402633204.31
49.0	1.0098	1427707739.89
50.0	1.01	1452724331.62
51.0	1.0102	1477678088.58
52.0	1.0104	1502565034.21
53.0	1.0106	1527378250.98
54.0	1.0108	1552112039.85
55.0	1.011	1576758457.06
56.0	1.0112	1601311534.99
57.0	1.0114	1625763874.5
58.0	1.0116	1650110916.5
59.0	1.0118	1674347298.05
60.0	1.012	1698471022.41
61.0	1.0122	1722479519.11
62.0	1.0124	1746373601.75
63.0	1.0126	1770153417.27
64.0	1.0128	1793822155.79
65.0	1.013	1817382123.35
66.0	1.0132	1840838188.47
67.0	1.0134	1864194114.57
68.0	1.0136	1887455727.66
69.0	1.0138	1910627558.92
70.0	1.014	1933715729.41
71.0	1.0142	1956724930.72
72.0	1.0144	1979661040.4
73.0	1.0146	2002528460.94
74.0	1.0148	2025332475.37
75.0	1.015	2048076934.54
76.0	1.0152	2070766366.06
77.0	1.0154	2093403981.09
78.0	1.0156	2115993554.39
79.0	1.0158	2138537705.39
80.0	1.016	2161039566.99
81.0	1.0162	2183501284.22
82.0	1.0164	2205925484.24
83.0	1.0166	2228313944.88
84.0	1.0168	2250668886.98
85.0	1.017	2272991787.87
86.0	1.0172	2295284523.52
87.0	1.0174	2317548311.96
88.0	1.0176	2339784732.39
89.0	1.0178	2361994784.19
90.0	1.018	2384179802.06
91.0	1.0182	2406340612.36
92.0	1.0184	2428478356.86
93.0	1.0186	2450593729.56
94.0	1.0188	2472687721.21
95.0	1.019	2494760920.95
96.0	1.0192	2516814194.51
97.0	1.0194	2538848039.55
98.0	1.0196	2560863211.88
99.0	1.0198	2582860126.68
100.0	1.02	2604839446.33
101.0	1.0198	2567079521.81
102.0	1.0196	2531708956.39
103.0	1.0194	2497422898.23
104.0	1.0192	2463719645.39
105.0	1.019	2430312155.13
106.0	1.0188	2397086827.36
107.0	1.0186	2363970678.9
108.0	1.0184	2330932091.4
109.0	1.0182	2297948579.12
110.0	1.018	2265008448.08
111.0	1.0178	2232102833.72
112.0	1.0176	2199226971.06
113.0	1.0174	2166377096.89
114.0	1.0172	2133551268.47
115.0	1.017	2100747828.78
116.0	1.0168	2067966007.53
117.0	1.0166	2035205002.61
118.0	1.0164	2002464542.66
119.0	1.0162	1969744212.2
120.0	1.016	1937044001.47
121.0	1.0158	1904363743.0
122.0	1.0156	1871703593.26
123.0	1.0154	1839063555.2
124.0	1.0152	1806444038.56
125.0	1.015	1773845293.52
126.0	1.0148	1741268106.15
127.0	1.0146	1708713054.67
128.0	1.0144	1676181521.92
129.0	1.0142	1643674694.34
130.0	1.014	1611194854.69
131.0	1.0138	1578743894.13
132.0	1.0136	1546324783.43
133.0	1.0134	1513939475.95
134.0	1.0132	1481591018.28
135.0	1.013	1449281329.78
136.0	1.0128	1417014205.31
137.0	1.0126	1384793446.19
138.0	1.0124	1352626889.74
139.0	1.0122	1320525604.57
140.0	1.012	1288510092.47
141.0	1.0118	1256611875.92
142.0	1.0116	1224882707.91
143.0	1.0114	1193393076.93
144.0	1.0112	1162232071.57
145.0	1.011	1131482030.97
146.0	1.0108	1101203537.95
147.0	1.0106	1071416828.42
148.0	1.0104	1042119405.07
149.0	1.0102	1013296318.26
150.0	1.01	984932163.333
151.0	1.0098	957008008.999
152.0	1.0096	929496189.684
153.0	1.0094	902355026.66
154.0	1.0092	875534322.793
155.0	1.009	848977810.184
156.0	1.0088	822635975.983
157.0	1.0086	796463803.245
158.0	1.0084	770427912.04
159.0	1.0082	744500236.487
160.0	1.008	718661244.574
161.0	1.0078	692894417.292
162.0	1.0076	667188359.891
163.0	1.0074	641533024.264
164.0	1.0072	615921460.961
165.0	1.007	590347256.08
166.0	1.0068	564806023.974
167.0	1.0066	539293522.89
168.0	1.0064	513806949.511
169.0	1.0062	488343384.357
170.0	1.006	462900999.109
171.0	1.0058	437477736.767
172.0	1.0056	412072527.903
173.0	1.0054	386684089.139
174.0	1.0052	361312055.47
175.0	1.005	335955855.635
176.0	1.0048	310615745.943
177.0	1.0046	285291791.691
178.0	1.0044	259984803.488
179.0	1.0042	234695391.547
180.0	1.004	209424812.826
181.0	1.0038	184174087.334
182.0	1.0036	158944799.034
183.0	1.0034	133738230.205
184.0	1.0032	108556107.319
185.0	1.003	83399774.8895
186.0	1.0028	58270893.4381
187.0	1.0026	33170619.8812
188.0	1.0024	8100196.36041
189.0	1.0022	-16939834.9285
190.0	1.002	-41943188.8238
191.0	1.0018	-66919046.9425
192.0	1.0016	-91865966.4061
193.0	1.0014	-116785637.188
194.0	1.0012	-141677977.741
195.0	1.001	-166539145.607
196.0	1.0008	-191375698.731
197.0	1.0006	-216187490.565
198.0	1.0004	-240976082.38
199.0	1.0002	-265741553.77
200.0	1.0	-290483877.168
201.0	0.9998	-315203422.733
202.0	0.9996	-339900061.461
203.0	0.9994	-364573970.109
204.0	0.9992	-389224770.437
205.0	0.999	-413852134.657
206.0	0.9988	-438455131.778
207.0	0.9986	-463032717.841
208.0	0.9984	-487583266.967
209.0	0.9982	-512104969.06
210.0	0.998	-536595501.408
211.0	0.9978	-561052371.852
212.0	0.9976	-585472708.563
213.0	0.9974	-609853596.289
214.0	0.9972	-634191956.314
215.0	0.997	-658484849.178
216.0	0.9968	-682729398.084
217.0	0.9966	-706923025.733
218.0	0.9964	-731063392.917
219.0	0.9962	-755148544.26
220.0	0.996	-779176848.954
221.0	0.9958	-803147052.947
222.0	0.9956	-827058227.167
223.0	0.9954	-850909754.19
224.0	0.9952	-874701300.469
225.0	0.995	-898432773.198
226.0	0.9948	-922104327.195
227.0	0.9946	-945716314.389
228.0	0.9944	-969269310.995
229.0	0.9942	-992764059.481
230.0	0.994	-1016201499.94
231.0	0.9938	-1039582701.33
232.0	0.9936	-1062908902.79
233.0	0.9934	-1086181434.48
234.0	0.9932	-1109401783.03
235.0	0.993	-1132571490.2
236.0	0.9928	-1155692242.49
237.0	0.9926	-1178765739.89
238.0	0.9924	-1201793810.74
239.0	0.9922	-1224778251.15
240.0	0.992	-1247720952.45
241.0	0.9918	-1270623718.03
242.0	0.9916	-1293488392.85
243.0	0.9914	-1316316678.15
244.0	0.9912	-1339110268.93
245.0	0.991	-1361870691.82
246.0	0.9908	-1384599457.38
247.0	0.9906	-1407297920.74
248.0	0.9904	-1429967437.32
249.0	0.9902	-1452609230.48
250.0	0.99	-1475224537.13
251.0	0.9898	-1497814467.98
252.0	0.9896	-1520380144.42
253.0	0.9894	-1542922559.42
254.0	0.9892	-1565442718.88
255.0	0.989	-1587941504.21
256.0	0.9888	-1610419815.69
257.0	0.9886	-1632878434.57
258.0	0.9884	-1655318167.05
259.0	0.9882	-1677739704.2
260.0	0.988	-1700143768.99
261.0	0.9878	-1722530976.88
262.0	0.9876	-1744901985.93
263.0	0.9874	-1767257355.97
264.0	0.9872	-1789597698.09
265.0	0.987	-1811923531.59
266.0	0.9868	-1834235429.82
267.0	0.9866	-1856533876.02
268.0	0.9864	-1878819406.04
269.0	0.9862	-1901092464.68
270.0	0.986	-1923353546.09
271.0	0.9858	-1945603054.26
272.0	0.9856	-1967841440.93
273.0	0.9854	-1990069071.85
274.0	0.9852	-2012286359.81
275.0	0.985	-2034493636.41
276.0	0.9848	-2056691277.22
277.0	0.9846	-2078879578.96
278.0	0.9844	-2101058875.62
279.0	0.9842	-2123229425.17
280.0	0.984	-2145391517.85
281.0	0.9838	-2167545373.28
282.0	0.9836	-2189691242.8
283.0	0.9834	-2211829315.34
284.0	0.9832	-2233959811.93
285.0	0.983	-2256082896.48
286.0	0.9828	-2278198763.56
287.0	0.9826	-2300307553.84
288.0	0.9824	-2322409438.84
289.0	0.9822	-2344504542.01
290.0	0.982	-2366593016.97
291.0	0.9818	-2388674971.66
292.0	0.9816	-2410750541.38
293.0	0.9814	-2432819823.5
294.0	0.9812	-2454882942.98
295.0	0.981	-2476939992.63
296.0	0.9808	-2498991090.25
297.0	0.9806	-2521036321.82
298.0	0.9804	-2543075795.96
299.0	0.9802	-2565109589.36
300.0	0.98	-2587137800.66
301.0	0.9802	-2551489240.75
302.0	0.9804	-2517849910.56
303.0	0.9806	-2485107238.46
304.0	0.9808	-2452855572.41
305.0	0.981	-2420829016.64
306.0	0.9812	-2388933186.67
307.0	0.9814	-2357098772.09
308.0	0.9816	-2325298907.83
309.0	0.9818	-2293512538.73
310.0	0.982	-2261729629.05
311.0	0.9822	-2229941650.25
312.0	0.9824	-2198144612.26
313.0	0.9826	-2166334725.17
314.0	0.9828	-2134510522.63
315.0	0.983	-2102670186.48
316.0	0.9832	-2070813322.82
317.0	0.9834	-2038938985.78
318.0	0.9836	-2007047275.09
319.0	0.9838	-1975137722.02
320.0	0.984	-1943210762.22
321.0	0.9842	-1911266310.91
322.0	0.9844	-1879305281.81
323.0	0.9846	-1847328231.2
324.0	0.9848	-1815337004.67
325.0	0.985	-1783333108.28
326.0	0.9852	-1751319429.03
327.0	0.9854	-1719297987.15
328.0	0.9856	-1687272351.99
329.0	0.9858	-1655244965.5
330.0	0.986	-1623220079.22
331.0	0.9862	-1591200235.05
332.0	0.9864	-1559189558.47
333.0	0.9866	-1527189984.68
334.0	0.9868	-1495205448.43
335.0	0.987	-1463238469.25
336.0	0.9872	-1431294871.33
337.0	0.9874	-1399380478.69
338.0	0.9876	-1367506264.33
339.0	0.9878	-1335685831.95
340.0	0.988	-1303942738.94
341.0	0.9882	-1272309680.29
342.0	0.9884	-1240837795.62
343.0	0.9886	-1209590270.06
344.0	0.9888	-1178640136.08
345.0	0.989	-1148045069.48
346.0	0.9892	-1117839074.05
347.0	0.9894	-1088026083.46
348.0	0.9896	-1058597157.97
349.0	0.9898	-1029539169.4
350.0	0.99	-1000843588.49
351.0	0.9902	-972502109.455
352.0	0.9904	-944502590.896
353.0	0.9906	-916820965.659
354.0	0.9908	-889423970.847
355.0	0.991	-862269949.181
356.0	0.9912	-835319115.012
357.0	0.9914	-808533290.064
358.0	0.9916	-781882574.683
359.0	0.9918	-755341171.414
360.0	0.992	-728890575.715
361.0	0.9922	-702514938.194
362.0	0.9924	-676203185.617
363.0	0.9926	-649945425.152
364.0	0.9928	-623734832.42
365.0	0.993	-597565014.9
366.0	0.9932	-571431699.503
367.0	0.9934	-545330707.487
368.0	0.9936	-519259396.136
369.0	0.9938	-493215074.675
370.0	0.994	-467196279.778
371.0	0.9942	-441201512.97
372.0	0.9944	-415230318.052
373.0	0.9946	-389282206.695
374.0	0.9948	-363357559.931
375.0	0.995	-337456672.036
376.0	0.9952	-311580525.472
377.0	0.9954	-285729929.189
378.0	0.9956	-259906198.165
379.0	0.9958	-234110354.162
380.0	0.996	-208343741.4
381.0	0.9962	-182607325.635
382.0	0.9964	-156902283.996
383.0	0.9966	-131229390.349
384.0	0.9968	-105589527.891
385.0	0.997	-79991292.2643
386.0	0.9972	-54422754.5083
387.0	0.9974	-28886099.1805
388.0	0.9976	-3380275.44322
389.0	0.9978	22093886.1742
390.0	0.998	47530305.2792
391.0	0.9982	72937634.2178
392.0	0.9984	98315737.9583
393.0	0.9986	123666879.064
394.0	0.9988	148986726.071
395.0	0.999	174281566.868
396.0	0.9992	199551623.223
397.0	0.9994	224795641.03
398.0	0.9996	250016517.955
399.0	0.9998	275214248.635
400.0	1.0	300389022.274
401.0	1.0002	325540543.407
402.0	1.0004	350668298.147
403.0	1.0006	375771066.009
404.0	1.0008	400847867.943
405.0	1.001	425897199.679
406.0	1.0012	450917496.344
407.0	1.0014	475906882.397
408.0	1.0016	500863113.637
409.0	1.0018	525783735.243
410.0	1.002	550665882.298
411.0	1.0022	575506601.501
412.0	1.0024	600302647.006
413.0	1.0026	625050893.319
414.0	1.0028	649748135.543
415.0	1.003	674391495.647
416.0	1.0032	698978199.506
417.0	1.0034	723505923.068
418.0	1.0036	747972570.875
419.0	1.0038	772376546.201
420.0	1.004	796716525.327
421.0	1.0042	820991650.018
422.0	1.0044	845201309.353
423.0	1.0046	869345279.792
424.0	1.0048	893423534.285
425.0	1.005	917436358.385
426.0	1.0052	941384176.975
427.0	1.0054	965267658.238
428.0	1.0056	989087561.937
429.0	1.0058	1012844842.63
430.0	1.006	1036540513.42
431.0	1.0062	1060175745.1
432.0	1.0064	1083751743.15
433.0	1.0066	1107269849.78
434.0	1.0068	1130731436.22
435.0	1.007	1154137999.64
436.0	1.0072	1177491057.34
437.0	1.0074	1200792225.86
438.0	1.0076	1224043125.32
439.0	1.0078	1247245445.28
440.0	1.008	1270400863.01
441.0	1.0082	1293511087.02
442.0	1.0084	1316577777.93
443.0	1.0086	1339602574.6
444.0	1.0088	1362587024.3
445.0	1.009	1385532611.56
446.0	1.0092	1408440710.49
447.0	1.0094	1431312624.59
448.0	1.0096	1454149557.8
449.0	1.0098	1476952656.97
450.0	1.01	1499722992.24
451.0	1.0102	1522461593.26
452.0	1.0104	1545169431.87
453.0	1.0106	1567847451.34
454.0	1.0108	1590496551.59
455.0	1.011	1613117610.86
456.0	1.0112	1635711470.34
457.0	1.0114	1658278945.77
458.0	1.0116	1680820814.61
459.0	1.0118	1703337823.46
460.0	1.012	1725830683.28
461.0	1.0122	1748300073.18
462.0	1.0124	1770746642.69
463.0	1.0126	1793171009.06
464.0	1.0128	1815573765.78
465.0	1.013	1837955473.75
466.0	1.0132	1860316674.9
467.0	1.0134	1882657878.91
468.0	1.0136	1904979583.53
469.0	1.0138	1927282257.72
470.0	1.014	1949566367.78
471.0	1.0142	1971832355.63
472.0	1.0144	1994080666.95
473.0	1.0146	2016311724.29
474.0	1.0148	2038525954.27
475.0	1.015	2060723756.37
476.0	1.0152	2082905530.63
477.0	1.0154	2105071645.09
478.0	1.0156	2127222464.1
479.0	1.0158	2149358316.28
480.0	1.016	2171479524.01
481.0	1.0162	2193586372.65
482.0	1.0164	2215679141.4
483.0	1.0166	2237758073.93
484.0	1.0168	2259823410.37
485.0	1.017	2281875358.51
486.0	1.0172	2303914127.57
487.0	1.0174	2325939897.6
488.0	1.0176	2347952854.37
489.0	1.0178	2369953157.03
490.0	1.018	2391940972.79
491.0	1.0182	2413916442.81
492.0	1.0184	2435879714.89
493.0	1.0186	2457830909.33
494.0	1.0188	2479770151.94
495.0	1.019	2501697541.6
496.0	1.0192	2523613182.53
497.0	1.0194	2545517151.85
498.0	1.0196	2567409534.0
499.0	1.0198	2589290388.9
500.0	1.02	2611159786.18
