3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
0.0	1.0	8.33245744186e-06
1.0	1.0002	32260359.0102
2.0	1.0004	64540292.7802
3.0	1.0006	96839717.8107
4.0	1.0008	129158638.693
5.0	1.001	161497089.38
6.0	1.0012	193855064.15
7.0	1.0014	226232583.538
8.0	1.0016	258629629.483
9.0	1.0018	291046210.038
10.0	1.002	323482327.071
11.0	1.0022	355937985.754
12.0	1.0024	388413124.35
13.0	1.0026	420907531.788
14.0	1.0028	453420273.777
15.0	1.003	485947844.375
16.0	1.0032	518478638.178
17.0	1.0034	550978446.816
18.0	1.0036	583364024.256
19.0	1.0038	615483832.944
20.0	1.004	647158464.687
21.0	1.0042	678276059.636
22.0	1.0044	708836279.496
23.0	1.0046	738908657.261
24.0	1.0048	768579764.723
25.0	1.005	797919350.21
26.0	1.0052	826975261.569
27.0	1.0054	855789474.947
28.0	1.0056	884406174.778
29.0	1.0058	912851893.866
30.0	1.006	941149374.805
31.0	1.0062	969297195.644
32.0	1.0064	997286982.291
33.0	1.0066	1025094175.64
34.0	1.0068	1052688083.89
35.0	1.007	1080043292.91
36.0	1.0072	1107126842.8
37.0	1.0074	1133921274.47
38.0	1.0076	1160398175.12
39.0	1.0078	1186536806.27
40.0	1.008	1212312123.66
41.0	1.0082	1237703606.81
42.0	1.0084	1262701300.58
43.0	1.0086	1287304351.92
44.0	1.0088	1311531077.96
45.0	1.009	1335405854.59
46.0	1.0092	1358967547.92
47.0	1.0094	1382251318.04
48.0	1.0096	1405298847.15
49.0	1.0098	1428141576.12
50.0	1.01	1450813294.79
51.0	1.0102	1473336387.16
52.0	1.0104	1495735014.08
53.0	1.0106	1518023443.99
54.0	1.0108	1540218454.45
55.0	1.011	1562328776.41
56.0	1.0112	1584366328.56
57.0	1.0114	1606336442.6
58.0	1.0116	1628247958.02
59.0	1.0118	1650104195.08
60.0	1.012	1671912007.1
61.0	1.0122	1693673518.79
62.0	1.0124	1715394228.72
63.0	1.0126	1737075522.57
64.0	1.0128	1758721913.78
65.0	1.013	1780334308.68
66.0	1.0132	1801916467.49
67.0	1.0134	1823468973.72
68.0	1.0136	1844994989.03
69.0	1.0138	1866494869.79
70.0	1.014	1887971286.43
71.0	1.0142	1909424427.82
72.0	1.0144	1930856553.57
73.0	1.0146	1952267726.84
74.0	1.0148	1973659863.57
75.0	1.015	1995032935.72
76.0	1.0152	2016388575.13
77.0	1.0154	2037726692.66
78.0	1.0156	2059048689.43
79.0	1.0158	2080354441.05
80.0	1.016	2101645163.04
81.0	1.0162	2122920716.12
82.0	1.0164	2144182166.54
83.0	1.0166	2165429374.07
84.0	1.0168	2186663281.42
85.0	1.017	2207883755.07
86.0	1.0172	2229091632.49
87.0	1.0174	2250286789.9
88.0	1.0176	2271469973.27
89.0	1.0178	2292641069.14
90.0	1.018	2313800742.61
91.0	1.0182	2334948890.04
92.0	1.0184	2356086105.31
93.0	1.0186	2377212293.45
94.0	1.0188	2398327985.61
95.0	1.019	2419433095.09
96.0	1.0192	2440528099.53
97.0	1.0194	2461612920.97
98.0	1.0196	2482687991.84
99.0	1.0198	2503753243.74
100.0	1.02	2524809071.43
101.0	1.0198	2486881266.9
102.0	1.0196	2451533978.78
103.0	1.0194	2417376885.72
104.0	1.0192	2383845016.39
105.0	1.019	2350636713.78
106.0	1.0188	2317618654.37
107.0	1.0186	2284711346.58
108.0	1.0184	2251876781.67
109.0	1.0182	2219091658.02
110.0	1.018	2186343663.44
111.0	1.0178	2153624728.31
112.0	1.0176	2120930866.22
113.0	1.0174	2088259408.24
114.0	1.0172	2055609103.77
115.0	1.017	2022979069.27
116.0	1.0168	1990368923.7
117.0	1.0166	1957778347.59
118.0	1.0164	1925207216.59
119.0	1.0162	1892655399.95
120.0	1.016	1860122882.22
121.0	1.0158	1827609596.99
122.0	1.0156	1795115554.16
123.0	1.0154	1762640717.33
124.0	1.0152	1730185132.45
125.0	1.015	1697748802.15
126.0	1.0148	1665331858.65
127.0	1.0146	1632934381.91
128.0	1.0144	1600556671.97
