6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	2.16607150658e-06
1.0	0.00133200177512	302517080.828
2.0	0.00266134751302	433289393.255
3.0	0.00398804778503	463504286.589
4.0	0.00531211309945	481993194.629
5.0	0.00663355390211	497229458.569
6.0	0.00795238057685	511047585.844
7.0	0.00926860344599	524079437.499
8.0	0.0105822327709	536614334.402
9.0	0.0118932787522	548807839.604
10.0	0.0132017515308	560750176.791
