6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	1.66580916072e-06
1.0	0.00133200177512	313495619.147
2.0	0.00266134751303	441096530.478
3.0	0.00398804778503	470812010.592
4.0	0.00531211309945	489801457.575
5.0	0.00663355390211	505749346.709
6.0	0.00795238057685	520305967.257
7.0	0.00926860344599	534071844.736
8.0	0.0105822327709	547331762.819
9.0	0.0118932787522	560229746.607
10.0	0.0132017515308	572854400.209
