2	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	4.93493445852e-06	4.16487425905e-07	2.38798468033e-07	4.16487425905e-07	4.91526343204e-06	-5.40832262627e-07	2.38798468033e-07	-5.40832262627e-07	3.53912842059e-06
1	nan	nan	1	1	32.0	32.0	32.0	1.0005	2.11060303172e-22	-3.54193568416e-20	1.38811246544e-23	1.0	-7.04034615847e-20	2.19719850209e-25	-1.92671044179e-21	1.0	82558778.03	237695.039887	324599.295163	237576.267051	37306173.1756	-420811.472897	324437.104386	-420811.517862	37726251.7082
2	nan	nan	1	1	32.0	32.0	32.0	1.001	3.19221923081e-21	-2.70858999111e-20	-2.68704452109e-23	1.0	-1.20281366847e-20	1.27194528817e-21	-3.96069586927e-21	1.0	165243033.99	475408.522755	649770.31312	474933.619174	74631136.5516	-841896.91881	649121.198711	-841896.944529	75471136.6658
3	nan	nan	1	1	32.0	32.0	32.0	1.0015	-1.11921414288e-21	-6.47542574407e-20	5.05614149423e-23	1.0	1.92616786301e-19	1.36541669738e-21	2.10403728561e-21	1.0	248052620.758	713654.602533	975385.644247	712585.712134	111974765.996	-1263277.75854	973924.751301	-1263277.71383	113234988.272
4	nan	nan	1	1	32.0	32.0	32.0	1.002	1.00517954062e-21	-6.362662932e-20	-9.68059810628e-23	1.0	3.10741098755e-19	2.31168546875e-21	-5.89159391291e-21	1.0	330987917.891	952215.238706	1301616.25479	950314.639162	149336951.046	-1684877.11223	1299018.21306	-1684877.09891	151017582.334
5	nan	nan	1	1	32.0	32.0	32.0	1.0025	-3.80578045017e-21	-3.77386678817e-20	-7.038531531e-22	1.0	-2.05040806457e-19	3.00941231544e-21	-3.27491144267e-21	1.0	414048286.09	1191162.80475	1628338.88758	1188192.34865	186718065.079	-2106806.87372	1624278.20433	-2106806.85109	188819229.634
6	nan	nan	1	1	32.0	32.0	32.0	1.003	-4.04698114692e-22	2.16139554024e-19	-2.16744584944e-21	1.0	-5.22045988894e-19	2.14495687653e-21	8.91080314873e-22	1.0	497216633.738	1430920.79476	1954937.82272	1426640.89315	224127422.996	-2529502.5503	1949090.5232	-2529502.62001	226647218.928
7	nan	nan	1	1	32.0	32.0	32.0	1.0035	-6.46591575196e-21	-1.78205723217e-21	2.87305676134e-21	1.0	2.99037682159e-19	3.23807605602e-21	-9.79340486232e-21	1.0	580214677.727	1680978.10192	2271009.33947	1675114.3919	261714909.543	-2965605.76233	2263087.70183	-2965606.59009	264619762.022
8	nan	nan	1	1	32.0	32.0	32.0	1.004	7.04985356564e-21	2.4774059346e-22	8.80125341635e-21	1.0	4.68265393803e-19	-1.03537163297e-21	-5.08654038174e-21	1.0	661660132.343	1992772.17615	2542212.12196	1984833.69412	300200338.972	-3516288.76965	2532083.35524	-3516287.34271	303338040.645
9	nan	nan	1	1	32.0	32.0	32.0	1.0045	1.62471197002e-20	-2.55733226128e-19	-2.84343335565e-23	1.0	-4.18487215503e-19	1.01182800479e-20	1.58913803381e-20	1.0	739901707.752	2446987.9283	2818920.9693	2436024.09834	340329530.652	-4319270.92477	2806291.91048	-4319261.69385	343612629.362
