3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
202.0	1.099	10513959477.9
203.0	1.0985	10429817718.7
204.0	1.098	10346391745.1
205.0	1.0975	10263254683.1
206.0	1.097	10180383929.9
207.0	1.0965	10097686439.4
208.0	1.096	10015161618.5
209.0	1.0955	9932903398.78
210.0	1.095	9850893709.15
211.0	1.0945	9769180909.43
212.0	1.094	9687989534.26
213.0	1.0935	9607233543.39
214.0	1.093	9527092578.4
215.0	1.0925	9447621537.08
216.0	1.092	9369013872.97
217.0	1.0915	9291651476.01
218.0	1.091	9216312242.6
219.0	1.0905	9142665362.24
220.0	1.09	9071128482.37
221.0	1.0895	9000589351.5
222.0	1.089	8931446059.18
223.0	1.0885	8862929567.86
224.0	1.088	8795057751.25
225.0	1.0875	8727807097.61
226.0	1.087	8661166226.0
227.0	1.0865	8595280744.62
228.0	1.086	8529942395.63
229.0	1.0855	8465240254.51
230.0	1.085	8401138440.25
231.0	1.0845	8337764499.08
232.0	1.084	8275053775.24
233.0	1.0835	8213074569.42
234.0	1.083	8151817936.23
235.0	1.0825	8091501864.0
236.0	1.082	8031755922.25
237.0	1.0815	7972584917.5
238.0	1.081	7913879793.94
239.0	1.0805	7855801007.69
240.0	1.08	7798150636.35
241.0	1.0795	7740948639.48
242.0	1.079	7684084600.08
243.0	1.0785	7627622441.2
244.0	1.078	7571473433.76
245.0	1.0775	7515575605.05
246.0	1.077	7460056568.76
247.0	1.0765	7404766416.04
248.0	1.076	7349688450.19
249.0	1.0755	7294784463.96
250.0	1.075	7240251884.86
251.0	1.0745	7185886256.6
252.0	1.074	7131641764.29
253.0	1.0735	7077580105.36
254.0	1.073	7023655299.42
255.0	1.0725	6969843008.54
256.0	1.072	6916316618.19
257.0	1.0715	6862895532.32
258.0	1.071	6809543810.3
259.0	1.0705	6756297614.45
260.0	1.07	6703153223.13
261.0	1.0695	6650092819.44
262.0	1.069	6597265237.91
263.0	1.0685	6544505304.65
264.0	1.068	6491746780.9
265.0	1.0675	6439030410.24
266.0	1.067	6386500612.35
267.0	1.0665	6334024036.43
268.0	1.066	6281577101.74
269.0	1.0655	6229166781.93
270.0	1.065	6176891801.67
271.0	1.0645	6124652672.19
272.0	1.064	6072450385.16
273.0	1.0635	6020278907.76
274.0	1.063	5968146898.41
275.0	1.0625	5916148638.17
276.0	1.062	5864174365.4
277.0	1.0615	5812205549.25
278.0	1.061	5760265836.31
279.0	1.0605	5708375493.76
280.0	1.06	5656503512.9
281.0	1.0595	5604650698.44
282.0	1.059	5552960471.85
283.0	1.0585	5501265532.27
284.0	1.058	5449563425.74
285.0	1.0575	5397855428.88
286.0	1.057	5346227338.3
287.0	1.0565	5294613248.76
288.0	1.056	5243001702.58
289.0	1.0555	5191399576.74
290.0	1.055	5139811227.62
291.0	1.0545	5088339696.65
292.0	1.054	5036873054.65
293.0	1.0535	4985397269.87
294.0	1.053	4933913130.95
295.0	1.0525	4882424989.6
296.0	1.052	4831056037.85
297.0	1.0515	4779684111.03
298.0	1.051	4728298155.38
299.0	1.0505	4676901562.89
