6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	2.4039164089e-06
1.0	0.00133200177512	310538116.507
2.0	0.00266134751302	438432903.55
3.0	0.00398804778503	467835190.152
4.0	0.00531211309945	486318940.424
5.0	0.00663355390211	501707022.807
6.0	0.00795238057685	515682660.511
7.0	0.00926860344599	528862537.544
8.0	0.0105822327709	541542189.73
9.0	0.0118932787522	553870378.278
10.0	0.0132017515308	565949095.268
