6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	4.43288954571e-07
1.0	0.00133200177512	315807466.735
2.0	0.00266134751302	445569856.215
3.0	0.00398804778503	479144579.654
4.0	0.00531211309945	502101794.37
5.0	0.00663355390211	521722123.388
6.0	0.00795238057685	539681261.155
7.0	0.00926860344599	556617695.451
8.0	0.0105822327709	572841368.524
9.0	0.0118932787522	588531200.166
10.0	0.0132017515308	603807394.827
