5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-4.83858498079e-06	2.954484375e-07	3.4105060622e-07	2.954484375e-07	-3.80313009611e-06	-8.54461396784e-07	3.4105060622e-07	-8.54461396784e-07	-2.60389440496e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.83858498079e-06	2.954484375e-07	3.4105060622e-07	2.954484375e-07	-3.80313009611e-06	-8.54461396784e-07	3.4105060622e-07	-8.54461396784e-07	-2.60389440496e-07	0.0	4.48248312987e-06
1	nan	nan	1	1	32.0	32.0	32.0	1.002	2.82984691409e-20	-1.00215267996e-18	-4.71492949155e-22	1.0	1.32107423308e-18	-5.48420746123e-22	-3.33510951175e-20	1.0	486750166.647	8051313.36038	5639378.83272	8035242.67658	172452822.848	-22591293.6381	5628122.09503	-22591293.9063	152792832.861	0.001998002662673058	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	486750166.64699996	8035242.874630739	5628122.587544911	8035242.676579999	172108605.63672653	-22546201.23562874	5628122.0950299995	-22546201.503293414	152487857.14670658	0.00133200177512	327675914.389
2	nan	nan	1	1	32.0	32.0	32.0	1.004	1.8816290984e-20	-1.53751245101e-18	6.59841974634e-21	1.0	-8.44960032639e-19	-1.68910281083e-21	5.03972195907e-20	1.0	842409054.255	6607677.99461	7950466.15816	6581352.73749	408141315.099	-39241562.0011	7918790.91846	-39241560.8421	373812920.104	0.003992021269537457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.2204460492503136e-16	842409054.255	6581352.584272909	7918790.9941832675	6581352.73749	406515254.0826693	-39085221.11663347	7918790.91846	-39085219.962251	372323625.6015936	0.00266134751303	459322783.141
3	nan	nan	1	1	32.0	32.0	32.0	1.006	-1.46873362384e-19	-3.48204987577e-19	1.64278069653e-21	1.0	2.63985097201e-18	3.27679327857e-20	-2.41586369702e-20	1.0	1129293726.41	3451610.51089	9837539.13854	3431018.35162	673745387.856	-47871087.3645	9778866.27307	-47871087.1793	632671735.931	0.005982071677547469	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	0.0	1129293726.41	3431024.3647017893	9778865.942882704	3431018.35162	669727025.7017893	-47585573.92097416	9778866.27307	-47585573.73687873	628898345.8558649	0.00398804778503	488617836.441
4	nan	nan	1	1	32.0	32.0	32.0	1.008	-2.77552182736e-20	-4.3458597002e-18	5.35020420199e-21	1.0	-4.54815250927e-18	-1.40935032767e-20	1.08640247291e-19	1.0	1408927078.6	2017290.25683	11988507.4787	2001277.50304	941206932.98	-52693819.8517	11893359.8119	-52693817.9649	897165873.133	0.007968169649176881	0.0	0.0	0.0	-4.440892098500627e-16	0.0	0.0	0.0	-4.440892098500627e-16	1408927078.6	2001280.0166964286	11893360.593948415	2001277.5030400006	933737036.6865079	-52275614.932242066	11893359.811899995	-52275613.060416676	890045509.0605159	0.00531211309945	507061036.978
5	nan	nan	1	1	32.0	32.0	32.0	1.01	-1.23130797262e-19	-6.73238991834e-19	6.74979379843e-22	1.0	9.04887530939e-18	-1.38403860092e-20	-4.59515373885e-20	1.0	1686254859.65	1347068.49275	13914908.608	1333718.73024	1209470227.38	-56068405.7697	13777121.1607	-56068401.0418	1163634225.65	0.009950330853168092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1686254859.65	1333731.1809405943	13777137.235643564	1333718.7302399997	1197495274.6336634	-55513273.03930693	13777121.1607	-55513268.35821781	1152113094.7029703	0.00663355390211	522442708.472
6	nan	nan	1	1	32.0	32.0	32.0	1.012	-3.01272413982e-19	3.2140135788e-18	1.35161312091e-20	1.0	-6.74523934198e-18	-1.00916034731e-20	-3.4460344319e-21	1.0	1962273024.12	1018935.32498	15590295.398	1006833.93237	1478440805.29	-58775961.0766	15405413.8047	-58775955.4432	1431195158.58	0.011928570865273812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1962273024.1199996	1006853.087924901	15405430.235177865	1006833.9323699994	1460909886.6501975	-58079012.9215415	15405413.804700002	-58079007.35494071	1414224464.9999998	0.00795238057685	536456345.122
7	nan	nan	1	1	32.0	32.0	32.0	1.014	-4.435193552e-19	7.76755682412e-20	-5.16921708397e-20	1.0	-4.10902796466e-19	-4.56603698129e-22	2.19844754482e-19	1.0	2237322197.4	875783.82583	17053296.0403	863656.457477	1748079239.15	-61110359.053	16817816.2666	-61110351.8087	1699551983.73	0.013902905168991434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2237322197.4	863692.1359270216	16817846.193589743	863656.4574769991	1723944022.830375	-60266626.28500987	16817816.2666	-60266619.140729785	1676086768.964497	0.00926860344599	549693814.849
8	nan	nan	1	1	32.0	32.0	32.0	1.016	2.47386560157e-19	9.7340662339e-18	7.9717049993e-20	1.0	-8.00985374197e-18	1.49454993076e-20	-1.25499842537e-20	1.0	2511555810.35	832325.392272	18334659.7413	819165.935631	2018338072.43	-63195115.8023	18045879.6256	-63195124.3023	1968604197.58	0.015873349156290163	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2511555810.35	819217.9057795276	18045924.942224413	819165.9356309999	1986553220.8956695	-62199917.12824803	18045879.625600018	-62199925.49438978	1937602556.6732283	0.0105822327709	562413175.131
9	nan	nan	1	1	32.0	32.0	32.0	1.018	-2.69234054496e-19	-2.56910386858e-18	1.87075167335e-19	1.0	1.47104087873e-17	9.15060280831e-20	3.77392882671e-19	1.0	2785062605.5	847305.307851	19476003.2625	832259.126335	2289187319.5	-65105071.7019	19131557.1101	-65105049.7506	2238295608.69	0.017839918128331016	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2785062605.5	832323.4851188612	19131633.853143416	832259.1263349996	2248710529.960707	-63953901.47534381	19131557.110099994	-63953879.91218072	2198718672.583497	0.0118932787522	574766390.433
