5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	8.55172497617e-06	-3.07173937419e-07	1.25267896719e-08	-3.07173937419e-07	1.18418963486e-05	-4.35812607157e-07	1.25267896719e-08	-4.35812607157e-07	6.88489686462e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.55172497617e-06	-3.07173937419e-07	1.25267896719e-08	-3.07173937419e-07	1.18418963486e-05	-4.35812607157e-07	1.25267896719e-08	-4.35812607157e-07	6.88489686462e-06	0.0	4.46553802798e-06
1	nan	nan	1	1	32.0	32.0	32.0	1.002	4.05104984155e-20	2.07680288092e-18	-2.11965031967e-23	1.0	-8.08880275476e-19	-2.52962171076e-22	-3.32601052501e-20	1.0	478223326.704	665217.11401	3705192.62388	663889.589522	169911644.34	-1184682.61375	3697798.25517	-1184682.01033	163849394.787	0.001998002662673058	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	478223326.70399994	663889.3353393213	3697797.029820359	663889.5895219999	169572499.34131736	-1182317.9777944111	3697798.2551700003	-1182317.3755788424	163522350.08682632	0.00133200177512	311794576.774
2	nan	nan	1	1	32.0	32.0	32.0	1.004	2.42490064521e-20	-6.39334306092e-19	6.65260007646e-20	1.0	-1.31252925056e-18	5.57943662925e-21	-6.26105413351e-20	1.0	831840293.889	4137982.26719	3926236.67278	4121496.13927	400901136.31	-783809.786756	3910594.56732	-783810.51482	391656557.477	0.003992021269537457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.2204460492503136e-16	831840293.889	4121496.282061753	3910594.2955976096	4121496.13927	399303920.62749004	-780687.0386015937	3910594.5673199994	-780687.7637649408	390096172.78585654	0.00266134751303	437325793.351
3	nan	nan	1	1	32.0	32.0	32.0	1.006	-4.00016272425e-20	2.88597814969e-18	8.57798702927e-20	1.0	1.00183069991e-18	1.04605260263e-20	5.04150039739e-20	1.0	1119236929.3	5818336.65921	1884842.33434	5783634.68324	663351224.987	89925.3958825	1873603.13805	89925.1538195	653178278.891	0.005982071677547469	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	0.0	1119236929.3	5783634.850109344	1873600.7299602388	5783634.683240001	659394855.8518887	89389.06151341951	1873603.1380500018	89388.82089413585	649282583.3906561	0.00398804778503	465099930.467
4	nan	nan	1	1	32.0	32.0	32.0	1.008	-1.64180875931e-20	-1.10221992399e-18	-4.32218413671e-20	1.0	5.95722490425e-18	1.07913982714e-20	-1.48091799427e-19	1.0	1399346405.96	6278276.94478	688684.51407	6228444.17318	929284477.625	380345.413088	683220.485095	380346.501631	918755581.884	0.007968169649176881	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	1399346405.96	6228449.349980159	683218.7639583334	6228444.17318	921909203.9930556	377326.79869841255	683220.4850949991	377327.878602188	911463870.9166666	0.00531211309945	482867047.483
5	nan	nan	1	1	32.0	32.0	32.0	1.01	-9.69380197681e-20	-9.11330678545e-18	-7.02991851287e-20	1.0	2.45754863681e-18	6.14595195127e-22	1.20268752343e-19	1.0	1676865529.34	6471010.30178	-115033.958012	6406924.09305	1196709035.3	563304.096071	-113888.184436	563296.540993	1185906534.74	0.009950330853168092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1676865529.34	6406940.892851486	-113895.00793267327	6406924.09305	1184860430.990099	557726.8277930694	-113888.1844360107	557719.3475178247	1174164885.8811882	0.00663355390211	497563857.853
6	nan	nan	1	1	32.0	32.0	32.0	1.012	-4.64270111444e-20	-6.01744034412e-18	-8.55871372099e-20	1.0	-1.57286077371e-18	-9.52250321171e-21	-7.33924270294e-20	1.0	1952905445.62	6578243.34243	-708983.928352	6500200.16939	1465093766.07	738360.605922	-700568.40635	738354.429775	1454062764.4	0.011928570865273812	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-4.440892098500627e-16	1952905445.62	6500240.45694664	-700577.0043003951	6500200.16939	1447721112.7173913	729605.341820158	-700568.4063500086	729599.2389081004	1436820913.4387352	0.00795238057685	510848766.675
7	nan	nan	1	1	32.0	32.0	32.0	1.014	-1.5390274323e-19	6.5620018791e-18	-4.27900530874e-21	1.0	-1.15096540865e-17	-1.40504898848e-20	1.80368386928e-19	1.0	2227889311.5	6647419.96224	-1154208.23857	6555593.07386	1734241124.13	913545.017181	-1138266.1057	913535.149115	1723008064.97	0.013902905168991434	0.0	0.0	0.0	-4.440892098500627e-16	0.0	0.0	0.0	-4.440892098500627e-16	2227889311.5	6555640.988402368	-1138272.4246252466	6555593.07386	1710296966.5976334	900931.9696065092	-1138266.1056999888	900922.2377859766	1699218998.984221	0.00926860344599	523348524.814
8	nan	nan	1	1	32.0	32.0	32.0	1.016	-5.11127308206e-20	-3.02786981683e-19	5.87926892178e-20	1.0	-1.49782556599e-18	-1.24457594965e-20	7.95648487603e-20	1.0	2502014766.91	6705538.24433	-1495717.97915	6599861.65231	2004062314.43	1083458.51847	-1472189.82978	1083431.99612	1992636909.93	0.015873349156290163	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2502014766.9100003	6599939.216860237	-1472163.3653051183	6599861.65231	1972502277.9822836	1066396.179596457	-1472189.829780001	1066370.0749212569	1961256801.1122048	0.0105822327709	535355159.324
9	nan	nan	1	1	32.0	32.0	32.0	1.018	-4.32381781842e-20	1.5867038067e-17	-7.20838273003e-20	1.0	-1.59101143246e-17	-1.98258649217e-20	1.47631887006e-19	1.0	2775386860.97	6768889.75846	-1765883.83354	6649118.04959	2274506241.6	1249744.37651	-1734648.07641	1249729.05905	2262900837.4	0.017839918128331016	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2775386860.97	6649204.084931238	-1734659.9543614932	6649118.04959	2234289038.8998036	1227646.7352750495	-1734648.0764099648	1227631.6886541885	2222888838.310413	0.0118932787522	547020679.435
