6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	1.29307079366e-06
1.0	0.00133200177512	334270854.852
2.0	0.00266134751303	453304701.481
3.0	0.00398804778503	481009334.147
4.0	0.00531211309945	499262710.15
5.0	0.00663355390211	514634965.864
6.0	0.00795238057685	528681976.547
7.0	0.00926860344599	541985665.46
8.0	0.0105822327709	554819739.856
9.0	0.0118932787522	567328125.326
10.0	0.0132017515308	579589091.247
