6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	6.07620540589e-07
1.0	0.00133200177512	313436759.008
2.0	0.00266134751302	443651608.121
3.0	0.00398804778503	476055373.21
4.0	0.00531211309945	497744508.538
5.0	0.00663355390211	516170792.19
6.0	0.00795238057685	533018869.937
7.0	0.00926860344599	548923197.507
8.0	0.0105822327709	564184651.7
9.0	0.0118932787522	578972073.374
10.0	0.0132017515308	593392043.914
