6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	1.13166502587e-06
1.0	0.00133200177512	315716523.331
2.0	0.00266134751302	440759482.064
3.0	0.00398804778503	470308419.259
4.0	0.00531211309945	489845685.337
5.0	0.00663355390211	506364075.963
6.0	0.00795238057685	521432244.378
7.0	0.00926860344599	535651085.531
8.0	0.0105822327709	549314030.11
9.0	0.0118932787522	562577767.23
10.0	0.0132017515308	575538974.305
