6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	5.20721458015e-06
1.0	0.00133200177512	317309250.883
2.0	0.00266134751303	442869006.261
3.0	0.00398804778503	468414497.288
4.0	0.00531211309945	485095203.393
5.0	0.00663355390211	499293869.536
6.0	0.00795238057685	512308032.589
7.0	0.00926860344599	524640255.976
8.0	0.0105822327709	536542117.841
9.0	0.0118932787522	548146852.048
10.0	0.0132017515308	559537975.965
