3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
0.0	1.0	-4.33415723924e-06
1.0	1.00025	40718553.5153
2.0	1.0005	81467977.2376
3.0	1.00075	122248190.531
4.0	1.001	163059256.847
5.0	1.00125	203901165.979
6.0	1.0015	244773917.495
7.0	1.00175	285677545.486
8.0	1.002	326612021.703
9.0	1.00225	367577365.539
10.0	1.0025	408573494.192
11.0	1.00275	449599943.387
12.0	1.003	490654121.258
13.0	1.00325	531724201.892
14.0	1.0035	572765534.22
15.0	1.00375	613648065.266
16.0	1.004	654114001.723
17.0	1.00425	693855640.412
18.0	1.0045	732688583.613
19.0	1.00475	770614900.491
20.0	1.005	807732664.371
21.0	1.00525	844248265.959
22.0	1.0055	880236845.803
23.0	1.00575	915849348.936
24.0	1.006	951076240.891
25.0	1.00625	986060420.713
26.0	1.0065	1020796400.85
27.0	1.00675	1055292710.04
28.0	1.007	1089520289.72
29.0	1.00725	1123420550.24
30.0	1.0075	1156966731.44
31.0	1.00775	1190100107.47
32.0	1.008	1222817317.37
33.0	1.00825	1255040477.67
34.0	1.0085	1286874490.02
35.0	1.00875	1318323730.24
36.0	1.009	1349423628.56
37.0	1.00925	1380185771.07
38.0	1.0095	1410645461.83
39.0	1.00975	1440820242.87
40.0	1.01	1470743516.37
41.0	1.01025	1500433568.92
42.0	1.0105	1529917413.44
43.0	1.01075	1559209975.73
44.0	1.011	1588331705.89
45.0	1.01125	1617293936.59
46.0	1.0115	1646112075.8
47.0	1.01175	1674794672.66
48.0	1.012	1703353632.16
49.0	1.01225	1731795607.82
50.0	1.0125	1760130160.05
51.0	1.01275	1788362764.57
52.0	1.013	1816501377.01
53.0	1.01325	1844550720.91
54.0	1.0135	1872517540.07
55.0	1.01375	1900405994.46
56.0	1.014	1928221817.33
57.0	1.01425	1955968678.24
58.0	1.0145	1983651424.76
59.0	1.01475	2011273268.38
60.0	1.015	2038838278.83
61.0	1.01525	2066349243.21
62.0	1.0155	2093809560.98
63.0	1.01575	2121221630.69
64.0	1.016	2148588275.91
65.0	1.01625	2175911543.44
66.0	1.0165	2203193768.81
67.0	1.01675	2230436692.28
68.0	1.017	2257642246.74
69.0	1.01725	2284811913.52
70.0	1.0175	2311947296.74
71.0	1.01775	2339049660.4
72.0	1.018	2366120339.73
73.0	1.01825	2393160417.77
74.0	1.0185	2420171011.21
75.0	1.01875	2447153054.61
76.0	1.019	2474107489.37
77.0	1.01925	2501035129.93
78.0	1.0195	2527936777.96
79.0	1.01975	2554813150.26
80.0	1.02	2581664936.74
81.0	1.02025	2608492776.31
82.0	1.0205	2635297270.36
83.0	1.02075	2662078995.06
84.0	1.021	2688838482.56
85.0	1.02125	2715576259.81
86.0	1.0215	2742292806.54
87.0	1.02175	2768988610.69
88.0	1.022	2795664110.3
89.0	1.02225	2822319758.89
90.0	1.0225	2848955956.73
91.0	1.02275	2875573121.8
92.0	1.023	2902171615.83
93.0	1.02325	2928751820.07
94.0	1.0235	2955314058.72
95.0	1.02375	2981858678.04
96.0	1.024	3008385968.69
97.0	1.02425	3034896246.57
98.0	1.0245	3061389774.99
99.0	1.02475	3087866844.95
100.0	1.025	3114327698.69
101.0	1.02525	3140772607.57
102.0	1.0255	3167201797.32
103.0	1.02575	3193615522.32
104.0	1.026	3220013993.07
105.0	1.02625	3246397447.13
106.0	1.0265	3272766080.44
107.0	1.02675	3299120114.67
108.0	1.027	3325459732.29
109.0	1.02725	3351785139.15
110.0	1.0275	3378096504.26
111.0	1.02775	3404394018.42
112.0	1.028	3430677838.53
113.0	1.02825	3456948142.4
114.0	1.0285	3483205076.82
115.0	1.02875	3509448808.73
116.0	1.029	3535679476.69
117.0	1.02925	3561897238.7
118.0	1.0295	3588102226.64
119.0	1.02975	3614294590.6
120.0	1.03	3640474456.07
121.0	1.03025	3666641965.48
122.0	1.0305	3692797238.12
123.0	1.03075	3718940408.74
124.0	1.031	3745071590.06
125.0	1.03125	3771190908.84
126.0	1.0315	3797298471.32
127.0	1.03175	3823394396.85
128.0	1.032	3849478785.76
129.0	1.03225	3875551750.45
130.0	1.0325	3901613385.13
131.0	1.03275	3927663795.27
132.0	1.033	3953703068.75
133.0	1.03325	3979731304.55
134.0	1.0335	4005748584.5
135.0	1.03375	4031755001.5
136.0	1.034	4057750631.97
137.0	1.03425	4083735563.55
138.0	1.0345	4109709868.51
139.0	1.03475	4135673630.32
140.0	1.035	4161626918.22
141.0	1.03525	4187569812.42
142.0	1.0355	4213502380.23
143.0	1.03575	4239424699.38
144.0	1.036	4265336835.78
145.0	1.03625	4291238864.74
146.0	1.0365	4317130850.35
147.0	1.03675	4343012864.63
148.0	1.037	4368884968.71
149.0	1.03725	4394747230.78
150.0	1.0375	4420599708.56
151.0	1.03775	4446442466.72
152.0	1.038	4472275559.84
153.0	1.03825	4498099049.01
154.0	1.0385	4523912985.79
155.0	1.03875	4549717428.25
156.0	1.039	4575512425.83
157.0	1.03925	4601298034.27
158.0	1.0395	4627074301.43
159.0	1.03975	4652841280.98
160.0	1.04	4678599019.33
161.0	1.04025	4704347568.24
162.0	1.0405	4730086972.51
163.0	1.04075	4755817281.57
164.0	1.041	4781538537.68
165.0	1.04125	4807250787.0
166.0	1.0415	4832954068.61
167.0	1.04175	4858648425.2
168.0	1.042	4884333892.97
169.0	1.04225	4910010512.07
170.0	1.0425	4935678317.13
171.0	1.04275	4961337346.98
172.0	1.043	4986987635.86
173.0	1.04325	5012629222.28
174.0	1.0435	5038262140.55
175.0	1.04375	5063886429.02
176.0	1.044	5089502121.96
177.0	1.04425	5115109257.66
178.0	1.0445	5140707870.55
179.0	1.04475	5166297998.82
180.0	1.045	5191879676.48
181.0	1.04525	5217452940.52
182.0	1.0455	5243017823.3
183.0	1.04575	5268574359.72
184.0	1.046	5294122580.02
185.0	1.04625	5319662516.78
186.0	1.0465	5345194198.31
187.0	1.04675	5370717655.05
188.0	1.047	5396232913.79
189.0	1.04725	5421740003.33
190.0	1.0475	5447238949.45
191.0	1.04775	5472729779.96
192.0	1.048	5498212520.14
193.0	1.04825	5523687197.01
194.0	1.0485	5549153835.41
195.0	1.04875	5574612461.33
196.0	1.049	5600063098.76
197.0	1.04925	5625505772.16
198.0	1.0495	5650940504.46
199.0	1.04975	5676367318.62
200.0	1.05	5701786236.81
201.0	1.05025	5727197280.82
202.0	1.0505	5752600472.52
203.0	1.05075	5777995832.99
204.0	1.051	5803383383.98
205.0	1.05125	5828763145.95
206.0	1.0515	5854135140.25
207.0	1.05175	5879499386.47
208.0	1.052	5904855905.3
209.0	1.05225	5930204715.28
210.0	1.0525	5955545836.24
211.0	1.05275	5980879285.38
212.0	1.053	6006205081.37
213.0	1.05325	6031523239.72
214.0	1.0535	6056833777.74
215.0	1.05375	6082136709.25
216.0	1.054	6107432050.42
217.0	1.05425	6132719813.8
218.0	1.0545	6158000015.0
219.0	1.05475	6183272666.06
220.0	1.055	6208537782.84
221.0	1.05525	6233795377.59
222.0	1.0555	6259045466.89
223.0	1.05575	6284288063.54
224.0	1.056	6309523184.75
225.0	1.05625	6334750843.63
226.0	1.0565	6359971057.66
227.0	1.05675	6385183839.79
228.0	1.057	6410389207.39
229.0	1.05725	6435587172.92
230.0	1.0575	6460777753.57
231.0	1.05775	6485960961.15
232.0	1.058	6511136812.64
233.0	1.05825	6536305319.03
234.0	1.0585	6561466496.92
235.0	1.05875	6586620356.15
236.0	1.059	6611766912.84
237.0	1.05925	6636906175.67
238.0	1.0595	6662038160.54
239.0	1.05975	6687162875.46
240.0	1.06	6712280336.74
241.0	1.06025	6737390552.42
242.0	1.0605	6762493539.92
243.0	1.06075	6787589307.88
244.0	1.061	6812677875.07
245.0	1.06125	6837759250.75
246.0	1.0615	6862833455.13
247.0	1.06175	6887900498.0
248.0	1.062	6912960401.03
249.0	1.06225	6938013174.23
250.0	1.0625	6963058840.29
251.0	1.06275	6988097409.02
252.0	1.063	7013128904.42
253.0	1.06325	7038153336.09
254.0	1.0635	7063170729.93
255.0	1.06375	7088181095.12
256.0	1.064	7113184459.14
257.0	1.06425	7138180830.54
258.0	1.0645	7163170238.0
259.0	1.06475	7188152689.22
260.0	1.065	7213128213.73
261.0	1.06525	7238096818.03
262.0	1.0655	7263058532.0
263.0	1.06575	7288013360.51
264.0	1.066	7312961333.4
265.0	1.06625	7337902453.75
266.0	1.0665	7362836751.24
267.0	1.06675	7387764227.36
268.0	1.067	7412684911.93
269.0	1.06725	7437598805.68
270.0	1.0675	7462505939.2
271.0	1.06775	7487406313.23
272.0	1.068	7512299959.46
273.0	1.06825	7537186879.03
274.0	1.0685	7562067104.85
275.0	1.06875	7586940638.61
276.0	1.069	7611807514.5
277.0	1.06925	7636667734.82
278.0	1.0695	7661521334.88
279.0	1.06975	7686368317.22
280.0	1.07	7711208718.0
281.0	1.07025	7736042539.54
282.0	1.0705	7760869818.51
283.0	1.07075	7785690556.67
284.0	1.071	7810504790.91
285.0	1.07125	7835312522.28
286.0	1.0715	7860113787.97
287.0	1.07175	7884908588.49
288.0	1.072	7909696961.1
289.0	1.07225	7934478905.42
290.0	1.0725	7959254457.77
291.0	1.07275	7984023615.98
292.0	1.073	8008786414.76
293.0	1.07325	8033542850.37
294.0	1.0735	8058292956.44
295.0	1.07375	8083036728.6
296.0	1.074	8107774199.93
297.0	1.07425	8132505365.55
298.0	1.0745	8157230257.55
299.0	1.07475	8181948869.91
300.0	1.075	8206661233.33
301.0	1.07525	8231367340.88
302.0	1.0755	8256067222.38
303.0	1.07575	8280760870.43
304.0	1.076	8305448314.03
305.0	1.07625	8330129545.09
306.0	1.0765	8354804591.54
307.0	1.07675	8379473444.6
308.0	1.077	8404136131.24
309.0	1.07725	8428792642.07
310.0	1.0775	8453443003.06
311.0	1.07775	8478087204.39
312.0	1.078	8502725271.02
313.0	1.07825	8527357193.43
314.0	1.0785	8551982996.46
315.0	1.07875	8576602671.13
316.0	1.079	8601216242.64
317.0	1.07925	8625823701.92
318.0	1.0795	8650425073.82
319.0	1.07975	8675020348.7
320.0	1.08	8699609550.46
321.0	1.08025	8724192669.16
322.0	1.0805	8748769728.07
323.0	1.08075	8773340717.22
324.0	1.081	8797905659.28
325.0	1.08125	8822464544.05
326.0	1.0815	8847017393.66
327.0	1.08175	8871564198.06
328.0	1.082	8896104979.33
329.0	1.08225	8920639727.93
330.0	1.0825	8945168466.12
331.0	1.08275	8969691185.05
332.0	1.083	8994207907.09
333.0	1.08325	9018718624.1
334.0	1.0835	9043223358.59
335.0	1.08375	9067722103.2
336.0	1.084	9092214881.14
337.0	1.08425	9116701686.17
338.0	1.0845	9141182542.56
339.0	1.08475	9165657444.13
340.0	1.085	9190126415.51
341.0	1.08525	9214589449.0
342.0	1.0855	9239046570.2
343.0	1.08575	9263497769.56
344.0	1.086	9287943075.59
345.0	1.08625	9312382475.56
346.0	1.0865	9336816003.34
347.0	1.08675	9361243640.96
348.0	1.087	9385665431.89
349.0	1.08725	9410081352.24
350.0	1.0875	9434491459.36
351.0	1.08775	9458895723.87
352.0	1.088	9483294202.53
353.0	1.08825	9507686846.32
354.0	1.0885	9532073693.45
355.0	1.08875	9556454685.24
356.0	1.089	9580829862.2
357.0	1.08925	9605199173.65
358.0	1.0895	9629562668.66
359.0	1.08975	9653920303.44
360.0	1.09	9678272130.88
361.0	1.09025	9702618109.82
362.0	1.0905	9726958293.86
363.0	1.09075	9751292642.43
364.0	1.091	9775621208.67
365.0	1.09125	9799943951.44
366.0	1.0915	9824260922.73
367.0	1.09175	9848572080.35
368.0	1.092	9872877475.24
369.0	1.09225	9897177064.54
370.0	1.0925	9921470898.61
371.0	1.09275	9945758934.3
372.0	1.093	9970041221.74
373.0	1.09325	9994317717.72
374.0	1.0935	10018588472.3
375.0	1.09375	10042853442.1
376.0	1.094	10067112677.1
377.0	1.09425	10091366134.0
378.0	1.0945	10115613863.3
379.0	1.09475	10139855823.8
380.0	1.095	10164092069.4
381.0	1.09525	10188322562.8
382.0	1.0955	10212547360.8
383.0	1.09575	10236766428.1
384.0	1.096	10260979822.7
385.0	1.09625	10285187510.9
386.0	1.0965	10309389552.1
387.0	1.09675	10333585914.7
388.0	1.097	10357776659.8
389.0	1.09725	10381961758.6
390.0	1.0975	10406141274.6
391.0	1.09775	10430315180.6
392.0	1.098	10454483540.3
