5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	v2.0.2 --white inc,1_f,1_p single_phase_equiaxed_tension.txt
filterTable v2.0.2	--white inc,1_f,1_p single_phase_equiaxed_tension.txt
filterTable v2.0.2	--white inc,1_f,1_p single_phase_equiaxed_tension.txt
inc	1_f	1_p
842.0	1.1684	21902429720.5
843.0	1.1686	21926266835.9
844.0	1.1688	21950100060.9
845.0	1.169	21973929373.1
846.0	1.1692	21997754801.2
847.0	1.1694	22021576323.3
848.0	1.1696	22045393966.2
849.0	1.1698	22069207707.5
850.0	1.17	22093017571.6
851.0	1.1702	22116823534.4
852.0	1.1704	22140625618.0
853.0	1.1706	22164423798.4
854.0	1.1708	22188218098.0
855.0	1.171	22212008495.1
856.0	1.1712	22235795013.2
857.0	1.1714	22259577631.6
858.0	1.1716	22283356374.0
859.0	1.1718	22307131220.1
860.0	1.172	22330902193.7
861.0	1.1722	22354669274.6
862.0	1.1724	22378432486.3
863.0	1.1726	22402191808.3
864.0	1.1728	22425947263.4
865.0	1.173	22449698830.8
866.0	1.1732	22473446533.5
867.0	1.1734	22497190351.0
868.0	1.1736	22520930307.5
869.0	1.1738	22544666383.3
870.0	1.174	22568398603.0
871.0	1.1742	22592126946.9
872.0	1.1744	22615851438.2
873.0	1.1746	22639572056.8
874.0	1.1748	22663288823.7
875.0	1.175	22687001718.6
876.0	1.1752	22710710762.8
877.0	1.1754	22734415935.2
878.0	1.1756	22758117256.2
879.0	1.1758	22781814704.6
880.0	1.176	22805508300.5
881.0	1.1762	22829198023.5
882.0	1.1764	22852883893.6
883.0	1.1766	22876565891.5
884.0	1.1768	22900244036.7
885.0	1.177	22923918311.0
886.0	1.1772	22947588733.6
887.0	1.1774	22971255287.7
888.0	1.1776	22994917992.4
889.0	1.1778	23018576832.8
890.0	1.178	23042231827.6
891.0	1.1782	23065882963.6
892.0	1.1784	23089530259.2
893.0	1.1786	23113173702.5
894.0	1.1788	23136813310.6
895.0	1.179	23160449070.8
896.0	1.1792	23184080997.3
897.0	1.1794	23207709076.4
898.0	1.1796	23231333320.8
899.0	1.1798	23254953717.2
900.0	1.18	23278570278.1
901.0	1.1802	23302182990.9
902.0	1.1804	23325791868.4
903.0	1.1806	23349396899.4
904.0	1.1808	23372998097.2
905.0	1.181	23396595451.9
906.0	1.1812	23420188976.9
907.0	1.1814	23443778662.0
908.0	1.1816	23467364519.4
909.0	1.1818	23490946538.1
910.0	1.182	23514524730.9
911.0	1.1822	23538099088.7
912.0	1.1824	23561669625.7
913.0	1.1826	23585236333.4
914.0	1.1828	23608799225.6
915.0	1.183	23632358293.4
916.0	1.1832	23655913550.0
917.0	1.1834	23679464985.2
918.0	1.1836	23703012610.8
919.0	1.1838	23726556415.4
920.0	1.184	23750096409.2
921.0	1.1842	23773632581.3
922.0	1.1844	23797164941.5
923.0	1.1846	23820693479.1
924.0	1.1848	23844218204.3
925.0	1.185	23867739107.9
926.0	1.1852	23891256201.4
927.0	1.1854	23914769476.9
928.0	1.1856	23938278946.7
929.0	1.1858	23961784603.2
930.0	1.186	23985286458.2
931.0	1.1862	24008784503.4
932.0	1.1864	24032278749.1
933.0	1.1866	24055769186.7
934.0	1.1868	24079255825.8
935.0	1.187	24102738658.4
936.0	1.1872	24126217694.0
937.0	1.1874	24149692925.1
938.0	1.1876	24173164360.0
939.0	1.1878	24196631991.3
940.0	1.188	24220095826.8
941.0	1.1882	24243555859.9
942.0	1.1884	24267012098.8
943.0	1.1886	24290464538.0
944.0	1.1888	24313913185.7
945.0	1.189	24337358037.8
946.0	1.1892	24360799103.0
947.0	1.1894	24384236378.1
948.0	1.1896	24407669871.7
949.0	1.1898	24431099580.2
950.0	1.19	24454525511.0
951.0	1.1902	24477947659.9
952.0	1.1904	24501366033.2
953.0	1.1906	24524780626.1
954.0	1.1908	24548191443.9
955.0	1.191	24571598482.3
956.0	1.1912	24595001746.3
957.0	1.1914	24618401231.8
958.0	1.1916	24641796942.9
959.0	1.1918	24665188875.2
960.0	1.192	24688577032.3
961.0	1.1922	24711961410.0
962.0	1.1924	24735342012.4
963.0	1.1926	24758718835.6
964.0	1.1928	24782091884.6
965.0	1.193	24805461156.4
966.0	1.1932	24828826656.5
967.0	1.1934	24852188382.6
968.0	1.1936	24875546340.4
969.0	1.1938	24898900527.9
970.0	1.194	24922250950.3
971.0	1.1942	24945597605.6
972.0	1.1944	24968940498.2
973.0	1.1946	24992279626.8
974.0	1.1948	25015614995.4
975.0	1.195	25038946603.2
976.0	1.1952	25062274453.5
977.0	1.1954	25085598544.9
978.0	1.1956	25108918880.1
979.0	1.1958	25132235457.6
980.0	1.196	25155548279.6
981.0	1.1962	25178857344.6
982.0	1.1964	25202162654.7
983.0	1.1966	25225464208.3
984.0	1.1968	25248762007.7
985.0	1.197	25272056051.7
986.0	1.1972	25295346343.1
987.0	1.1974	25318632880.2
988.0	1.1976	25341915665.5
989.0	1.1978	25365194696.7
990.0	1.198	25388469976.6
991.0	1.1982	25411741503.5
992.0	1.1984	25435009280.5
993.0	1.1986	25458273305.8
994.0	1.1988	25481533583.1
995.0	1.199	25504790110.6
996.0	1.1992	25528042892.6
997.0	1.1994	25551291927.1
998.0	1.1996	25574537218.3
999.0	1.1998	25597778764.0
1000.0	1.2	25621016568.2
1001.0	1.2	25621016568.2
