5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	v2.0.2 --white inc,1_f,1_p single_phase_equiaxed_tension.txt
filterTable v2.0.2	--white inc,1_f,1_p single_phase_equiaxed_tension.txt
filterTable v2.0.2	--white inc,1_f,1_p single_phase_equiaxed_tension.txt
inc	1_f	1_p
192.0	1.0384	5517852181.21
193.0	1.0386	5544550885.46
194.0	1.0388	5571244441.13
195.0	1.039	5597932859.94
196.0	1.0392	5624616136.8
197.0	1.0394	5651294282.51
198.0	1.0396	5677967291.73
199.0	1.0398	5704635175.48
200.0	1.04	5731297929.94
201.0	1.0402	5757955566.47
202.0	1.0404	5784608083.05
203.0	1.0406	5811255490.49
204.0	1.0408	5837897787.84
205.0	1.041	5864534984.34
206.0	1.0412	5891167079.57
207.0	1.0414	5917794080.81
208.0	1.0416	5944415989.02
209.0	1.0418	5971032810.72
210.0	1.042	5997644548.18
211.0	1.0422	6024251207.66
212.0	1.0424	6050852791.78
213.0	1.0426	6077449306.4
214.0	1.0428	6104040754.66
215.0	1.043	6130627141.58
216.0	1.0432	6157208471.41
217.0	1.0434	6183784748.0
218.0	1.0436	6210355976.89
219.0	1.0438	6236922161.12
220.0	1.044	6263483307.02
221.0	1.0442	6290039416.94
222.0	1.0444	6316590497.49
223.0	1.0446	6343136550.06
224.0	1.0448	6369677581.37
225.0	1.045	6396213591.16
226.0	1.0452	6422744586.43
227.0	1.0454	6449270564.98
228.0	1.0456	6475791535.22
229.0	1.0458	6502307492.92
230.0	1.046	6528818449.21
231.0	1.0462	6555324397.35
232.0	1.0464	6581825352.5
233.0	1.0466	6608321304.53
234.0	1.0468	6634812273.58
235.0	1.047	6661298244.86
236.0	1.0472	6687779243.62
237.0	1.0474	6714255249.11
238.0	1.0476	6740726290.9
239.0	1.0478	6767192342.35
240.0	1.048	6793653437.37
241.0	1.0482	6820109545.08
242.0	1.0484	6846560703.34
243.0	1.0486	6873006878.06
244.0	1.0488	6899448110.15
245.0	1.049	6925884363.49
246.0	1.0492	6952315681.72
247.0	1.0494	6978742026.99
248.0	1.0496	7005163444.49
249.0	1.0498	7031579894.18
250.0	1.05	7057991421.83
251.0	1.0502	7084397985.84
252.0	1.0504	7110799633.07
253.0	1.0506	7137196321.55
254.0	1.0508	7163588099.22
255.0	1.051	7189974923.81
256.0	1.0512	7216356843.62
257.0	1.0514	7242733816.06
258.0	1.0516	7269105889.64
259.0	1.0518	7295473021.68
260.0	1.052	7321835261.46
261.0	1.0522	7348192566.51
262.0	1.0524	7374544986.96
263.0	1.0526	7400892480.2
264.0	1.0528	7427235096.42
265.0	1.053	7453572792.57
266.0	1.0532	7479905618.28
267.0	1.0534	7506233530.54
268.0	1.0536	7532556578.03
269.0	1.0538	7558874718.41
270.0	1.054	7585187999.3
271.0	1.0542	7611496380.08
272.0	1.0544	7637799907.23
273.0	1.0546	7664098542.26
274.0	1.0548	7690392329.81
275.0	1.055	7716681232.95
276.0	1.0552	7742965294.01
277.0	1.0554	7769244477.44
278.0	1.0556	7795518823.45
279.0	1.0558	7821788298.18
280.0	1.056	7848052940.6
281.0	1.0562	7874312719.04
282.0	1.0564	7900567671.61
283.0	1.0566	7926817767.98
