2	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p
19	nan	nan	1	1	16.0	16.0	16.0	1.019	-1.63847935735e-20	4.58933038734e-18	-4.10281583826e-21	1.0	2.87435336695e-18	2.18058044359e-19	2.90744059145e-19	1.0	1481866649.75	1275794.70054	-2799002.37627	1252032.2547	1429677921.93	1406985.89016	-2746851.72837	1406969.13984	1425504249.95
20	nan	nan	1	1	16.0	16.0	16.0	1.02	-7.7953500927e-20	-3.57675543846e-18	2.03552605137e-20	1.0	2.70502618684e-18	1.71709460276e-19	1.32494481796e-19	1.0	1556468685.79	1284483.58542	-2811132.22218	1259322.42809	1506887560.58	1410833.73844	-2756059.35108	1410811.28527	1502690716.45
21	nan	nan	1	1	16.0	16.0	16.0	1.021	1.82376781456e-20	-6.54036490222e-18	-8.86737616657e-22	1.0	1.00747951631e-18	-2.67874169569e-20	7.22261023657e-19	1.0	1630997746.35	1292799.25159	-2823952.43342	1266237.12611	1584172674.21	1413592.04684	-2765915.9113	1413568.35665	1579950538.37
22	nan	nan	1	1	16.0	16.0	16.0	1.022	8.45709458274e-20	9.15536736863e-19	-5.58512349596e-21	1.0	-2.45474118581e-18	-1.48019007533e-19	-2.87991202066e-20	1.0	1705453261.18	1300627.82556	-2837319.16854	1272658.59504	1661533220.09	1415386.9242	-2776295.15638	1415359.88152	1657284337.8
23	nan	nan	1	1	16.0	16.0	16.0	1.023	2.06278992436e-19	2.48515496257e-18	-4.44692297309e-21	1.0	2.30599425934e-18	-1.43863252135e-19	8.29496718268e-20	1.0	1779836041.17	1308140.61854	-2851284.36909	1278760.01512	1738968726.0	1416394.5829	-2787233.04117	1416365.37459	1734691828.6
24	nan	nan	1	1	16.0	16.0	16.0	1.024	1.5881867761e-21	5.4707475783e-18	-5.6155637425e-20	1.0	-7.20826361602e-18	-9.88646268123e-20	-7.71560988165e-19	1.0	1854145804.41	1315304.3583	-2865724.3075	1284508.26267	1816479150.17	1416718.83234	-2798617.69289	1416687.83916	1812173347.61
25	nan	nan	1	1	16.0	16.0	16.0	1.025	-1.85553155008e-20	2.98919250575e-18	-1.04251226961e-19	1.0	2.08632155843e-18	-7.55447509832e-20	-6.04708732446e-19	1.0	1928383110.04	1322216.84722	-2880682.01901	1289999.31873	1894064168.64	1416448.29943	-2810481.41213	1416414.64468	1889728700.15
26	nan	nan	1	1	16.0	16.0	16.0	1.026	1.27107881647e-19	4.48431153677e-18	-1.00902799842e-19	1.0	2.62400219148e-18	-5.9742292561e-20	-2.47803459186e-19	1.0	2002547842.99	1328882.86423	-2896053.52072	1295240.7352	1971723739.44	1415668.775	-2822727.98823	1415634.33422	1967358058.58
27	nan	nan	1	1	16.0	16.0	16.0	1.027	2.0267910241e-19	-3.40033435741e-18	-8.72311586774e-20	1.0	-2.30414137477e-18	6.35804106033e-20	6.55041018358e-19	1.0	2076640408.45	1335354.40653	-2911876.32667	1300280.57509	2049457638.54	1414418.68307	-2835387.81435	1414381.33154	2045061274.63
28	nan	nan	1	1	16.0	16.0	16.0	1.028	-1.40819227481e-20	-8.70313118414e-18	-5.87893804954e-20	1.0	9.91068252957e-19	1.65383182951e-19	3.05395082155e-19	1.0	2150660791.29	1341652.49902	-2928061.46719	1305144.07457	2127265819.09	1412770.92345	-2848376.99473	1412733.43741	2122838426.84
29	nan	nan	1	1	16.0	16.0	16.0	1.029	-1.96299885526e-19	4.02023012591e-19	-1.01114558078e-20	1.0	-1.96284003658e-18	8.60003139259e-20	1.20325000624e-19	1.0	2224609300.62	1347801.9729	-2944640.95982	1309851.17614	2205148121.82	1410736.57308	-2861722.77742	1410696.10718	2200689393.21
30	nan	nan	1	1	16.0	16.0	16.0	1.03	-1.60618622623e-19	-1.52021238208e-18	2.20757961878e-20	1.0	-6.03812730406e-18	-1.85288457212e-20	-9.18064600815e-19	1.0	2298485981.4	1353829.92272	-2961538.58518	1314433.68254	2283104491.5	1408377.73509	-2875352.42187	1408337.55713	2278614201.16
31	nan	nan	1	1	16.0	16.0	16.0	1.031	9.82028823223e-20	-6.51315396879e-19	2.46698345888e-20	1.0	2.75261885056e-18	-8.26121821369e-20	2.2193586707e-19	1.0	2372291083.09	1359746.39962	-2978779.97265	1318896.59889	2361134810.35	1405691.62399	-2889288.12812	1405648.53624	2356612743.46
32	nan	nan	1	1	16.0	16.0	16.0	1.032	1.754416992e-19	-2.62768149084e-18	7.41153828848e-21	1.0	-3.96026284022e-18	-3.84870595409e-20	-1.38266878983e-18	1.0	2446024687.2	1365580.51894	-2996300.38573	1323273.58075	2439239014.96	1402729.29012	-2903467.88469	1402686.76402	2434685019.3
33	nan	nan	1	1	16.0	16.0	16.0	1.033	-1.49183677835e-19	-3.3703705669e-18	4.97631856512e-21	1.0	7.96126267124e-18	1.30866590351e-19	8.67149979752e-19	1.0	2519687005.94	1371334.27775	-3014118.65585	1327561.90131	2517417014.52	1399482.15367	-2917907.73808	1399436.87319	2512830929.28
34	nan	nan	1	1	16.0	16.0	16.0	1.034	2.37539802146e-19	-1.03949471474e-18	2.54639279768e-20	1.0	9.01957739928e-18	1.62524446754e-19	1.48793248586e-19	1.0	2593278142.13	1377036.67015	-3032180.73702	1331794.54973	2595668739.56	1395990.17742	-2932556.15971	1395945.62769	2591050457.19
35	nan	nan	1	1	16.0	16.0	16.0	1.035	-1.52307111828e-19	3.45525915009e-18	-7.5227113628e-20	1.0	8.42154566874e-18	1.22660958674e-19	3.07148705053e-19	1.0	2666798284.77	1382684.65655	-3050498.70925	1335964.35517	2673994116.96	1392243.77805	-2947422.64804	1392196.67027	2669343507.34
36	nan	nan	1	1	16.0	16.0	16.0	1.036	-2.92755762395e-20	2.43312861077e-18	-6.98008088097e-20	1.0	6.74262048816e-18	5.02925812432e-20	2.04055530949e-19	1.0	2740247548.79	1388305.58362	-3069028.59269	1340101.96374	2752393073.12	1388272.17967	-2962465.86334	1388225.89526	2747710055.17
37	nan	nan	1	1	16.0	16.0	16.0	1.037	2.17052192734e-21	3.82059504815e-18	-7.08331302141e-20	1.0	-1.20704841962e-17	4.38339550204e-20	1.11252483666e-18	1.0	2813626108.41	1393892.72799	-3087776.30303	1344197.24866	2830865546.6	1384068.05726	-2977689.04796	1384019.42518	2826150006.65
38	nan	nan	1	1	16.0	16.0	16.0	1.038	-5.5957114078e-20	-4.64150232294e-18	5.48718531143e-20	1.0	-8.28017057588e-18	7.29507125823e-20	8.62716291668e-20	1.0	2886934085.02	1399471.2569	-3106707.5905	1348277.94722	2909411460.55	1379651.06496	-2993060.90539	1379603.29918	2904663333.5
