3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
0.0	1.0	3.93641269631e-06
1.0	1.0002	32740440.0476
2.0	1.0004	65500793.6772
3.0	1.0006	98281018.1884
4.0	1.0008	131081158.823
5.0	1.001	163901204.163
6.0	1.0012	196741140.642
7.0	1.0014	229601006.563
8.0	1.0016	262480775.35
9.0	1.0018	295380461.882
10.0	1.002	328300065.593
11.0	1.0022	361239586.661
12.0	1.0024	394198964.935
13.0	1.0026	427177964.327
14.0	1.0028	460175535.743
15.0	1.003	493187835.851
16.0	1.0032	526202318.642
17.0	1.0034	559183753.23
18.0	1.0036	592053156.038
19.0	1.0038	624679952.891
20.0	1.004	656917750.149
21.0	1.0042	688665841.754
22.0	1.0044	719890521.774
23.0	1.0046	750596303.716
24.0	1.0048	780802559.535
25.0	1.005	810544269.226
26.0	1.0052	839871974.886
27.0	1.0054	868834105.958
28.0	1.0056	897469488.978
29.0	1.0058	925819218.671
30.0	1.006	953930101.729
31.0	1.0062	981835821.492
32.0	1.0064	1009570390.89
33.0	1.0066	1037146191.63
34.0	1.0068	1064571907.89
35.0	1.007	1091838151.73
36.0	1.0072	1118934118.71
37.0	1.0074	1145838201.52
38.0	1.0076	1172534349.1
39.0	1.0078	1199003643.86
40.0	1.008	1225238432.58
41.0	1.0082	1251231717.33
42.0	1.0084	1276988331.56
43.0	1.0086	1302512652.78
44.0	1.0088	1327817901.83
45.0	1.009	1352914136.37
46.0	1.0092	1377816739.91
47.0	1.0094	1402536116.57
48.0	1.0096	1427085714.35
49.0	1.0098	1451473820.02
50.0	1.01	1475710951.83
51.0	1.0102	1499803333.05
52.0	1.0104	1523759420.55
53.0	1.0106	1547584436.56
54.0	1.0108	1571285926.84
55.0	1.011	1594868921.08
56.0	1.0112	1618340617.96
57.0	1.0114	1641706047.3
58.0	1.0116	1664972074.57
59.0	1.0118	1688143572.42
60.0	1.012	1711226900.56
61.0	1.0122	1734226565.38
62.0	1.0124	1757148264.4
63.0	1.0126	1779995999.75
64.0	1.0128	1802774739.16
65.0	1.013	1825487936.8
66.0	1.0132	1848139835.84
67.0	1.0134	1870733353.46
68.0	1.0136	1893272055.19
69.0	1.0138	1915758356.02
70.0	1.014	1938195216.84
71.0	1.0142	1960584610.07
72.0	1.0144	1982928988.35
73.0	1.0146	2005229962.37
74.0	1.0148	2027489579.13
75.0	1.015	2049709169.64
76.0	1.0152	2071890466.55
77.0	1.0154	2094034592.14
78.0	1.0156	2116143037.67
79.0	1.0158	2138216771.91
80.0	1.016	2160257101.21
81.0	1.0162	2182264880.96
82.0	1.0164	2204241273.78
83.0	1.0166	2226187045.63
84.0	1.0168	2248103241.81
85.0	1.017	2269990551.35
86.0	1.0172	2291849919.49
87.0	1.0174	2313681967.0
