5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
10	nan	nan	1	1	16.0	16.0	16.0	1.002	1.58653241488e-21	1.0642340325e-19	5.32208006117e-21	1.0	-7.26243898306e-20	-4.11770508929e-21	5.84425850236e-20	1.0	195553886.053	564198.898585	-1186046.87021	563072.416107	131432414.695	665708.531712	-1183678.43318	665709.797513	128570618.968	0.001998002662673058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195553886.05299997	563072.7530788423	-1183679.511187625	563072.416107	131170074.54590817	664379.7721676646	-1183678.4331799997	664381.0354421157	128313990.98602793	0.00133200177512	65907485.0601
11	nan	nan	1	1	16.0	16.0	16.0	1.0022	-5.51398596328e-21	1.12087936085e-19	2.88686033781e-21	1.0	-3.2482059166e-19	-1.67834946287e-21	-1.20185207101e-20	1.0	211204920.454	591202.40354	-1405013.29219	589904.585613	146570329.044	727580.84169	-1401928.40678	727582.397578	143329067.689	0.0021975835434872013	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	0.0	211204920.454	589904.6133905408	-1401929.0482837756	589904.585613	146248582.16324088	725983.6775992817	-1401928.40678	725985.230071842	143014435.9299541	0.00146505569566	66696215.9187
12	nan	nan	1	1	16.0	16.0	16.0	1.0024	-1.14978105145e-21	-1.17949337905e-19	-7.75895414575e-22	1.0	-5.92558690018e-19	1.34830439846e-22	-1.23539424485e-21	1.0	226765196.266	618564.507141	-1594719.09863	617083.58617	161708312.748	772660.150156	-1590900.85025	772661.898062	158180095.416	0.0023971245997214514	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	226765196.26600003	617083.5067248604	-1590900.9363826816	617083.58617	161321142.00718278	770810.2056624104	-1590900.85025	770811.9493834797	157801372.12290505	0.00159808306648	67351159.9868
13	nan	nan	1	1	16.0	16.0	16.0	1.0026	-3.93737971575e-22	-5.86007833157e-20	-5.01271451207e-21	1.0	3.75994120255e-19	3.59327258093e-21	-4.46727161615e-20	1.0	242251330.485	647260.022485	-1755316.63018	645581.569485	176845737.338	806571.049733	-1750764.88602	806572.810624	173107777.788	0.002596625847265914	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	242251330.485	645581.5105575504	-1750764.6421105128	645581.569485	176387130.7979254	804479.4032844604	-1750764.88602	804481.1596090167	172658864.73967683	0.00173108389818	67896534.9063
14	nan	nan	1	1	16.0	16.0	16.0	1.0028	-7.28084375169e-21	4.44427599512e-19	-3.76532614834e-21	1.0	3.5990380298e-19	3.08042060115e-21	5.64178536792e-21	1.0	257680781.987	677872.791785	-1888552.14772	675972.824676	191984424.736	832410.347521	-1883279.98928	832410.606546	188093005.445	0.002796087302001188	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	257680781.987	675980.0476515756	-1883278.9666134825	675972.824676	191448369.30195454	830086.1064230156	-1883279.98928	830086.3647247708	187567815.561428	0.00186405820133	68358524.0543
15	nan	nan	1	1	16.0	16.0	16.0	1.003	4.46677530779e-23	4.07037381464e-19	-2.59734712342e-22	1.0	-9.91136081767e-20	8.76811449306e-23	7.68181955363e-20	1.0	273052381.531	706831.365263	-1999007.18729	704715.21481	207128277.593	854892.874579	-1993027.31266	854892.585649	203132873.171	0.002995508979798371	0.0	0.0	0.0	-4.440892098500627e-16	0.0	0.0	0.0	-4.440892098500627e-16	273052381.531	704717.2136221337	-1993028.1029810573	704715.21481	206508751.3389831	852335.8669780659	-1993027.31266	852335.5789122634	202525297.27916256	0.00199700598653	68735594.1339
16	nan	nan	1	1	16.0	16.0	16.0	1.0032	-5.92923063078e-21	2.67913874239e-19	-1.28047558823e-21	1.0	5.88621723893e-21	-2.75285707858e-21	-7.46683531242e-20	1.0	288385650.534	736098.002047	-2088143.66302	733744.263692	222277513.49	873697.00017	-2081485.46712	873697.743097	218207990.916	0.0031948908965192886	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	288385650.534	733750.0020404704	-2081482.917683413	733744.263692	221568494.3082137	870910.087888756	-2081485.46712	870910.8284459729	217511952.6674641	0.00212992726435	69057387.8141
17	nan	nan	1	1	16.0	16.0	16.0	1.0034	3.64621214013e-21	3.3226190845e-20	3.77194359324e-22	1.0	4.78019404188e-20	-2.87362544801e-21	-7.16065440869e-20	1.0	303686321.054	764376.327166	-2160688.54334	761781.028869	237431783.006	890866.42139	-2153368.4288	890869.319466	233312998.075	0.003394233068015617	0.0	0.0	0.0	-4.440892098500627e-16	0.0	0.0	0.0	-2.2204460492503136e-16	303686321.054	761786.2539027306	-2153367.0952162645	761781.0288689999	236627250.3547937	887847.7390771377	-2153368.4288	887850.6273330675	232522421.84074146	0.00226282204534	69332902.1124
18	nan	nan	1	1	16.0	16.0	16.0	1.0036	-1.25731453108e-21	-1.4947319105e-19	2.36077346823e-21	1.0	1.90060462166e-19	5.86801926545e-21	-5.03893613749e-20	1.0	318957625.046	790941.943753	-2219339.02991	788097.880511	252592553.546	906591.10921	-2211383.55179	906592.808558	248443278.002	0.003593535510130218	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	318957625.046	788104.7665932642	-2211378.0688620964	788097.880511	251686482.21004385	903339.0884914309	-2211383.55179	903340.7817437226	247552090.47628537	0.00239569034009	69567284.7378
19	nan	nan	1	1	16.0	16.0	16.0	1.0038	-4.53956720169e-21	-7.54289456975e-20	5.66784155721e-21	1.0	-9.21955658417e-19	1.15474413512e-20	2.58915803535e-20	1.0	334207055.207	815924.304597	-2266986.11558	812829.818023	267758166.22	921869.539597	-2258405.46354	921869.294341	263593111.065	0.0037927982386962624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	334207055.207	812835.5295845786	-2258404.179697151	812829.8180230001	266744536.97947797	918379.6967493525	-2258405.46354	918379.452421797	262595249.11835027	0.00252853215913	69772078.1855
