5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	4.39930154103e-06	9.63379939413e-08	1.48688745061e-07	9.63379939413e-08	4.89843090577e-06	-1.25350330308e-07	1.48688745061e-07	-1.25350330308e-07	4.29410021441e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.39930154103e-06	9.63379939413e-08	1.48688745061e-07	9.63379939413e-08	4.89843090577e-06	-1.25350330308e-07	1.48688745061e-07	-1.25350330308e-07	4.29410021441e-06	0.0	6.73804634202e-07
1	nan	nan	1	1	32.0	32.0	32.0	1.002	-4.50716498613e-21	1.3688164097e-19	5.09543257333e-22	1.0	-2.3337246622e-20	5.38494578772e-22	-1.39958959644e-21	1.0	481551713.139	798342.860829	246044.837564	796749.325919	166359954.241	744347.926449	245553.594649	744347.785254	164100312.067	0.001998002662673058	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	481551713.13899994	796749.3621047904	245553.7301037924	796749.325919	166027898.44411176	742862.2020449102	245553.594649	742862.0611317365	163772766.53393212	0.00133200177512	316663310.052
2	nan	nan	1	1	32.0	32.0	32.0	1.004	-8.38657743552e-21	-1.24445187256e-19	5.88125415525e-21	1.0	-4.72824709941e-19	2.12750853549e-21	-5.04962744691e-21	1.0	836596132.859	992042.664659	529036.287982	988090.500928	395283750.092	876767.424446	526928.439733	876767.279125	392615372.784	0.003992021269537457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	836596132.859	988090.3034452192	526928.5736872511	988090.500928	393708914.43426293	873274.3271374502	526928.439733	873274.182395418	391051168.1115538	0.00266134751302	444228863.862
3	nan	nan	1	1	32.0	32.0	32.0	1.006	-1.1904990171e-20	-3.20757480491e-19	1.23332629332e-20	1.0	-2.05156508345e-19	6.13933450637e-21	-2.44916288656e-20	1.0	1126018393.5	717593.191697	277621.438478	713312.712294	656326027.49	1062228.91971	275966.638156	1062229.59314	653615169.12	0.005982071677547469	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1126018393.5	713313.3118260438	275965.644610338	713312.712294	652411558.1411531	1055893.5583598411	275966.63815599977	1055894.2277733597	649716867.9125248	0.00398804778503	474965282.12
4	nan	nan	1	1	32.0	32.0	32.0	1.008	1.58152797217e-20	-2.55466460381e-20	1.72252090758e-20	1.0	-1.10280546446e-18	5.75055961847e-21	-2.97532730432e-20	1.0	1407917929.7	551139.556618	-20944.1374593	546760.270507	921303529.127	1338145.71203	-20774.5443118	1338147.01188	918412859.578	0.007968169649176881	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	0.0	1407917929.7	546765.4331527778	-20777.914146130945	546760.270507	913991596.3561507	1327525.50796627	-20774.544311800022	1327526.797499999	911123868.6289682	0.00531211309945	495372665.773
5	nan	nan	1	1	32.0	32.0	32.0	1.01	-1.70554302551e-21	-2.43292016125e-19	2.25357086084e-20	1.0	-4.91032609585e-19	5.06565407127e-21	-2.06737250495e-20	1.0	1687220318.32	434356.474966	-264865.960878	430044.902121	1187799764.93	1573900.35626	-262236.784783	1573901.72036	1184737566.99	0.009950330853168092	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1687220318.32	430055.91580792086	-262243.5256217822	430044.902121	1176039371.2178218	1558317.1844158417	-262236.7847830003	1558318.5350099003	1173007492.0693069	0.00663355390211	512711456.893
6	nan	nan	1	1	32.0	32.0	32.0	1.012	-9.76352296269e-21	-1.963991472e-19	1.10776027633e-20	1.0	-8.40501529138e-19	7.99387343971e-21	-1.20933805555e-21	1.0	1965007706.87	342929.016147	-456706.89624	338852.659871	1455284307.56	1764931.63042	-451284.23467	1764930.88255	1452062989.07	0.011928570865273812	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	1965007706.87	338862.6641768775	-451291.3994466403	338852.659871	1438027971.897233	1744003.5873715414	-451284.23467000027	1744002.848369564	1434844850.8596838	0.00795238057685	528588018.886
7	nan	nan	1	1	32.0	32.0	32.0	1.014	-2.10744940563e-21	7.68702251968e-19	-9.96587202004e-21	1.0	1.33065236419e-18	1.04158582733e-20	-5.55625489258e-20	1.0	2241688036.18	274978.725239	-604675.021379	271155.860181	1723563576.45	1924077.66269	-596309.612763	1924074.04195	1720187515.16	0.013902905168991434	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	2241688036.18	271182.17479191325	-596326.4510641026	271155.860181	1699766840.6804736	1897512.4878599606	-596309.6127629987	1897508.917110456	1696437391.6765287	0.00926860344599	543604686.671
8	nan	nan	1	1	32.0	32.0	32.0	1.016	1.61730353366e-20	-8.40809240325e-19	-2.74690137817e-20	1.0	1.33952304908e-18	8.81112788491e-21	-8.21390348265e-22	1.0	2517455507.34	216262.126292	-725521.73099	212822.633724	1992544182.55	2067669.89371	-714079.064054	2067673.24441	1989019508.01	0.015873349156290163	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2517455507.3400006	212856.42351574797	-714096.1919192913	212822.63372400004	1961165534.0059056	2035108.1631003937	-714079.0640540016	2035111.4610334672	1957696366.1515749	0.0105822327709	558045270.146
9	nan	nan	1	1	32.0	32.0	32.0	1.018	4.38966139518e-20	-2.88179799246e-19	-3.91686563656e-20	1.0	5.07109030226e-18	1.1530897739e-20	1.29362775997e-20	1.0	2792418118.07	162097.175794	-834896.991796	159185.900257	2262177532.91	2201681.74539	-820113.018517	2201679.54602	2258504234.66	0.017839918128331016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2792418118.07	159231.01747937122	-820134.5695442044	159185.9002570001	2222178323.094302	2162752.2056876225	-820113.0185170007	2162750.045206298	2218569975.1080546	0.0118932787522	572066599.177
