6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	3.66812704791e-06
1.0	0.00133200177512	315499489.373
2.0	0.00266134751303	435921831.779
3.0	0.00398804778503	463156245.038
4.0	0.00531211309945	479846912.573
5.0	0.00663355390211	493606087.433
6.0	0.00795238057685	506084304.305
7.0	0.00926860344599	517859788.227
8.0	0.0105822327709	529205679.276
9.0	0.0118932787522	540252671.205
10.0	0.0132017515308	551084286.552
