2	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p
18	nan	nan	1	1	32.0	32.0	32.0	1.0018	-2.51735617324e-21	-8.99272091274e-19	-9.21685997537e-22	1.0	8.320382307e-20	-5.91123945246e-22	-4.13073318394e-22	1.0	294806683.189	-1074588.06617	-1503979.5688	-1072657.28327	135201714.705	-1223146.88894	-1501277.26965	-1223146.8896	138275918.455
19	nan	nan	1	1	32.0	32.0	32.0	1.0019	1.95964256993e-22	-4.79192036104e-19	-2.12021900634e-21	1.0	-1.31452130827e-19	1.19724053909e-21	-1.06230670167e-21	1.0	311231933.225	-1134499.81135	-1587784.93842	-1132348.34974	142720077.012	-1291156.43325	-1584773.86796	-1291156.43388	145965181.981
20	nan	nan	1	1	32.0	32.0	32.0	1.002	8.43246011012e-22	2.75813345691e-19	2.3114528242e-22	1.0	1.95202216853e-20	7.44462551298e-22	7.4643744501e-21	1.0	327662143.973	-1194433.75188	-1671616.76296	-1192049.6528	150239192.468	-1359171.90162	-1668280.20248	-1359171.90234	153655210.86
21	nan	nan	1	1	32.0	32.0	32.0	1.0021	3.44326854672e-22	-4.49009456323e-19	-6.11793120802e-21	1.0	7.55091822169e-21	4.31891677329e-22	-8.35638534316e-21	1.0	344097316.471	-1254390.18128	-1755474.98955	-1251761.48245	157759061.105	-1427193.4556	-1751796.21737	-1427193.45629	161346004.401
22	nan	nan	1	1	32.0	32.0	32.0	1.0022	-6.73300461694e-21	2.23064348221e-19	5.78736915573e-21	1.0	1.26593478704e-19	-7.775497758e-23	6.02404620849e-21	1.0	360537450.13	-1314368.70525	-1839359.65645	-1311483.44193	165279683.044	-1495221.06763	-1835321.94807	-1495221.06841	169037563.54
23	nan	nan	1	1	32.0	32.0	32.0	1.0023	2.58615433575e-21	-5.6751124748e-19	1.6830540526e-21	1.0	-1.54055151258e-19	-6.02290883515e-22	7.09710625813e-21	1.0	376982544.301	-1374369.40248	-1923270.74691	-1371215.60691	172801058.957	-1563255.16663	-1918857.3748	-1563255.16736	176729888.606
24	nan	nan	1	1	32.0	32.0	32.0	1.0024	-4.0567780673e-21	-6.03630916108e-20	-2.80455586686e-21	1.0	-3.60803361896e-19	-9.67594521534e-22	-1.52573463985e-21	1.0	393432594.147	-1434391.5944	-2007208.6222	-1430957.2972	180323191.033	-1631295.79247	-2002402.85521	-1631295.79324	184422982.585
25	nan	nan	1	1	32.0	32.0	32.0	1.0025	4.16782706453e-21	3.69798330672e-19	1.32948603953e-21	1.0	-1.36639070255e-19	-1.50267698028e-21	4.80747032258e-21	1.0	409887592.732	-1494434.66235	-2091173.45112	-1490707.89303	187846082.737	-1699343.9003	-2085958.5545	-1699343.90097	192116849.121
26	nan	nan	1	1	32.0	32.0	32.0	1.0026	5.12464238871e-22	1.18146000096e-19	1.75021077859e-21	1.0	1.1499237401e-19	1.57888099421e-22	-4.69187183198e-21	1.0	426347523.128	-1554496.449	-2175165.64101	-1550465.23984	195369740.99	-1767400.77001	-2169524.876	-1767400.77053	199811498.165
27	nan	nan	1	1	32.0	32.0	32.0	1.0027	-2.98888789649e-21	1.35268618096e-18	5.436644576e-22	1.0	-6.95117091856e-20	1.73687249121e-21	1.99143732472e-20	1.0	442812351.856	-1614573.36003	-2259185.96142	-1610225.75118	202894180.149	-1835469.9228	-2253102.58391	-1835469.92297	207506948.138
