6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	3.47297728839e-06
1.0	0.00133200177512	318814370.441
2.0	0.00266134751302	441701530.033
3.0	0.00398804778503	468556998.973
4.0	0.00531211309945	486098263.414
5.0	0.00663355390211	500976156.313
6.0	0.00795238057685	514635037.306
7.0	0.00926860344599	527600674.488
8.0	0.0105822327709	540113713.409
9.0	0.0118932787522	552297827.903
10.0	0.0132017515308	564241599.119
