6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	2.79362817787e-06
1.0	0.00133200177512	334043024.622
2.0	0.00266134751302	450905603.507
3.0	0.00398804778503	476301032.574
4.0	0.00531211309945	493371402.299
5.0	0.00663355390211	507806371.825
6.0	0.00795238057685	520986244.64
7.0	0.00926860344599	533452631.431
8.0	0.0105822327709	545464052.133
9.0	0.0118932787522	557144432.59
10.0	0.0132017515308	568582741.383
