6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	2.96805007579e-06
1.0	0.00133200177512	267853845.919
2.0	0.00266134751303	410833517.501
3.0	0.00398804778503	443735729.339
4.0	0.00531211309945	460274075.403
5.0	0.00663355390211	473340614.583
6.0	0.00795238057685	485135321.071
7.0	0.00926860344599	496263610.668
8.0	0.0105822327709	506983833.794
9.0	0.0118932787522	517432733.489
10.0	0.0132017515308	527687330.841
