6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	1.46418391585e-06
1.0	0.00133200177512	322559032.063
2.0	0.00266134751303	449245634.874
3.0	0.00398804778503	478831192.612
4.0	0.00531211309945	498025507.032
5.0	0.00663355390211	514250014.721
6.0	0.00795238057685	529112206.241
7.0	0.00926860344599	543193198.507
8.0	0.0105822327709	556765487.115
9.0	0.0118932787522	569971533.383
10.0	0.0132017515308	582898520.04
