5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	7.07627291872e-06	-3.15584905076e-07	4.74629896799e-08	-3.15584905076e-07	5.56736673687e-06	-1.47374074409e-06	4.74629896799e-08	-1.47374074409e-06	3.75475726699e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.07627291872e-06	-3.15584905076e-07	4.74629896799e-08	-3.15584905076e-07	5.56736673687e-06	-1.47374074409e-06	4.74629896799e-08	-1.47374074409e-06	3.75475726699e-06	0.0	3.88827514919e-06
1	nan	nan	1	1	32.0	32.0	32.0	1.002	-1.46690141879e-20	-1.17312615629e-19	8.01848206294e-22	1.0	1.68772092807e-18	7.18742404126e-23	-4.54194534595e-21	1.0	470158527.325	-567768.676828	-22782369.6758	-566635.951566	177063965.932	1763791.81583	-22736895.8159	1763791.24346	164737804.417	0.001998002662673058	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	470158527.325	-566635.4060159681	-22736895.884031933	-566635.951566	176710544.84231538	1760271.273283433	-22736895.815899998	1760270.7020558885	164408986.44411176	0.00133200177512	302380674.72
2	nan	nan	1	1	32.0	32.0	32.0	1.004	-3.7425786815e-20	2.50417970307e-18	-5.75531590699e-21	1.0	6.42987177036e-18	-2.42643092935e-21	1.11814139302e-20	1.0	830902102.115	400385.032363	-31465374.6823	398789.181914	406467408.57	3516027.66247	-31340015.3573	3516027.31145	387343260.331	0.003992021269537457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	830902102.115	398789.87287151377	-31340014.62380478	398789.181914	404848016.50398403	3502019.5841334662	-31340015.3573	3502019.2345119542	385800060.09063745	0.00266134751302	439299701.001
3	nan	nan	1	1	32.0	32.0	32.0	1.006	6.03196646286e-20	1.12057123607e-18	7.92604462948e-21	1.0	-1.10197001204e-20	-1.64898455112e-20	2.91721786629e-20	1.0	1119619340.61	3471839.16457	-30501732.3806	3451133.42618	668809667.793	4039569.33755	-30319810.0518	4039570.5833	647843206.045	0.005982071677547469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1119619340.61	3451132.370347913	-30319813.49960239	3451133.4261800004	664820743.333002	4015476.478677932	-30319810.0518	4015477.7169980123	643979330.0646123	0.00398804778503	468611513.083
4	nan	nan	1	1	32.0	32.0	32.0	1.008	1.25400580863e-20	9.77636328734e-18	1.71069222482e-20	1.0	2.22217108479e-18	-2.61686858587e-20	5.16135886815e-20	1.0	1399522918.24	5602508.70652	-29648200.6506	5558045.7024	935103500.153	4345060.34167	-29412890.9991	4345064.39759	913304668.32	0.007968169649176881	0.0	0.0	0.0	-4.440892098500627e-16	0.0	0.0	0.0	-4.440892098500627e-16	1399522918.2400002	5558044.351706349	-29412897.470833335	5558045.7024	927682043.8025794	4310575.735783731	-29412890.999099996	4310579.759513891	906056218.5714287	0.00531211309945	485848957.261
5	nan	nan	1	1	32.0	32.0	32.0	1.01	9.51985623375e-20	2.36786530121e-18	1.88349025478e-20	1.0	-5.1545131214e-18	-2.64060866945e-20	4.884336081e-20	1.0	1676812232.64	6943627.29984	-29255039.7907	6874877.75721	1202856402.59	4643428.82412	-28965379.0353	4643435.58034	1180363822.96	0.009950330853168092	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	0.0	1676812232.64	6874878.514693069	-28965385.93138614	6874877.75721	1190946933.2574255	4597454.281306931	-28965379.035299998	4597460.970633657	1168677052.4356437	0.00663355390211	500103370.208
6	nan	nan	1	1	32.0	32.0	32.0	1.012	2.16622058815e-20	1.36496774511e-18	-6.05380403103e-20	1.0	-7.64995655643e-18	-1.96902073012e-20	5.0948535469e-20	1.0	1952712551.81	7822969.3643	-29144500.3137	7730206.5444	1471507937.67	4921376.08481	-28798893.7172	4921386.18931	1448396635.62	0.011928570865273812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1952712551.81	7730206.881719367	-28798913.353458498	7730206.5444	1454059226.9466403	4863019.846650197	-28798893.717199992	4863029.831333981	1431221971.9565215	0.00795238057685	513130487.886
7	nan	nan	1	1	32.0	32.0	32.0	1.014	1.54960707233e-19	1.01765003281e-17	9.78885536895e-20	1.0	-6.19715608555e-18	-8.98318145233e-22	1.53982979749e-19	1.0	2227629923.47	8435411.92551	-29208209.0872	8318955.31574	1740869643.22	5178241.19707	-28804925.7103	5178263.74964	1717196392.67	0.013902905168991434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2227629923.47	8318946.672100592	-28804939.92820513	8318955.31574	1716833967.6725838	5106746.742672584	-28804925.71029998	5106768.983865868	1693487566.7357004	0.00926860344599	525507216.226
8	nan	nan	1	1	32.0	32.0	32.0	1.016	-1.49064563827e-19	7.89213229232e-19	1.75044652506e-19	1.0	1.3422587008e-17	2.07754682649e-20	-1.51838927601e-19	1.0	2501742299.79	8894618.50471	-29389232.5096	8754517.88993	2010860636.01	5420179.78021	-28926401.6852	5420190.11309	1986671758.5	0.015873349156290163	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	2501742299.79	8754545.772352362	-28926409.9503937	8754517.889930002	1979193539.3799212	5334822.61831693	-28926401.6852	5334832.788474436	1955385589.074803	0.0105822327709	537485216.473
9	nan	nan	1	1	32.0	32.0	32.0	1.018	8.75851919796e-20	-8.68846061899e-18	5.85279914218e-20	1.0	-8.03807797165e-18	-6.51156578202e-21	2.18599020479e-19	1.0	2775140829.17	9247925.19929	-29647827.8037	9084382.18318	2281440755.86	5650487.25027	-29123575.0979	5650530.24956	2256777941.09	0.017839918128331016	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2775140829.1700006	9084405.89321218	-29123602.950589392	9084382.18318	2241100938.9587426	5550576.866669942	-29123575.097900018	5550619.105658136	2216874205.3929276	0.0118932787522	549188617.382
10	nan	nan	1	1	32.0	32.0	32.0	1.02	2.13217383414e-19	-1.03229969098e-18	-5.19138552438e-20	1.0	4.89536074421e-18	-4.99617089982e-21	-3.09403599403e-19	1.0	3047879624.52	9524575.62673	-29968620.0034	9337796.02763	2552585670.47	5873599.9481	-29380978.1689	5873637.57686	2527486390.88	0.01980262729617973	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	3047879624.5199995	9337819.241892157	-29381000.003333334	9337796.02763	2502534971.0490193	5758431.321666665	-29380978.1689	5758468.212607855	2477927834.1960783	0.0132017515308	560692842.399
