6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	1.41774270876e-06
1.0	0.00133200177512	324725163.671
2.0	0.00266134751302	446023656.693
3.0	0.00398804778503	472490654.531
4.0	0.00531211309945	489593072.143
5.0	0.00663355390211	504086934.8
6.0	0.00795238057685	517352998.133
7.0	0.00926860344599	529907476.81
8.0	0.0105822327709	542003530.324
9.0	0.0118932787522	553774810.142
10.0	0.0132017515308	565305130.098
