5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	7.53654484007e-06	8.41601210843e-08	-2.78551910584e-07	8.41601210843e-08	6.66308277248e-06	2.29138450455e-07	-2.78551910584e-07	2.29138450455e-07	5.08054692077e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.53654484007e-06	8.41601210843e-08	-2.78551910584e-07	8.41601210843e-08	6.66308277248e-06	2.29138450455e-07	-2.78551910584e-07	2.29138450455e-07	5.08054692077e-06	0.0	2.24970582734e-06
1	nan	nan	1	1	32.0	32.0	32.0	1.002	1.33284646076e-20	-4.4556859177e-19	-4.11935945051e-22	1.0	-1.62282082835e-19	-2.27888258758e-22	-1.2422184849e-20	1.0	484363653.913	6927378.07089	-1980685.76775	6913551.03515	168805534.656	2522727.88172	-1976732.10046	2522727.83771	158838953.144	0.001998002662673058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	484363653.9129999	6913550.968952095	-1976732.3031437127	6913551.03515	168468597.4610778	2517692.496726547	-1976732.1004599999	2517692.4528043913	158521909.3253493	0.00133200177512	321255137.243
2	nan	nan	1	1	32.0	32.0	32.0	1.004	-6.64722340248e-21	1.12078092635e-18	2.22511584777e-21	1.0	-9.7374750452e-19	1.17769839712e-21	-2.74557788919e-20	1.0	837420508.878	9112723.61597	-2332008.16411	9076418.28425	400326538.289	3706168.81098	-2322717.49083	3706169.16785	386636310.541	0.003992021269537457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	837420508.878	9076417.944193227	-2322717.294930279	9076418.28425	398731611.84163344	3691403.198187251	-2322717.4908299996	3691403.5536354575	385095926.8336654	0.00266134751302	446004386.108
3	nan	nan	1	1	32.0	32.0	32.0	1.006	-4.10281583826e-20	1.60352642697e-18	9.38022814635e-21	1.0	-3.17824298039e-19	3.26322751652e-22	3.57350296429e-20	1.0	1125521352.04	8841105.75578	-2276290.04892	8788374.28544	662824508.71	3694594.62114	-2262714.65139	3694594.81886	647425634.786	0.005982071677547469	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1125521352.04	8788375.50276342	-2262713.7663220675	8788374.28544	658871281.0238569	3672559.2655467195	-2262714.651389999	3672559.462087475	643564249.2902585	0.00398804778503	474791691.954
4	nan	nan	1	1	32.0	32.0	32.0	1.008	3.48094145375e-20	1.81417003791e-18	2.84914090188e-20	1.0	2.87179076141e-18	2.91787961078e-21	-7.17045649895e-20	1.0	1406379710.6	8787390.39345	-2434554.60968	8717642.50037	928927531.029	3808940.64263	-2415236.66442	3808938.97523	912084305.429	0.007968169649176881	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1406379710.6	8717649.19985119	-2415232.747698413	8717642.50037	921555090.3065476	3778710.9549900796	-2415236.664419998	3778709.3008234156	904845541.1001985	0.00531211309945	493683755.456
5	nan	nan	1	1	32.0	32.0	32.0	1.01	2.36226239333e-20	-3.3375521761e-18	2.12949376896e-20	1.0	2.5090125058e-18	9.37195634023e-21	6.86464782649e-20	1.0	1684724446.25	8872540.02299	-2638394.04534	8784679.06469	1196344732.83	3983349.25642	-2612276.0861	3983348.82976	1178405110.47	0.009950330853168092	0.0	0.0	0.0	-4.440892098500627e-16	0.0	0.0	0.0	-4.440892098500627e-16	1684724446.25	8784693.092069305	-2612271.332019802	8784679.06469	1184499735.4752474	3943910.1548712873	-2612276.0861000037	3943909.7324356465	1166737733.138614	0.00663355390211	509631131.119
6	nan	nan	1	1	32.0	32.0	32.0	1.012	-6.72630186904e-20	-1.16873258646e-18	-1.94552880072e-21	1.0	6.22122538701e-19	1.43118789584e-20	-4.38769684123e-20	1.0	1961610949.28	9022640.03502	-2835643.16891	8915634.07336	1464620987.59	4155123.59285	-2802024.49018	4155125.51222	1445807194.54	0.011928570865273812	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	1961610949.28	8915652.208517786	-2802018.941610672	8915634.07336	1447253940.306324	4105853.352618577	-2802024.490180002	4105855.2492292495	1428663235.7114623	0.00795238057685	524198054.519
7	nan	nan	1	1	32.0	32.0	32.0	1.014	1.88266307417e-21	-6.11931673554e-19	-2.95005693661e-20	1.0	-1.6126216914e-18	3.26703254734e-20	-4.20937738068e-20	1.0	2237445753.02	9200832.46734	-3019966.33318	9073762.78899	1733605521.4	4319434.47951	-2978280.36786	4319434.82077	1714045891.87	0.013902905168991434	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	0.0	2237445753.0200005	9073799.277455622	-2978270.5455424064	9073762.78899	1709670139.447732	4259797.317071006	-2978280.367860001	4259797.653619327	1690380563.974359	0.00926860344599	537984945.922
8	nan	nan	1	1	32.0	32.0	32.0	1.016	5.82335151237e-21	-2.34831943692e-18	-3.91024819166e-20	1.0	4.36497088108e-18	2.52968374931e-20	-1.16493603425e-19	1.0	2512413386.79	9387991.13462	-3196858.08954	9240115.15344	2003236913.78	4473321.83293	-3146523.2196	4473311.28177	1983003238.2	0.015873349156290163	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2512413386.79	9240148.754547244	-3146513.8676574803	9240115.15344	1971689875.7677166	4402875.819812992	-3146523.2196000046	4402865.434813001	1951774840.7480316	0.0105822327709	551263139.809
9	nan	nan	1	1	32.0	32.0	32.0	1.018	2.72274770428e-20	-2.0823974136e-18	-3.5820229246e-20	1.0	7.21835273796e-18	1.84941041355e-20	-1.77370580991e-19	1.0	2786613430.39	9582188.66702	-3360874.96368	9412699.72889	2273482593.69	4618263.71431	-3301471.58008	4618251.2389	2252616784.75	0.017839918128331016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.2204460492503136e-16	2786613430.39	9412759.004931238	-3301448.883772102	9412699.72889	2233283490.854617	4536604.827416503	-3301471.580080005	4536592.572593336	2212786625.491159	0.0118932787522	564177199.356
