3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
0.0	1.0	8.85307365848e-08
1.0	1.0002	32848550.1315
2.0	1.0004	65717091.9846
3.0	1.0006	98605556.706
4.0	1.0008	131514006.389
5.0	1.001	164442409.6
6.0	1.0012	197390779.738
7.0	1.0014	230359131.251
8.0	1.0016	263347450.59
9.0	1.0018	296355745.873
10.0	1.002	329384022.018
11.0	1.0022	362432271.006
12.0	1.0024	395500429.15
13.0	1.0026	428588205.921
14.0	1.0028	461694366.967
15.0	1.003	494814349.801
16.0	1.0032	527933405.449
17.0	1.0034	561010603.372
18.0	1.0036	593955988.984
19.0	1.0038	626624298.323
20.0	1.004	658856041.327
21.0	1.0042	690545185.579
22.0	1.0044	721676138.328
23.0	1.0046	752311358.083
24.0	1.0048	782540326.034
25.0	1.005	812430993.173
26.0	1.0052	842026489.214
27.0	1.0054	871354193.205
28.0	1.0056	900436493.054
29.0	1.0058	929282897.61
30.0	1.006	957910182.877
31.0	1.0062	986327029.398
32.0	1.0064	1014552058.75
33.0	1.0066	1042594762.2
34.0	1.0068	1070468135.03
35.0	1.007	1098172011.57
36.0	1.0072	1125705050.06
37.0	1.0074	1153054297.3
38.0	1.0076	1180207832.21
39.0	1.0078	1207147445.9
40.0	1.008	1233860239.68
41.0	1.0082	1260330665.11
42.0	1.0084	1286551618.13
43.0	1.0086	1312515008.98
44.0	1.0088	1338222485.43
45.0	1.009	1363674680.26
46.0	1.0092	1388881181.36
47.0	1.0094	1413849587.94
48.0	1.0096	1438594540.09
49.0	1.0098	1463127560.8
50.0	1.01	1487465075.0
51.0	1.0102	1511619557.1
52.0	1.0104	1535606707.72
53.0	1.0106	1559438034.37
54.0	1.0108	1583127273.03
55.0	1.011	1606684212.17
56.0	1.0112	1630120369.42
57.0	1.0114	1653443777.7
58.0	1.0116	1676663954.31
59.0	1.0118	1699787431.08
60.0	1.012	1722822084.71
61.0	1.0122	1745773256.68
62.0	1.0124	1768647514.21
63.0	1.0126	1791449259.0
64.0	1.0128	1814183993.49
65.0	1.013	1836855362.12
66.0	1.0132	1859467977.98
67.0	1.0134	1882024860.3
68.0	1.0136	1904529870.2
69.0	1.0138	1926985502.95
70.0	1.014	1949394984.35
71.0	1.0142	1971760376.63
72.0	1.0144	1994084380.74
73.0	1.0146	2016368705.88
74.0	1.0148	2038615617.03
75.0	1.015	2060826526.39
76.0	1.0152	2083003329.2
77.0	1.0154	2105147174.31
78.0	1.0156	2127259638.71
79.0	1.0158	2149341657.03
80.0	1.016	2171394556.25
81.0	1.0162	2193419105.98
82.0	1.0164	2215416438.42
83.0	1.0166	2237387200.07
84.0	1.0168	2259332376.11
85.0	1.017	2281252526.55
86.0	1.0172	2303148528.37
87.0	1.0174	2325020880.41
