3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
0.0	1.0	1.79043293615e-07
1.0	1.0002	32830878.131
2.0	1.0004	65681681.1352
3.0	1.0006	98552407.4229
4.0	1.0008	131443099.567
5.0	1.001	164353729.773
6.0	1.0012	197284299.653
7.0	1.0014	230234832.228
8.0	1.0016	263205311.141
9.0	1.0018	296195748.439
10.0	1.002	329206145.374
11.0	1.0022	362236507.053
12.0	1.0024	395286808.198
13.0	1.0026	428356950.662
14.0	1.0028	461446513.252
15.0	1.003	494553886.015
16.0	1.0032	527673687.493
17.0	1.0034	560789659.732
18.0	1.0036	593859395.259
19.0	1.0038	626793761.886
20.0	1.004	659454721.163
21.0	1.0042	691697523.758
22.0	1.0044	723430623.258
23.0	1.0046	754638147.509
24.0	1.0048	785358657.702
25.0	1.005	815653471.909
26.0	1.0052	845584392.578
27.0	1.0054	875193738.661
28.0	1.0056	904502029.657
29.0	1.0058	933526312.228
30.0	1.006	962229992.608
31.0	1.0062	990721254.545
32.0	1.0064	1018986202.05
33.0	1.0066	1047053176.87
34.0	1.0068	1074913385.5
35.0	1.007	1102560683.97
36.0	1.0072	1129986021.53
37.0	1.0074	1157171027.92
38.0	1.0076	1184103833.65
39.0	1.0078	1210764723.9
40.0	1.008	1237144974.07
41.0	1.0082	1263233605.39
42.0	1.0084	1289033150.74
43.0	1.0086	1314546352.18
44.0	1.0088	1339787717.55
45.0	1.009	1364770442.77
46.0	1.0092	1389515262.6
47.0	1.0094	1414039154.54
48.0	1.0096	1438362941.51
49.0	1.0098	1462502374.44
50.0	1.01	1486475071.22
51.0	1.0102	1510293639.14
52.0	1.0104	1533971922.74
53.0	1.0106	1557519524.75
54.0	1.0108	1580947218.26
55.0	1.011	1604262396.19
56.0	1.0112	1627473642.94
57.0	1.0114	1650586868.3
58.0	1.0116	1673609149.42
59.0	1.0118	1696545412.14
60.0	1.012	1719401648.87
61.0	1.0122	1742182062.94
62.0	1.0124	1764891772.99
63.0	1.0126	1787534366.34
64.0	1.0128	1810114197.7
65.0	1.013	1832634297.8
66.0	1.0132	1855098344.19
67.0	1.0134	1877508864.58
68.0	1.0136	1899868942.05
69.0	1.0138	1922180672.43
70.0	1.014	1944446657.78
71.0	1.0142	1966668668.22
72.0	1.0144	1988848942.02
73.0	1.0146	2010989004.15
74.0	1.0148	2033090803.68
75.0	1.015	2055155666.77
76.0	1.0152	2077185301.94
77.0	1.0154	2099180866.58
78.0	1.0156	2121143864.01
79.0	1.0158	2143075310.95
80.0	1.016	2164976540.79
