3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
0.0	1.0	2.03621703012e-06
1.0	1.0002	32887281.4707
2.0	1.0004	65794558.7053
3.0	1.0006	98721816.4553
4.0	1.0008	131669099.235
5.0	1.001	164636378.407
6.0	1.0012	197623652.583
7.0	1.0014	230630953.533
8.0	1.0016	263658257.586
9.0	1.0018	296705581.313
10.0	1.002	329772921.497
11.0	1.0022	362860271.277
12.0	1.0024	395967535.963
13.0	1.0026	429094307.096
14.0	1.0028	462238824.066
15.0	1.003	495394728.902
16.0	1.0032	528541558.666
17.0	1.0034	561624298.106
18.0	1.0036	594527243.96
19.0	1.0038	627072256.904
20.0	1.004	659071012.472
21.0	1.0042	690399512.169
22.0	1.0044	721033585.137
23.0	1.0046	751036305.317
24.0	1.0048	780524691.335
25.0	1.005	809631147.198
26.0	1.0052	838461724.127
27.0	1.0054	867085289.099
28.0	1.0056	895558404.963
29.0	1.0058	923911465.594
30.0	1.006	952166416.592
31.0	1.0062	980323063.027
32.0	1.0064	1008376033.1
33.0	1.0066	1036303381.55
34.0	1.0068	1064082489.22
35.0	1.007	1091680694.75
36.0	1.0072	1119070988.37
37.0	1.0074	1146223716.98
38.0	1.0076	1173121171.97
39.0	1.0078	1199747334.87
40.0	1.008	1226099481.15
41.0	1.0082	1252175530.52
42.0	1.0084	1277984214.88
43.0	1.0086	1303532168.15
44.0	1.0088	1328834212.8
45.0	1.009	1353901189.23
46.0	1.0092	1378750258.28
47.0	1.0094	1403393669.64
48.0	1.0096	1427848580.36
49.0	1.0098	1452127017.57
50.0	1.01	1476244769.79
51.0	1.0102	1500212699.82
52.0	1.0104	1524044551.71
53.0	1.0106	1547749563.36
54.0	1.0108	1571339248.61
55.0	1.011	1594821131.93
56.0	1.0112	1618204655.7
57.0	1.0114	1641495821.71
58.0	1.0116	1664702343.9
59.0	1.0118	1687829000.65
60.0	1.012	1710882119.97
61.0	1.0122	1733865512.23
62.0	1.0124	1756784389.35
63.0	1.0126	1779641789.13
64.0	1.0128	1802442026.33
65.0	1.013	1825187527.55
66.0	1.0132	1847881891.44
67.0	1.0134	1870527064.28
68.0	1.0136	1893126067.99
69.0	1.0138	1915680469.74
70.0	1.014	1938192827.63
71.0	1.0142	1960664413.18
72.0	1.0144	1983097414.81
73.0	1.0146	2005492878.23
74.0	1.0148	2027852700.44
75.0	1.015	2050177759.38
76.0	1.0152	2072469722.08
77.0	1.0154	2094729343.14
78.0	1.0156	2116958104.22
79.0	1.0158	2139156668.43
80.0	1.016	2161326362.15
81.0	1.0162	2183467777.19
82.0	1.0164	2205582104.53
83.0	1.0166	2227669875.76
84.0	1.0168	2249732161.6
85.0	1.017	2271769442.13
86.0	1.0172	2293782680.71
87.0	1.0174	2315772309.98
88.0	1.0176	2337739190.43
89.0	1.0178	2359683702.26
90.0	1.018	2381606602.86
91.0	1.0182	2403508215.97
92.0	1.0184	2425389203.06
93.0	1.0186	2447249842.52
94.0	1.0188	2469090720.56
95.0	1.019	2490912086.43
96.0	1.0192	2512714467.67
97.0	1.0194	2534498098.78
98.0	1.0196	2556263462.88
99.0	1.0198	2578010785.92
100.0	1.02	2599740512.24
101.0	1.0198	2561108627.94
102.0	1.0196	2525091579.98
103.0	1.0194	2490232645.41
104.0	1.0192	2455969243.66
105.0	1.019	2422030470.04
106.0	1.0188	2388283116.55
107.0	1.0186	2354654357.1
108.0	1.0184	2321103195.02
109.0	1.0182	2287606913.53
110.0	1.018	2254151367.84
111.0	1.0178	2220728984.68
112.0	1.0176	2187334547.15
113.0	1.0174	2153965407.55
114.0	1.0172	2120619529.47
115.0	1.017	2087295994.81
116.0	1.0168	2053993939.9
117.0	1.0166	2020713095.85
