3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
0.0	0.999996185303	-2.56441684084e+218
1.0	1.00019618457	32456986.7111
2.0	1.00039618383	64933694.0703
3.0	1.0005961831	97430082.4929
4.0	1.00079618236	129946190.741
5.0	1.00099618163	1.30082022479e+192
6.0	1.00119618089	9.82327091611e+230
7.0	1.00139618016	1.22919071974e+84
8.0	1.00159617942	260207730.353
9.0	1.00179617869	292822413.031
10.0	1.00199617795	325456819.286
11.0	1.00219617722	358110966.516
12.0	1.00239617648	390784788.628
13.0	1.00259617575	423478189.338
14.0	1.00279617501	456190609.016
15.0	1.00299617427	488919946.656
16.0	1.00319617354	523576054.907
17.0	1.00339617281	1.25701742929e+54
18.0	1.00359617208	587053736.193
19.0	1.00379617135	619550126.857
20.0	1.00399617064	-1.05446513939e+61
21.0	1.00419616995	683373967.361
22.0	1.00439616926	-2.76765676764e+203
23.0	1.00459616858	744745405.345
24.0	1.00479616791	774461902.581
25.0	1.00499616725	803642413.509
26.0	1.00519616658	832380034.229
27.0	1.00539616593	7.83484080581e+301
28.0	1.00559616528	-1.33621175606e+258
29.0	1.00579616463	916484313.434
30.0	1.005996164	2.45144942745e+179
31.0	1.00619616338	5.31377299493e+71
32.0	1.00639616277	2.00645028603e+208
33.0	1.00659616218	1025604820.91
34.0	1.00679616159	2.95726101834e+37
35.0	1.00699616101	1.42640802027e+80
36.0	1.00719616044	1105556040.42
37.0	1.00739615987	-3.46868593377e+106
38.0	1.00759615931	5.65149918167e+172
39.0	1.00779615875	1183540384.3
40.0	1.00799615821	-1.37339807272e+272
41.0	1.00819615767	-5.61845349659e+124
42.0	1.00839615713	-4.38728866107e+236
43.0	1.0085961566	4.17575043236e+55
44.0	1.00879615608	1308603984.01
45.0	1.00899615556	1332931561.15
46.0	1.00919615504	2.3582146055e+291
47.0	1.00939615453	-3.17477718362e+245
48.0	1.00959615402	1404733936.61
49.0	1.00979615352	1428310463.22
50.0	1.00999615302	1451727207.97
51.0	1.01019615252	-1.57177555344e+232
52.0	1.01039615202	2.008238382e+183
53.0	1.01059615152	1.60900319194e+56
54.0	1.01079615103	1544011900.25
55.0	1.01099615053	5.16617557372e+235
56.0	1.01119615003	1589467691.68
57.0	1.01139614953	1612055018.84
58.0	1.01159614901	1634558847.93
59.0	1.0117961485	1656985388.56
60.0	1.01199614797	1679340940.01
61.0	1.01219614743	1701630527.39
62.0	1.01239614687	1723859280.54
63.0	1.01259614631	1746031251.82
64.0	1.01279614573	1768150620.02
65.0	1.01299614514	9.0771532081e+97
66.0	1.01319614453	-7.55141299432e+57
67.0	1.01339614391	1834225595.26
68.0	1.01359614328	1856165955.79
69.0	1.01379614264	1.24258946866e+121
70.0	1.01399614199	-2.12715437405e+67
71.0	1.01419614132	1921765923.5
72.0	1.01439614064	-5.36444759221e+296
73.0	1.01459613996	1965334313.49
74.0	1.01479613926	1987073944.95
75.0	1.01499613856	2008785623.51
76.0	1.01519613784	2030470734.84
77.0	1.01539613712	2052130289.27
78.0	1.01559613639	2073765469.5
79.0	1.01579613565	4.32902754658e+55
80.0	1.01599613491	2116966271.88
81.0	1.01619613415	-2.77239407437e+237
82.0	1.0163961334	-1.33352776654e+244
83.0	1.01659613263	2181606285.31
84.0	1.01679613187	2203112981.16
85.0	1.01699613109	2224600727.94
86.0	1.01719613031	5.10469400769e+258
87.0	1.01739612953	2.99727643401e+20
88.0	1.01759612874	2288956531.42
89.0	1.01779612795	2310374392.41
90.0	1.01799612716	2331776097.93
91.0	1.01819612636	7.86044473894e+272
92.0	1.01839612556	2374532682.67
93.0	1.01859612476	2.00543624214e+240
94.0	1.01879612395	2417229657.87
95.0	1.01899612314	2438556734.02
96.0	1.01919612233	2459870052.17
97.0	1.01939612152	-1.18669816228e+58
98.0	1.0195961207	2502456584.32
99.0	1.01979611989	1.97794915874e+106
100.0	1.01999611907	-5.34687525882e+91
101.0	1.01979611974	2506873909.58
102.0	1.01959612043	6.72165229343e+182
103.0	1.01939612115	2436970717.58
104.0	1.01919612186	2403229453.39
105.0	1.01899612259	-1.36363736457e+162
106.0	1.01879612332	3.1300113687e+173
107.0	1.01859612406	-1.45258389919e+63
108.0	1.01839612479	2270364166.15
109.0	1.01819612552	2237354768.83
110.0	1.018	2204393555.41
111.0	1.0178	2171453251.14
112.0	1.0176	2138539423.95
113.0	1.0174	2105649182.56
114.0	1.0172	2072781100.7
115.0	1.017	2039934082.21
116.0	1.0168	2007107624.24
117.0	1.0166	1974301275.14
118.0	1.0164	1941514876.58
119.0	1.0162	1908748219.4
120.0	1.016	1876001296.4
121.0	1.0158	1843274008.5
122.0	1.0156	1810566464.0
123.0	1.0154	1777878652.55
124.0	1.0152	1745210801.83
125.0	1.015	1712562993.84
126.0	1.0148	1679935614.23
127.0	1.0146	1647328863.73
128.0	1.0144	1614743284.62
129.0	1.0142	1582179172.03
130.0	1.014	1549637239.03
131.0	1.0138	1517118016.44
132.0	1.0136	1484622673.23
133.0	1.0134	1452152481.83
134.0	1.0132	1419710118.31
135.0	1.013	1387300214.0
136.0	1.0128	1354933378.21
137.0	1.0126	1322631230.52
138.0	1.0124	1290435758.86
139.0	1.0122	1258412014.3
140.0	1.012	1226639953.28
141.0	1.0118	1195191737.3
142.0	1.0116	1164123815.44
143.0	1.0114	1133475489.35
144.0	1.0112	1103269198.43
145.0	1.011	1073498620.51
146.0	1.0108	1044133480.68
147.0	1.0106	1015130362.45
148.0	1.0104	986445170.855
149.0	1.0102	958035014.575
150.0	1.01	929861489.573
151.0	1.0098	901890364.038
152.0	1.0096	874093917.18
153.0	1.0094	846450253.04
154.0	1.0092	818944130.467
155.0	1.009	791565129.757
156.0	1.0088	764306296.039
157.0	1.0086	737161410.211
158.0	1.0084	710124177.373
159.0	1.0082	683187414.164
160.0	1.008	656343736.704
161.0	1.0078	629585683.502
162.0	1.0076	602906523.534
163.0	1.0074	576300382.535
164.0	1.0072	549762714.615
165.0	1.007	523290363.294
166.0	1.0068	496881859.04
167.0	1.0066	470537437.769
168.0	1.0064	444259080.457
169.0	1.0062	418050515.077
170.0	1.006	391917255.856
171.0	1.0058	365866663.383
172.0	1.0056	339907665.353
173.0	1.0054	314050273.449
174.0	1.0051961695	288303011.831
175.0	1.005	262698185.01
176.0	1.0048	237208026.989
177.0	1.0046	211845338.162
178.0	1.0044	186612034.897
179.0	1.00419617227	161505631.927
180.0	1.004	136541503.617
181.0	1.0038	111695341.596
182.0	1.0036	86969665.8538
183.0	1.0034	62357486.1421
184.0	1.00319617495	37854551.6605
185.0	1.003	13468133.3884
186.0	1.0028	-10818845.2712
187.0	1.0026	-35006460.8004
188.0	1.00239617705	7255073865.01
189.0	1.0022	-83094953.8946
190.0	1.002	-107000422.21
191.0	1.0018	-130816413.724
192.0	1.0015961791	-1.1931471968e+156
193.0	1.0014	-178187203.263
194.0	1.0012	-201744295.22
195.0	1.00099618063	2.10117057281e+23
196.0	1.0008	-248613651.369
197.0	1.0006	-271928766.692
198.0	1.0004	-295168562.556
199.0	1.0002	-318335486.495
200.0	1.0	-341433399.969
201.0	0.9998	-364463493.342
202.0	0.9996	-387430573.661
203.0	0.9994	-410335576.819
204.0	0.9992	-433183644.371
205.0	0.999	-455975473.515
