6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	5.38946349816e-07
1.0	0.00133200177512	317406094.015
2.0	0.00266134751302	446344674.736
3.0	0.00398804778503	478633140.287
4.0	0.00531211309945	500394128.589
5.0	0.00663355390211	518937973.784
6.0	0.00795238057685	535913133.185
7.0	0.00926860344599	551943587.055
8.0	0.0105822327709	567327483.792
9.0	0.0118932787522	582239662.8
10.0	0.0132017515308	596785172.586
