6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	9.0166391409e-07
1.0	0.00133200177512	303720087.775
2.0	0.00266134751303	436720183.033
3.0	0.00398804778503	468209682.56
4.0	0.00531211309945	488035944.435
5.0	0.00663355390211	504570357.177
6.0	0.00795238057685	519623928.856
7.0	0.00926860344599	533845784.59
8.0	0.0105822327709	547528979.978
9.0	0.0118932787522	560834583.713
10.0	0.0132017515308	573853342.211
