6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	4.12606324024e-06
1.0	0.00133200177512	312016769.862
2.0	0.00266134751302	439081267.456
3.0	0.00398804778503	470196026.706
4.0	0.00531211309945	488664879.677
5.0	0.00663355390211	503413969.108
6.0	0.00795238057685	516612459.252
7.0	0.00926860344599	529008491.351
8.0	0.0105822327709	540922829.728
9.0	0.0118932787522	552516644.62
10.0	0.0132017515308	563875361.508
