51
Feature_ID,AspectRatios_0,AspectRatios_1,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,Volumes
25,0.82241476,0.57113105,1.8923396,1.3496324,4.8723378,5.7056589,4.6924181,3.2586787,2.4143987,3.6449981,22.310316,8.6584511,5.5336981,2.0306628,1.7717471,2719,5,0.69571757,1,1,339.875
26,0.74859118,0.70523155,0.4646568,0.38265407,4.7358422,5.684763,4.2555633,4.0090742,18.913408,9.2924547,22.288128,9.0657082,5.2889304,2.3111279,0.095129192,3121,11,0.8165983,1,0,390.125
27,0.93207532,0.75751346,0.81630433,0.51319593,3.7231731,6.3835764,5.9499736,4.8356452,17.535168,4.8162589,28.149591,11.200667,1.391601,0.86835164,1.2065774,5886,7,0.79990929,1,1,735.75
28,0.95346075,0.76471704,0.61192465,0.23348287,4.4552717,6.1307836,5.8454618,4.6883144,23.147768,27.249353,3.8432829,10.896245,3.7265439,0.17850266,4.5907207,5419,9,0.82593304,1,1,677.375
29,0.74741715,0.63482869,3.4703147,1.8802621,0.17496873,5.8848,4.3984008,3.7358401,4.05865,29.006554,3.464941,8.9984007,6.0128632,2.9926832,6.2650781,3052,3,0.74123466,1,1,381.5
30,0.88196063,0.7245357,5.7467785,0.62985706,5.4621363,4.9317327,4.3495941,3.5732167,20.430033,25.625254,10.186209,8.3845062,5.9353085,0.87670267,4.7014542,2469,9,0.82068098,1,0,308.625
31,0.65219647,0.55376619,5.1741366,0.30723071,4.8245573,4.5665965,2.978318,2.5288267,28.879808,21.690865,1.7807692,6.2851396,3.5566225,1.2239416,2.1040032,1040,5,0.59821868,1,1,130
32,0.84240073,0.7368601,3.5351093,1.5724281,4.5873432,8.5547247,7.2065067,6.3036356,12.234241,4.6340389,17.52755,14.360495,0.84494299,1.890311,2.2660179,12405,18,0.78429806,1,1,1550.625
33,0.87612855,0.74094081,0.43570012,0.58248806,5.2303395,3.7768817,3.3090339,2.7984459,18.813562,12.345345,10.904431,6.4365754,5.4551129,0.28187862,3.3622975,1117,9,0.78634894,1,0,139.625
34,0.75592816,0.59932405,3.415318,1.4184303,4.7931824,6.6407218,5.0199084,3.9799442,13.842328,29.040089,6.3214798,10.006529,1.1322812,1.3941798,5.278595,4197,8,0.74965537,1,1,524.625
