51
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,Volumes
20,0.94582605,0.78369218,-0.46470401,0.02757059,0.57691598,0.67116171,3.6311383,1.4109247,5.2059216,3.9667645,3.7518692,3.1087222,21.489902,29.787256,20.370821,6.9987736,5.5138969,0.96844673,5.6324167,1436,5,0.68163073,1,1,179.5
21,0.68014765,0.60073513,0.80291659,-0.073535562,0.49701625,0.32076839,5.3622947,0.3876386,4.8229518,2.8868792,1.9635042,1.7342498,18.000847,30.441525,1.3008474,4.1296301,2.0525918,1.875662,2.2352533,295,3,0.57591236,1,1,36.875
22,0.78194588,0.58695734,-0.020400817,-0.47907025,-0.71074075,0.51470679,3.6547639,0.055232473,4.0580907,8.4093752,6.5756764,4.9359446,24.290321,14.292317,28.3461,12.791481,2.4722612,1.0001798,5.6989708,8767,9,0.80907726,1,1,1095.875
23,0.945198,0.82887971,-0.62993258,-0.49911883,0.073436871,0.59048486,1.2028102,0.15208007,1.4635743,5.835937,5.5161161,4.8372898,25.446064,25.235317,17.009089,10.612086,0.54631913,1.8669771,5.4894028,5006,12,0.81251377,1,1,625.75
24,0.77708125,0.58456349,-0.8532747,-0.30079269,-0.19288822,0.37978965,3.111856,1.3737564,5.7755723,6.561059,5.0984759,3.8353553,25.568327,2.9080622,17.011438,9.9183331,0.80884725,2.2615366,0.13101886,4087,8,0.77630168,1,1,510.875
25,0.88189352,0.61106813,-0.25933966,0.80910885,-0.25795448,0.45994049,1.7788553,1.4724764,4.893302,5.0922236,4.4907994,3.1116955,2.2409909,3.3391893,22.318243,8.0926008,5.5336981,2.0306628,1.7717471,2220,5,0.69940823,1,1,277.5
26,0.84875488,0.79553944,-0.80660689,-0.072807871,0.41046146,0.41905329,0.17287554,0.59410065,5.2049065,5.3324513,4.5259442,4.2421751,18.137367,9.0183411,21.813013,9.2217979,5.2889304,2.3111279,0.095129192,3285,11,0.80474883,1,0,410.625
27,0.89674777,0.83970588,-0.41886401,-0.038860776,-0.87393504,0.24347557,0.74202394,0.52145451,4.2934065,6.0702024,5.4434404,5.0971847,17.468342,4.6067743,27.780783,10.900265,1.391601,0.86835164,1.2065774,5425,7,0.8204847,1,1,678.125
28,0.86003512,0.76843244,0.080940969,-0.037326016,-0.84716952,0.52379304,5.9134588,0.19423492,4.5317135,6.2196884,5.3491507,4.7794104,23.127607,27.251461,3.7407424,10.699689,3.7265439,0.17850266,4.5907207,5131,9,0.82790023,1,1,641.375
29,0.76796329,0.65944356,-0.9893105,0.12542503,0.010690422,0.07361377,0.72117776,0.79774207,0.17804319,5.1573896,3.960686,3.4010077,3.3162069,28.888851,2.826092,8.0375481,6.0128632,2.9926832,6.2650781,2175,3,0.7118091,1,1,271.875
