5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5.32492345204e-06	7.99916845007e-07	6.54430563052e-07	7.99916845007e-07	6.46306143721e-06	3.34614878163e-07	6.54430563052e-07	3.34614878163e-07	4.44043157907e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.32492345204e-06	7.99916845007e-07	6.54430563052e-07	7.99916845007e-07	6.46306143721e-06	3.34614878163e-07	6.54430563052e-07	3.34614878163e-07	4.44043157907e-06	0.0	2.57384888003e-06
1	nan	nan	1	1	32.0	32.0	32.0	1.002	6.16275405746e-21	9.09042541874e-20	5.57726528014e-22	1.0	-1.46990822031e-19	-4.63634733336e-22	2.14529291866e-21	1.0	475041179.476	-3815701.61113	12724189.9123	-3808084.88545	171468811.763	-9586780.71178	12698790.3312	-9586778.78327	165484403.256	0.001998002662673058	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	475041179.47599995	-3808085.440249501	12698792.32764471	-3808084.88545	171126558.6457086	-9567645.420938123	12698790.331199998	-9567643.496277444	165154095.06586826	0.00133200177512	308247932.65
2	nan	nan	1	1	32.0	32.0	32.0	1.004	4.10761348582e-20	-3.20979495767e-18	-5.7790973496e-20	1.0	1.20518064579e-18	-1.18659058871e-21	2.94724452253e-20	1.0	830857677.834	-4773361.8496	17924493.6421	-4754343.00359	401762008.181	-16406819.8904	17853080.8562	-16406820.1399	391921515.847	0.003992021269537457	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	830857677.834	-4754344.471713148	17853081.31683267	-4754343.00359	400161362.73007965	-16341454.074103586	17853080.8562	-16341454.322609562	390360075.5448207	0.00266134751303	437769228.693
3	nan	nan	1	1	32.0	32.0	32.0	1.006	2.97967000254e-20	-7.96085238966e-19	1.79597454598e-20	1.0	-1.94754050397e-18	-9.93929884286e-21	5.94486434436e-20	1.0	1118275788.72	-3560787.97106	18507229.0136	-3539546.75856	665463622.03	-21216860.6122	18396849.7071	-21216860.2522	652204213.854	0.005982071677547469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1118275788.72	-3539550.667057654	18396847.926043738	-3539546.75856	661494654.1053678	-21090318.7	18396849.7071	-21090318.34214712	648314327.8866799	0.00398804778503	466080006.291
4	nan	nan	1	1	32.0	32.0	32.0	1.008	8.319699883e-20	2.49622925662e-18	5.806642464e-20	1.0	-7.6410494756e-18	1.41535772687e-20	-1.54145107149e-19	1.0	1398274995.99	-2840987.5673	18825663.4944	-2818442.11409	932335317.513	-24185298.4879	18676261.505	-24185297.357	916951300.741	0.007968169649176881	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1398274995.99	-2818440.0469246036	18676253.466666665	-2818442.1140900003	924935830.8660715	-23993351.674503967	18676261.505000003	-23993350.552579373	909673909.4652779	0.00531211309945	484049830.0
5	nan	nan	1	1	32.0	32.0	32.0	1.01	1.00811809974e-19	2.15920609656e-18	-7.95086004786e-21	1.0	1.04387629044e-17	1.24192897169e-20	8.980038166e-20	1.0	1675802617.97	-2533699.27042	19238945.8085	-2508624.79985	1200395396.3	-26284023.5531	19048474.8248	-26284025.2802	1183459242.32	0.009950330853168092	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	1675802617.97	-2508613.139029703	19048461.196534652	-2508624.79985	1188510293.3663366	-26023785.696138613	19048474.824800003	-26023787.406138603	1171741824.079208	0.00663355390211	499044348.597
6	nan	nan	1	1	32.0	32.0	32.0	1.012	2.02212572545e-19	6.29218921176e-19	2.25505978594e-20	1.0	-1.53092056599e-17	-3.95867961653e-21	-5.45442895917e-20	1.0	1951898398.83	-2419955.48399	19680863.6129	-2391288.75471	1469271457.69	-27938042.9817	19447510.9719	-27938040.5635	1451070512.21	0.011928570865273812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1951898398.8299997	-2391260.3596739136	19447493.688636363	-2391288.7547099995	1451849266.4920948	-27606761.839624505	19447510.9719	-27606759.450098835	1433864142.5	0.00795238057685	512644336.17
7	nan	nan	1	1	32.0	32.0	32.0	1.014	-1.70923638694e-19	2.86231127159e-18	3.81032477366e-20	1.0	4.83025666692e-18	-2.56607969626e-20	3.29571917098e-19	1.0	2226958235.09	-2386955.65006	20100547.6919	-2354056.31723	1738809074.89	-29320474.3908	19823046.9683	-29320472.2123	1719553721.34	0.013902905168991434	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	0.0	2226958235.0900006	-2353999.654891519	19823025.33717949	-2354056.3172300006	1714801849.0039449	-28915655.21775148	19823046.968300004	-28915653.06932938	1695812348.4615386	0.00926860344599	525446654.481
8	nan	nan	1	1	32.0	32.0	32.0	1.016	-2.91981521341e-19	4.26320615904e-18	5.18278284601e-20	1.0	6.31082559096e-19	-2.88458559113e-20	2.82101676105e-20	1.0	2501169359.56	-2391862.23652	20487050.5405	-2354325.09499	2008947303.18	-30518721.7685	20164481.7498	-30518735.1296	1988784360.57	0.015873349156290163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2501169359.5600004	-2354195.114685039	20164419.823326774	-2354325.0949900006	1977310337.7755907	-30038111.97687008	20164481.749800008	-30038125.127559055	1957464921.820866	0.0105822327709	537737504.713
9	nan	nan	1	1	32.0	32.0	32.0	1.018	-1.56237874099e-20	1.63233009667e-18	5.52573192798e-20	1.0	9.18807078133e-18	2.20336099766e-20	8.06153681382e-20	1.0	2774631000.53	-2435473.59266	20844162.6415	-2392547.56204	2279658824.04	-31581997.8064	20475664.4825	-31582007.9706	2258695418.71	0.017839918128331016	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	2774631000.53	-2392410.2088998035	20475601.808939096	-2392547.56204	2239350514.774067	-31023573.483693518	20475664.482500006	-31023583.468172867	2218757778.6935167	0.0118932787522	549667592.979
10	nan	nan	1	1	32.0	32.0	32.0	1.02	3.45273459486e-19	3.03450545971e-18	6.30609411786e-20	1.0	-4.30551743999e-17	1.23859543382e-19	-4.20538623422e-20	1.0	3047405705.95	-2501196.89349	21171790.2063	-2452329.36764	2550934953.19	-32565083.686	20756707.7257	-32565100.3306	2529235214.23	0.01980262729617973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3047405705.95	-2452153.81714706	20756657.065	-2452329.367639999	2500916620.77451	-31926552.633333333	20756707.725700006	-31926568.951568734	2479642366.8921566	0.0132017515308	561335494.644
