6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	2.28062100573e-06
1.0	0.00133200177512	317822358.581
2.0	0.00266134751302	443420031.609
3.0	0.00398804778503	471157921.693
4.0	0.00531211309945	488730102.894
5.0	0.00663355390211	503455202.122
6.0	0.00795238057685	516940495.446
7.0	0.00926860344599	529740403.935
8.0	0.0105822327709	542103964.162
9.0	0.0118932787522	554160099.903
10.0	0.0132017515308	565985183.306
