6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	5.66853173333e-07
1.0	0.00133200177512	317382706.623
2.0	0.00266134751302	447063205.414
3.0	0.00398804778503	480600170.007
4.0	0.00531211309945	503669975.282
5.0	0.00663355390211	523411535.513
6.0	0.00795238057685	541476236.626
7.0	0.00926860344599	558504816.832
8.0	0.0105822327709	574813851.526
9.0	0.0118932787522	590584080.209
10.0	0.0132017515308	605935131.404
