6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	1.42353112491e-06
1.0	0.00133200177512	315121311.872
2.0	0.00266134751302	442920455.318
3.0	0.00398804778503	472859233.21
4.0	0.00531211309945	492400353.585
5.0	0.00663355390211	508925182.687
6.0	0.00795238057685	524039519.926
7.0	0.00926860344599	538342902.105
8.0	0.0105822327709	552109838.591
9.0	0.0118932787522	565490722.475
10.0	0.0132017515308	578576347.513
