5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5.99579656695e-06	-1.1073679618e-08	-9.26800924237e-08	-1.1073679618e-08	5.76114669156e-06	5.72470461512e-08	-9.26800924237e-08	5.72470461512e-08	5.64624226259e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.99579656695e-06	-1.1073679618e-08	-9.26800924237e-08	-1.1073679618e-08	5.76114669156e-06	5.72470461512e-08	-9.26800924237e-08	5.72470461512e-08	5.64624226259e-06	0.0	3.62207471447e-07
1	nan	nan	1	1	32.0	32.0	32.0	1.002	-3.23851549572e-21	7.53102452796e-20	-2.3988237764e-22	1.0	-6.30402616633e-20	-1.03604371722e-22	3.40798412372e-22	1.0	478884184.432	65226.5249653	256296.827263	65096.1086031	166329109.756	-537310.763598	255785.26502	-537310.611348	166792224.178	0.001998002662673058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	478884184.432	65096.332300698596	255785.256749501	65096.108603099994	165997115.52495012	-536238.2870239521	255785.26501999996	-536238.1350778443	166459305.56686625	0.00133200177512	312657943.872
2	nan	nan	1	1	32.0	32.0	32.0	1.004	1.29632126684e-20	2.02364773777e-19	-5.04580173657e-21	1.0	-3.36441652086e-19	-1.76230829504e-21	6.64556904125e-21	1.0	835709342.63	-358044.036616	956507.170471	-356617.973162	394357079.29	-1059095.39943	952695.134736	-1059094.94164	394488851.903	0.003992021269537457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	835709342.63	-356617.5663505976	952696.3849312749	-356617.973162	392785935.54780877	-1054875.8958466134	952695.1347360001	-1054875.4398804784	392917183.1703187	0.00266134751302	442865071.808
3	nan	nan	1	1	32.0	32.0	32.0	1.006	-1.49159276007e-20	-3.75712051666e-19	-5.70754622662e-21	1.0	-3.36558284552e-19	-1.79787706138e-21	-6.54382582591e-21	1.0	1126374943.33	-690594.589792	1331705.62444	-686475.613087	654994585.087	-1376960.84429	1323763.74316	-1376960.85167	654715868.724	0.005982071677547469	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1126374943.33	-686475.7353797217	1323763.0461630218	-686475.6130870001	651088056.7465209	-1368748.35416501	1323763.7431599998	-1368748.3615009943	650811002.7077534	0.00398804778503	475438400.511
4	nan	nan	1	1	32.0	32.0	32.0	1.008	3.35930454467e-20	4.93026114861e-19	-4.81088244261e-21	1.0	5.39606309515e-19	2.42281201417e-21	-3.63165376135e-20	1.0	1409163270.4	-860195.074728	1545876.48874	-853363.154957	919595617.727	-1577012.68056	1533613.65333	-1577013.85561	919049665.662	0.007968169649176881	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1409163270.4	-853368.1296904762	1533607.627718254	-853363.154957	912297239.8085318	-1564496.706904762	1533613.6533300004	-1564497.8726289677	911755620.6964285	0.00531211309945	497153740.189
5	nan	nan	1	1	32.0	32.0	32.0	1.01	3.74276479713e-20	9.10193150106e-19	-4.10281583826e-22	1.0	-2.84829717765e-18	4.14582923012e-21	2.27838627922e-20	1.0	1689214580.4	-949427.294773	1703010.25225	-940011.79031	1185723402.36	-1724069.59454	1686156.49052	-1724073.34836	1185028402.77	0.009950330853168092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1689214580.4	-940027.0245277227	1686148.7646039603	-940011.79031	1173983566.6930692	-1706999.5985544554	1686156.4905200012	-1707003.315207924	1173295448.2871287	0.00663355390211	515594736.92
6	nan	nan	1	1	32.0	32.0	32.0	1.012	-2.5634327183e-21	-3.87947707287e-19	1.12331127185e-20	1.0	3.50061180871e-19	1.53905224772e-20	-5.77008108092e-20	1.0	1967659299.15	-1013748.51919	1817984.40646	-1001702.5584	1452855986.55	-1838158.11409	1796436.30606	-1838160.12958	1452074637.02	0.011928570865273812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1967659299.15	-1001727.7857608695	1796427.2791106717	-1001702.5584	1435628445.2075098	-1816361.7728162054	1796436.3060599996	-1816363.7644071141	1434856360.6916995	0.00795238057685	532438529.568
7	nan	nan	1	1	32.0	32.0	32.0	1.014	2.37733775999e-20	6.35400441894e-19	1.1133851045e-20	1.0	5.77941167823e-19	1.3405289007e-20	-2.80033724574e-20	1.0	2244931755.94	-1057749.5669	1905074.77444	-1043106.81392	1720801167.52	-1925520.40686	1878787.92038	-1925522.39524	1719962166.81	0.013902905168991434	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2244931755.94	-1043145.5294871795	1878771.966903353	-1043106.8139200001	1697042571.5187378	-1898935.312485207	1878787.9203800012	-1898937.2734122279	1696215154.6449704	0.00926860344599	548325858.807
8	nan	nan	1	1	32.0	32.0	32.0	1.016	2.39559777201e-20	4.16938733396e-19	1.82310607007e-20	1.0	-2.85840532474e-20	1.03616779431e-20	-4.9357867151e-20	1.0	2521245152.71	-1087882.08512	1971502.13433	-1070700.43606	1989464438.2	-2005254.48495	1940473.54856	-2005255.06563	1988584002.64	0.015873349156290163	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2521245152.71	-1070750.0837795276	1940454.8566240158	-1070700.43606	1958134289.5669293	-1973675.6741633858	1940473.548560001	-1973676.245698819	1957267719.1338584	0.0105822327709	563568090.039
9	nan	nan	1	1	32.0	32.0	32.0	1.018	2.03676682229e-20	-8.97782132196e-19	8.61591326035e-21	1.0	-2.2200071803e-18	1.56916162201e-21	3.79510465039e-20	1.0	2796719099.02	-1113485.03923	2027039.02442	-1093718.78784	2258792923.94	-2076871.18858	1991239.76751	-2076874.9393	2257877634.88	0.017839918128331016	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	2796719099.02	-1093796.698654224	1991197.4699607072	-1093718.78784	2218853559.8624754	-2040148.5153045186	1991239.7675099978	-2040152.1997053095	2217954454.6954813	0.0118932787522	578339798.078
10	nan	nan	1	1	32.0	32.0	32.0	1.02	3.78559207335e-21	7.18773630194e-19	1.5087774373e-20	1.0	4.65934295439e-20	-2.23557968252e-20	-7.95979359848e-20	1.0	3071425115.41	-1143085.16219	2080950.8274	-1120599.34663	2528755602.97	-2141242.66796	2040181.7145	-2141246.27772	2527807342.66	0.01980262729617973	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	3071425115.4099994	-1120671.7276372549	2040147.8699999999	-1120599.3466299998	2479172159.7745094	-2099257.517607843	2040181.7145000016	-2099261.0565882353	2478242492.803921	0.0132017515308	592743199.631
