5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.03450528179e-05	-8.76767009945e-07	3.89391275869e-07	-8.76767009945e-07	1.16263430108e-05	-4.56158569581e-07	3.89391275869e-07	-4.56158569581e-07	1.0730030577e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03450528179e-05	-8.76767009945e-07	3.89391275869e-07	-8.76767009945e-07	1.16263430108e-05	-4.56158569581e-07	3.89391275869e-07	-4.56158569581e-07	1.0730030577e-05	0.0	2.16377540294e-06
1	nan	nan	1	1	32.0	32.0	32.0	1.002	-1.83447980349e-20	-2.33197724315e-21	9.65733365156e-22	1.0	-2.73910520089e-19	-6.12940833902e-22	-1.58158484084e-20	1.0	477612960.624	-703354.655154	2972272.04711	-701951.026209	170947157.558	1558546.59761	2966339.83262	1558546.32332	163425016.45	0.001998002662673058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	477612960.624	-701950.7536467066	2966339.3683732534	-701951.026209	170605945.66666666	1555435.7261576846	2966339.83262	1555435.4524151694	163098818.81237522	0.00133200177512	310885089.14
2	nan	nan	1	1	32.0	32.0	32.0	1.004	-8.94389037323e-21	-1.41720213284e-18	-1.47899893524e-21	1.0	-4.03870934079e-22	1.5550995516e-21	6.0920507946e-20	1.0	835013261.078	-2634076.11899	3144485.83969	-2623581.5631	399874556.918	1743324.17168	3131957.7952	1743324.20573	389718035.894	0.003992021269537457	0.0	0.0	0.0	-4.440892098500627e-16	0.0	0.0	0.0	-4.440892098500627e-16	835013261.078	-2623581.791822709	3131958.007659362	-2623581.5631	398281431.19322705	1736378.6570517928	3131957.7951999996	1736378.6909661356	388165374.39641434	0.00266134751303	441943607.14
3	nan	nan	1	1	32.0	32.0	32.0	1.006	-8.73916317162e-21	-2.23596597586e-18	-7.12119789347e-21	1.0	-1.26072044725e-18	3.91918174228e-21	-2.38158740039e-20	1.0	1123421870.66	-2980961.60864	2235117.06061	-2963182.28914	660837665.767	2362750.16323	2221788.08167	2362750.86339	651862163.247	0.005982071677547469	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1123421870.66	-2963182.5135586485	2221786.342554672	-2963182.28914	656896288.0387673	2348658.2139463224	2221788.081669999	2348658.909930417	647974317.3429424	0.00398804778503	471111183.623
4	nan	nan	1	1	32.0	32.0	32.0	1.008	-8.28222860125e-20	-4.28379964757e-18	2.46102775847e-20	1.0	2.12234672167e-18	4.47504711391e-21	-4.8319341892e-20	1.0	1403675534.32	-3252995.76123	1689999.99587	-3227174.77883	926262207.301	3148758.98149	1676591.6706	3148758.23445	917853832.569	0.007968169649176881	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1403675534.32	-3227178.3345535714	1676587.2974900794	-3227174.7788300007	918910919.9414682	3123768.830843254	1676591.670599996	3123768.0897321445	910569278.3422619	0.00531211309945	489059298.717
5	nan	nan	1	1	32.0	32.0	32.0	1.01	2.29873492228e-21	-2.20479781038e-18	4.88334346427e-20	1.0	2.02937617031e-18	9.92616735064e-23	4.85679096661e-20	1.0	1681334544.73	-3605127.73195	1362885.46329	-3569438.29249	1193402310.96	3714322.89428	1349404.32275	3714320.35852	1185155031.96	0.009950330853168092	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	0.0	1681334544.73	-3569433.397970297	1349391.5478118812	-3569438.29249	1181586446.4950495	3677547.420079208	1349404.3227499975	3677544.909425745	1173420823.7227724	0.00663355390211	503964137.429
6	nan	nan	1	1	32.0	32.0	32.0	1.012	-4.14252050767e-20	-2.81307582717e-19	3.59360345318e-20	1.0	5.02375241017e-18	-9.20486585649e-21	-1.5565884767e-20	1.0	1957561819.01	-3953393.534	1169318.22157	-3906522.7804	1461587659.21	4139921.02873	1155472.5249	4139922.88175	1453318569.71	0.011928570865273812	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	4.440892098500625e-16	1957561819.01	-3906515.3498023716	1155452.7881126483	-3906522.7804	1444256580.2470355	4090831.056057312	1155472.5248999996	4090832.8871047506	1436085543.1916995	0.00795238057685	517535759.913
7	nan	nan	1	1	32.0	32.0	32.0	1.014	-3.04485183481e-20	3.52503679784e-18	1.10182111953e-19	1.0	-3.95848109318e-19	-2.44895092152e-20	6.8068692607e-20	1.0	2232774636.76	-4287132.91279	1045386.60223	-4227959.792	1730557254.9	4504627.24645	1030973.34308	4504648.02136	1722201650.03	0.013902905168991434	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2232774636.76	-4227941.728589744	1030953.2566370809	-4227959.792	1706663959.4674559	4442433.181903354	1030973.3430800061	4442453.669980275	1698423717.9783037	0.00926860344599	530388203.716
8	nan	nan	1	1	32.0	32.0	32.0	1.016	-3.34917158217e-19	2.29771004551e-18	1.14849064969e-19	1.0	8.05611878081e-19	-4.90551190468e-20	6.44290979118e-20	1.0	2507160918.11	-4600499.73122	957392.385899	-4528056.90236	2000205772.83	4834938.2296	942357.446604	4834942.91349	1991732069.99	0.015873349156290163	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	2507160918.1100006	-4528050.916555119	942315.3404517715	-4528056.902360001	1968706469.320866	4758797.47007874	942357.4466040046	4758802.080206695	1960366210.6200788	0.0105822327709	542794357.997
9	nan	nan	1	1	32.0	32.0	32.0	1.018	3.09795683013e-20	-1.16527298627e-17	4.83338175527e-20	1.0	6.1369522262e-19	-1.93328652766e-20	-2.13412598039e-21	1.0	2780814989.87	-4889873.50374	891161.429397	-4803425.50214	2270480059.96	5142282.40053	875461.355098	5142266.67908	2261870920.66	0.017839918128331016	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	2780814989.87	-4803412.086188605	875404.1546139489	-4803425.50214	2230334047.1119843	5051357.957298625	875461.3550979742	5051342.513831043	2221877132.2789783	0.0118932787522	554891182.359
10	nan	nan	1	1	32.0	32.0	32.0	1.02	-1.65730598809e-19	-8.9527577494e-19	1.9498135963e-19	1.0	1.07163109513e-17	5.9411420316e-20	2.30995149139e-19	1.0	3053795051.13	-5159854.68304	842314.611284	-5058722.146	2541343500.55	5432592.44217	825841.929125	5432581.86356	2532601992.01	0.01980262729617973	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	3053795051.13	-5058681.06180392	825798.6385137257	-5058722.146	2491513235.8333335	5326071.021735295	825841.9291249978	5326060.650549047	2482943129.421569	0.0132017515308	566760107.791
