6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	2.16377540294e-06
1.0	0.00133200177512	310885089.14
2.0	0.00266134751303	441943607.14
3.0	0.00398804778503	471111183.623
4.0	0.00531211309945	489059298.717
5.0	0.00663355390211	503964137.429
6.0	0.00795238057685	517535759.913
7.0	0.00926860344599	530388203.716
8.0	0.0105822327709	542794357.997
9.0	0.0118932787522	554891182.359
10.0	0.0132017515308	566760107.791
