6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	1.01679126177e-06
1.0	0.00133200177512	318213264.118
2.0	0.00266134751303	445803741.54
3.0	0.00398804778503	476520570.471
4.0	0.00531211309945	496978820.706
5.0	0.00663355390211	514389438.495
6.0	0.00795238057685	530336256.389
7.0	0.00926860344599	545416521.561
8.0	0.0105822327709	559911896.75
9.0	0.0118932787522	573976006.863
10.0	0.0132017515308	587713200.436
