5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5.33606673334e-06	-1.22141429822e-07	1.01250993001e-07	-1.22141429822e-07	6.75675310675e-06	-9.06818950742e-08	1.01250993001e-07	-9.06818950742e-08	5.15222039458e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33606673334e-06	-1.22141429822e-07	1.01250993001e-07	-1.22141429822e-07	6.75675310675e-06	-9.06818950742e-08	1.01250993001e-07	-9.06818950742e-08	5.15222039458e-06	0.0	1.55355004162e-06
1	nan	nan	1	1	32.0	32.0	32.0	1.002	9.12431914434e-22	6.14543496339e-20	-1.95421419716e-23	1.0	-6.97427820897e-19	2.53479158959e-22	-8.30179142274e-22	1.0	476614770.43	1461028.90048	5297302.96262	1458111.80615	166656788.255	1009981.92098	5286729.82744	1009981.81583	168726068.488	0.001998002662673058	0.0	0.0	0.0	4.440892098500625e-16	0.0	0.0	0.0	4.440892098500625e-16	476614770.43	1458112.6751297405	5286729.503612774	1458111.8061499998	166324139.97504988	1007965.989001996	5286729.827439999	1007965.8840618761	168389289.90818363	0.00133200177512	309413991.78
2	nan	nan	1	1	32.0	32.0	32.0	1.004	-2.13524267421e-20	-1.24241287235e-19	2.54068525146e-21	1.0	-1.46329408413e-18	-1.31397640304e-21	-7.24444780474e-21	1.0	833001119.171	1875339.54968	6668726.34758	1867867.89269	394810317.792	1479319.3629	6642158.45842	1479319.91075	396753083.109	0.003992021269537457	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	833001119.171	1867868.077370518	6642157.716713147	1867867.89269	393237368.3187251	1473425.6602589642	6642158.45842	1473426.2059262944	395172393.5348606	0.00266134751302	438969567.824
3	nan	nan	1	1	32.0	32.0	32.0	1.006	-1.49736234484e-20	1.03685218287e-18	5.63640869394e-21	1.0	7.17301248704e-19	-1.77637036546e-21	1.63053842346e-20	1.0	1122117728.98	2112482.32365	6093741.66433	2099884.95203	656172847.514	1604814.56664	6057396.5648	1604814.7393	657768170.499	0.005982071677547469	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1122117728.98	2099883.025497018	6057397.280646124	2099884.95203	652259291.7634195	1595243.107992048	6057396.564800001	1595243.279622267	653845099.8996024	0.00398804778503	469207096.698
4	nan	nan	1	1	32.0	32.0	32.0	1.008	-1.36873575959e-20	-6.22192745656e-19	6.12940833902e-22	1.0	1.47487295835e-18	9.20238431465e-22	2.33463456087e-20	1.0	1403428082.99	2295368.19582	5668748.48593	2277154.86877	921474415.739	1728795.89771	5623751.39286	1728794.88091	922837306.203	0.007968169649176881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1403428082.99	2277150.9879166665	5623758.41858135	2277154.86877	914161126.7251984	1715075.2953472221	5623751.392859999	1715074.286617065	915513200.5982143	0.00531211309945	488714352.262
5	nan	nan	1	1	32.0	32.0	32.0	1.01	3.74572196782e-20	5.66392434003e-19	-4.29224019854e-21	1.0	6.64748810027e-18	1.27935889441e-20	-3.24949631835e-20	1.0	1682125069.94	2439042.71255	5421186.96348	2414904.74745	1188259815.07	1855061.19812	5367496.55874	1855059.10394	1189485220.12	0.009950330853168092	0.0	0.0	0.0	-4.440892098500627e-16	0.0	0.0	0.0	-4.440892098500627e-16	1682125069.94	2414893.77480198	5367511.845029703	2414904.74745	1176494866.4059405	1836694.2555643565	5367496.558740001	1836692.1821188198	1177708138.7326732	0.00663355390211	505137558.955
6	nan	nan	1	1	32.0	32.0	32.0	1.012	4.35274846035e-20	3.02723081981e-19	-1.24308702454e-20	1.0	1.5404352937e-18	1.5051378426e-20	-2.84881002963e-21	1.0	1959331577.26	2549505.03556	5266762.53147	2519292.80242	1456006475.91	1967762.58015	5204281.79635	1967760.16101	1457138834.14	0.011928570865273812	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1959331577.26	2519273.7505533597	5204310.801847826	2519292.80242	1438741576.986166	1944429.4270256916	5204281.79635	1944427.0365711483	1439860508.0434783	0.00795238057685	520138763.159
7	nan	nan	1	1	32.0	32.0	32.0	1.014	6.5423369008e-20	-1.73974115357e-18	-1.06466416642e-20	1.0	3.21967811163e-18	2.43075294805e-20	-1.74171149779e-20	1.0	2235456773.46	2638392.90097	5152620.6962	2601991.25854	1724525426.64	2073474.11681	5081441.54783	2073471.94229	1725588163.08	0.013902905168991434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2235456773.4600005	2601965.385571992	5081479.9765286	2601991.25854	1700715410.8875742	2044846.2690433927	5081441.547829997	2044844.1245463565	1701763474.4378698	0.00926860344599	534321344.447
8	nan	nan	1	1	32.0	32.0	32.0	1.016	2.62588485455e-20	2.38190793288e-20	-1.88770887591e-20	1.0	-1.43094966782e-18	9.28344801468e-21	-9.75279029425e-20	1.0	2510697179.45	2724641.91472	5065846.04269	2681773.99436	1993724540.51	2171008.45262	4986005.05394	2171008.27155	1994738516.86	0.015873349156290163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2510697179.45	2681734.168031496	4986068.939655512	2681773.99436	1962327303.6515749	2136819.3431299212	4986005.05394	2136819.164911415	1963325311.8700788	0.0105822327709	547971800.515
9	nan	nan	1	1	32.0	32.0	32.0	1.018	4.01848477481e-20	-5.52339927865e-19	-2.70645224621e-20	1.0	-1.33277854924e-17	4.91345283856e-21	1.58951026508e-20	1.0	2785154177.14	2813556.0958	5004633.15998	2763846.23973	2263560612.27	2262000.03043	4916083.98295	2262002.71315	2264536767.09	0.017839918128331016	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	2785154177.14	2763807.5597249507	4916142.593300589	2763846.23973	2223536947.2200394	2222003.959165029	4916083.982949999	2222006.594449872	2224495841.9351673	0.0118932787522	561236610.778
