5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.35846657414e-05	2.1455341195e-06	1.12138658834e-06	2.1455341195e-06	2.24650284626e-05	1.61911766516e-06	1.12138658834e-06	1.61911766516e-06	1.84812705007e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35846657414e-05	2.1455341195e-06	1.12138658834e-06	2.1455341195e-06	2.24650284626e-05	1.61911766516e-06	1.12138658834e-06	1.61911766516e-06	1.84812705007e-05	0.0	9.20874874889e-06
1	nan	nan	1	1	32.0	32.0	32.0	1.002	4.3290368111e-21	-9.09427180859e-20	8.39588321741e-23	1.0	1.53861642693e-18	9.85999290163e-22	-3.00628453875e-21	1.0	488760374.297	-13336961.7931	1686904.94685	-13310342.9211	143924632.356	-12676909.2845	1683538.16469	-12676910.0058	179335382.58	0.001998002662673058	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	488760374.29699993	-13310341.110878242	1683537.8711077843	-13310342.921099998	143637357.64071855	-12651606.072355287	1683538.16469	-12651606.792215567	178977427.7245509	0.00133200177512	330427501.177
2	nan	nan	1	1	32.0	32.0	32.0	1.004	-2.80716148579e-20	-1.40712314387e-18	6.45945340343e-21	1.0	4.26705957992e-18	5.97803428692e-21	1.83870359449e-20	1.0	841533657.868	-16378974.4542	-1773965.60509	-16313721.0029	362396844.228	-15365844.0276	-1766896.33114	-15365845.159	420479819.891	0.003992021269537457	0.0	0.0	0.0	-4.440892098500627e-16	0.0	0.0	0.0	-4.440892098500627e-16	841533657.868	-16313719.575896414	-1766898.0130378485	-16313721.0029	360953032.09960157	-15304625.525498008	-1766896.3311400006	-15304626.652390437	418804601.48505974	0.00266134751303	456084061.827
3	nan	nan	1	1	32.0	32.0	32.0	1.006	8.55056599196e-21	-6.48499260484e-19	9.57875149336e-21	1.0	8.79374302998e-18	5.57271578677e-21	5.17272226181e-20	1.0	1129005823.57	-14259782.2832	-5572270.62647	-14174731.752	617965491.816	-15469563.7703	-5539033.81406	-15469562.9487	688851853.384	0.005982071677547469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1129005823.57	-14174733.879920477	-5539036.408021868	-14174731.752000002	614279812.9383698	-15377299.970477138	-5539033.81406	-15377299.153777331	684743393.0258449	0.00398804778503	484812067.272
4	nan	nan	1	1	32.0	32.0	32.0	1.008	-1.87550796187e-19	9.86689158794e-19	1.98961752737e-20	1.0	1.26713515019e-17	7.26678168128e-22	-5.32747741466e-20	1.0	1408779784.74	-12388302.1888	-6937501.22208	-12289973.3975	879622274.76	-15025691.1422	-6882440.45598	-15025689.1666	959034744.125	0.007968169649176881	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1408779784.74	-12289982.330158731	-6882441.688571429	-12289973.397500003	872641145.5952381	-14906439.625198415	-6882440.455979999	-14906437.665277766	951423357.2668651	0.00531211309945	502667812.673
5	nan	nan	1	1	32.0	32.0	32.0	1.01	1.10689173669e-20	-3.63934364592e-18	2.27871715146e-20	1.0	-1.78910001334e-17	1.19192590366e-20	5.75597765148e-20	1.0	1686042172.37	-10987193.2481	-7129543.22512	-10878386.3368	1144123362.85	-14804731.9431	-7058952.97396	-14804729.2909	1229326739.24	0.009950330853168092	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1686042172.37	-10878409.156534653	-7058953.688237623	-10878386.3368	1132795408.762376	-14658150.43871287	-7058952.973960005	-14658147.812772298	1217155187.3663366	0.00663355390211	517374011.991
6	nan	nan	1	1	32.0	32.0	32.0	1.012	-1.38081259653e-20	6.45306860307e-18	1.55940089078e-20	1.0	-5.08814180341e-17	1.44930315125e-20	-1.06975132718e-19	1.0	1961912255.75	-10057359.1906	-6946869.03873	-9938090.02905	1410229468.98	-14847009.7498	-6864508.21139	-14846989.9763	1499884684.2	0.011928570865273812	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1961912255.75	-9938101.966996048	-6864495.097559288	-9938090.02905	1393507380.4150198	-14670958.250790514	-6864508.2113899905	-14670938.711758967	1482099490.3162055	0.00795238057685	530716354.233
7	nan	nan	1	1	32.0	32.0	32.0	1.014	-1.54413940848e-19	3.4798553656e-18	1.67686053777e-20	1.0	2.65873517452e-17	-1.74741904402e-20	-3.1033086887e-19	1.0	2236824151.49	-9422139.44725	-6687224.90249	-9291984.73866	1677415094.44	-15033618.8725	-6594905.19949	-15033626.6409	1770817079.06	0.013902905168991434	0.0	0.0	0.0	-4.440892098500627e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2236824151.49	-9292050.736932939	-6594896.3535404345	-9291984.738660002	1654255517.1992111	-14826054.11489152	-6594905.199489994	-14826061.776035458	1746367928.0670612	0.00926860344599	543376524.527
8	nan	nan	1	1	32.0	32.0	32.0	1.016	-3.01947393361e-19	6.88180437957e-18	1.27650512129e-20	1.0	1.84512925757e-17	-1.96538113543e-20	8.54800173206e-20	1.0	2510949584.53	-8994338.9458	-6436367.61568	-8852619.67934	1945469617.17	-15302866.2337	-6335009.71186	-15302856.2479	2042169121.07	0.015873349156290163	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	2510949584.53	-8852695.812795276	-6335007.495748032	-8852619.679340001	1914832300.3641734	-15061876.214271653	-6335009.711859986	-15061866.38572831	2010008977.4311023	0.0105822327709	555620409.669
9	nan	nan	1	1	32.0	32.0	32.0	1.018	4.24211305342e-20	1.41334147412e-18	-2.03155558443e-21	1.0	5.63740428852e-17	-2.04975355791e-20	-1.04698731673e-19	1.0	2784380564.75	-8713349.01328	-6218297.9337	-8559226.03873	2214281039.37	-15623041.9032	-6108284.67949	-15623071.412	2313964323.83	0.017839918128331016	0.0	0.0	0.0	-4.440892098500627e-16	0.0	0.0	0.0	-4.440892098500627e-16	2784380564.75	-8559281.938388998	-6108347.675540275	-8559226.03873	2175128722.367387	-15346799.511984283	-6108284.679489996	-15346828.499017553	2273049434.0176816	0.0118932787522	567588046.388
10	nan	nan	1	1	32.0	32.0	32.0	1.02	1.13725753697e-19	-2.00938631683e-18	-6.06488825124e-21	1.0	6.6474543513e-17	-1.86975905661e-20	-9.2964347503e-20	1.0	3057163949.11	-8536167.16976	-6026340.79882	-8368753.25871	2483794355.92	-15971385.2773	-5908102.36217	-15971411.5205	2586214291.41	0.01980262729617973	0.0	0.0	0.0	-4.440892098500627e-16	0.0	0.0	0.0	-2.2204460492503136e-16	3057163949.11	-8368791.34290196	-5908177.253745098	-8368753.25871	2435092505.8039217	-15658220.860098038	-5908102.362170005	-15658246.588725323	2535504207.2647057	0.0132017515308	579346620.394
