6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	2.51508758826e-06
1.0	0.00133200177512	315968334.247
2.0	0.00266134751302	444197273.865
3.0	0.00398804778503	474551449.108
4.0	0.00531211309945	494280850.981
5.0	0.00663355390211	510918568.405
6.0	0.00795238057685	526146364.502
7.0	0.00926860344599	540566012.807
8.0	0.0105822327709	554456347.598
9.0	0.0118932787522	567964607.069
10.0	0.0132017515308	581184584.465
