6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	5.59238499542e-07
1.0	0.00133200177512	316911826.403
2.0	0.00266134751303	446468726.563
3.0	0.00398804778503	480217651.935
4.0	0.00531211309945	503280021.163
5.0	0.00663355390211	522992125.939
6.0	0.00795238057685	541034979.667
7.0	0.00926860344599	558052629.032
8.0	0.0105822327709	574356038.823
9.0	0.0118932787522	590123015.548
10.0	0.0132017515308	605471596.505
